East Franconian	Swiss German	probability
β	b̥_ə	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒ	1.0
ˈoː_n	ˈo_n	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈɒ	1.0
ʦ	ʦ	1.0
ɪ	i	1.0
ɣ	ɡ̊	1.0
ɡ̊_r	ɡ̊_r	1.0
ɡ̊_n	ɡ̊ː	1.0
ə	ə	1.0
ɐ_n	r_n	1.0
ç	χ	1.0
v̥	fː	1.0
v_ˈɔ	ʋ	1.0
v	ʋ	1.0
r	r	1.0
n_a	n_ə	1.0
kʰ	ɣ̊	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_a	f	1.0
eː	æ	1.0
d̥_r	d̥_r	1.0
b̥͡v̥	p͡f	1.0
b̥	b̥	1.0
l	l	0.967
m	m	0.874
ˈʊ	ˈu	0.867
ˈɒ	ˈɒ	0.827
s	z̥	0.814
ɐ	r	0.794
a	ə	0.762
x	χ	0.753
ˈɔ	ˈo	0.744
ʃ	ʒ̊	0.743
f	v̥	0.725
ˈɛ	ˈæ	0.706
d̥	t	0.695
ˈoː	ˈɒː	0.648
ɣ̊	ɡ̊	0.646
ˈɪ	ˈi	0.621
ˈaː	ˈæi̯	0.572
ˈaɪ̯	ˈiː	0.555
n	n	0.535
ɾ	tː	0.5
ɾ	d̥_ə	0.5
z̥	sː	0.499
ŋ	ŋ	0.485
ˈuː	ˈuə̯	0.458
ˈaː	ˈau̯	0.428
z̥	z̥	0.416
ɡ̊	ɡ̊	0.405
ˈuː	ˈoː	0.376
ɣ̊	χː	0.354
ˈeː	ˈøː	0.353
ˈeː	ˈæː	0.353
ŋ	ɡ̊_ə	0.326
ˈiː	ˈi	0.312
d̥	d̥	0.305
ˈɪ	ˈy	0.3
ˈeː	ˈæ	0.294
n	ə	0.293
ʃ	ʃ	0.257
ˈɔ	ˈu	0.256
ˈiː	ˈyː	0.249
x	χː	0.247
a	-	0.238
ˈaɪ̯	ˈyː	0.236
ɡ̊	ɡ̊ː	0.227
f	f	0.227
ˈoː	ˈoː	0.224
ɡ̊	k͡χ	0.224
ɐ	ə_r	0.206
ŋ	ə	0.19
ˈiː	ˈiə̯	0.187
ˈuː	-	0.166
ˈɛ	ˈe	0.149
ˈɛ	ˈø	0.145
ɡ̊	χ	0.143
ˈʊ	-	0.133
ˈaɪ̯	ˈy	0.132
ˈoː	ˈɒ	0.128
ˈiː	ˈyə̯	0.127
ˈiː	ˈeː	0.125
ˈɒ	-	0.121
n	n_d̥	0.111
s	sː	0.097
z̥	s	0.085
ˈɪ	-	0.079
ˈaɪ̯	-	0.077
m	b̥_ə	0.065
n	-	0.062
m	-	0.061
ˈɒ	ˈɒː	0.052
