Occitan	Québécois French	probability
b	b	1.0
f	f	1.0
r	ʁ	1.0
w	-	1.0
ð	-	1.0
ɔ	-	1.0
ɡ	ɡ	1.0
ɣ	-	1.0
ɲ	ɲ	1.0
i	-	0.11
k	k	0.541
n	ã	0.121
ŋ	ã	0.091
ˈu	aœ̯_ʁ	0.141
ˈɛ	j	0.541
β	-	0.061
a	a	0.652
d	ʣ	0.172
m	m	0.972
ˈi	ɪ	0.422
ˈɛ	i	0.092
n	ẽɪ̯̃	0.163
ɾ	ʁ	0.943
ʒ	-	0.243
ˈa	ẽɪ̯̃	0.183
β	b	0.133
a	æɛ̯	0.054
a	-	0.294
e	œ	0.224
p	-	0.114
z	z	0.144
ˈa	-	0.104
ˈi	i	0.234
ˈy	ʏ	0.104
j	æɛ̯	0.255
j	-	0.745
s	s	0.965
ˈa	e	0.255
ˈi	i_ʁ	0.175
ˈu	u	0.445
ˈɔ	ɔ	0.225
ˈɛ	ɛɪ̯	0.055
ˈɛ	æɛ̯	0.125
l	l	0.96
p	p	0.886
u	-	0.316
v	v	0.96
z	-	0.856
ɥ	-	0.126
ˈe	-	0.186
ˈe	æɛ̯	0.206
ˈɔ	ɑɔ̯	0.376
ˈɛ	j_ɛ	0.076
β	v	0.806
u	ɔ	0.267
u	u	0.417
ɥ	œ	0.267
ɥ	ɥ	0.607
ɾ	-	0.057
ʒ	ʒ	0.757
ˈu	ɒ̃ʊ̯̃	0.327
ˈɛ	ɛ	0.067
d	d	0.828
n	n	0.658
ˈa	a	0.168
ˈi	ẽɪ̯̃	0.168
ˈy	w	0.178
ˈy	y	0.718
e	-	0.739
i	i	0.89
k	ʃ	0.459
t	t	0.949
ŋ	-	0.909
ˈa	æɛ̯	0.289
ˈe	ɛ	0.059
ˈe	w_ɛ	0.549
ˈɔ	-	0.399
