Wymysorys	Northern Low Saxon	probability
ˈɪ	ˈɪ	1.0
ˈø	ˈoː	1.0
ˈoi̯	ˈyː	1.0
ʧ	ʃ	1.0
ɡ	ɡ	1.0
ɟ	-	1.0
ɛ_r	ɐ	1.0
ə_t	t	1.0
ə	-	1.0
ɑ	aɪ̯	1.0
ŋ_ɡ̊	ŋ	1.0
ç	ɡ	1.0
z	z	1.0
x_t	ç	1.0
x_a	ɡ_n	1.0
x	x	1.0
w	l	1.0
v_a	m	1.0
u_w	l	1.0
t_r	d_r	1.0
s_t	s	1.0
s_a	d_n	1.0
p	p	1.0
n_ˈɑi̯	n	1.0
n_d	n	1.0
l	l	1.0
h	h	1.0
f_a	b_m	1.0
d_ɛ	ə	1.0
d_a	n	1.0
d	d	1.0
c	ɡ	1.0
b̥	f	1.0
b	b	1.0
a	n	1.0
f	f	0.98
ʃ	ʃ	0.945
m	m	0.921
n	n	0.911
v	v	0.892
ˈai̯	ˈiː	0.867
t	d	0.855
d̥	d	0.833
ɡ̊	ç	0.828
k	kʰ	0.679
ɪ	-	0.667
ŋ	ŋ	0.667
j	-	0.622
s	d	0.62
ˈʏ	ˈaʊ̯	0.601
ˈei̯	-	0.585
ˈu	ˈʊ	0.564
ˈɑ	ˈa	0.563
r	ɐ	0.56
ˈɛ	-	0.557
ʦ	tʰ	0.54
ˈɘ̟	ˈɪ	0.537
ˈɑi̯	ˈuː	0.456
ˈi	ˈaɪ̯	0.45
ˈɛ	ˈɪ	0.443
r	r	0.44
j	ʒ	0.378
ˈa	ˈaɪ̯	0.377
ˈi̯ø	ˈaː	0.371
ˈi̯ø	-	0.371
ɪ	i	0.333
ŋ	-	0.333
ˈʏ	-	0.316
ˈɔ	-	0.316
ˈɘ̟	-	0.308
ʦ	d	0.303
ˈɔ	ˈa	0.266
ˈɔ	ˈoː	0.262
ˈi̯ø	ˈoː	0.257
ˈi	ˈɔʏ̯	0.251
s	z̥	0.237
ˈi	-	0.227
ˈɑi̯	ˈyː	0.211
ˈei̯	ˈɪ	0.211
ˈei̯	ˈøː	0.204
ˈɑi̯	ˈaʊ̯	0.189
ˈa	ˈeɪ̯	0.185
k	ç	0.183
ˈa	-	0.179
ɡ̊	x	0.172
d̥	-	0.167
ˈɑ	ˈaʊ̯	0.16
ʦ	t	0.157
ˈɔ	ˈeː	0.156
ˈɘ̟	ˈʏ	0.155
ˈu	ˈaʊ̯	0.153
t	t	0.145
ˈɑi̯	ˈɔʏ̯	0.143
s	s	0.143
k	k	0.138
ˈai̯	ˈaɪ̯	0.133
ˈa	ˈɪ	0.13
ˈa	ˈɛ	0.13
ˈu	ˈʏ	0.11
ˈɑ	ˈeː	0.109
v	-	0.108
ˈɑ	ˈaɪ̯	0.1
ˈu	ˈɔ	0.088
ˈu	ˈoː	0.085
ˈʏ	ˈɔː	0.083
m	-	0.079
ˈi	ˈɛː	0.072
ˈɑ	ˈoː	0.069
n	ŋ	0.063
ʃ	s	0.055
