Aromanian	Aromanian	probability
ˈə	ˈiː	1.0
ˈo_j	ˈu_s	1.0
ˈe_l	ˈɛː	1.0
ʦ_i	ʃ	1.0
ʣ	d	1.0
ʎ_i	l_ə	1.0
ʃ_t	ʃ	1.0
ʃ	-	1.0
ɨ	-	1.0
ə_t	ə_d	1.0
ə_#>	#>	1.0
ə	ə	1.0
ŋ	-	1.0
ç	f	1.0
z	ʒ	1.0
v_r	w	1.0
v	v	1.0
u_#>	#>	1.0
t_ə	d_ə	1.0
r_ˈi	r_ˈiː	1.0
r_ə	r_ə	1.0
r_#>	l_#>	1.0
p_t	ʨ	1.0
o̯ˈa_m	ˈu	1.0
n_#>	n_#>	1.0
m_#>	m_#>	1.0
k_ʎ	ʎ	1.0
k_r	k_r	1.0
k_e̯ˈa	p_ˈɛ	1.0
i_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
<#_ˈo	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʣ	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_v	1.0
t	t	0.85
n	n	0.844
j	v	0.8
w	f	0.714
m	m	0.714
l	l	0.714
r	r	0.698
p	p	0.682
s	s	0.6
ʎ	l	0.571
ɲ	m	0.571
i_r	ə_r	0.571
ɡ	-	0.545
o̯ˈa	-	0.545
ˈo	ˈɔ	0.538
ˈu	ˈu	0.536
d	d	0.533
k	ʨ	0.517
ʦ	-	0.5
ʤ	ʥ	0.5
ʤ	-	0.5
k_#>	w_#>	0.5
k_#>	#>	0.5
b	b	0.5
d	-	0.467
ɡ	ɡ	0.455
ʎ	ʎ	0.429
ɲ	ɲ	0.429
u	u	0.429
i_r	r	0.429
ˈe	ˈɛ	0.417
k	k	0.414
ˈa	ˈa	0.405
ˈɨ	ˈa_w	0.4
s	ʃ	0.4
ˈa	ˈaː	0.378
u	r	0.357
ˈɨ	ˈa	0.3
ˈɨ	-	0.3
ʦ	ʨ	0.3
w	-	0.286
e̯ˈa	ˈeː	0.278
e̯ˈa	ˈe	0.278
e̯ˈa	ˈa_j	0.278
o̯ˈa	ˈu	0.273
ˈi	ˈi	0.261
ˈe	ˈa_j	0.25
i	ə	0.25
b	ɡ	0.25
b	-	0.25
#>	ə_#>	0.25
#>	r_#>	0.25
#>	n_#>	0.25
#>	f_#>	0.25
ˈo	ˈɔː	0.231
ˈo	j_ˈɛ	0.231
p	w	0.227
ˈi	ˈɛ	0.217
ˈi	ˈiː	0.217
u	-	0.214
ʦ	ʧ	0.2
j	-	0.2
m	-	0.19
o̯ˈa	ˈɔ	0.182
ˈu	ˈuː	0.179
i	r	0.179
ˈi	-	0.174
ˈe	ˈe	0.167
ˈe	ˈa	0.167
e̯ˈa	ˈa	0.167
n	-	0.156
t	-	0.15
ˈu	ˈiː	0.143
ˈu	ˈi	0.143
l	ʎ	0.143
l	w	0.143
i	s	0.143
i	-	0.143
ˈi	j	0.13
r	l	0.116
ˈa	-	0.108
i	v_ə	0.107
i	i	0.107
m	n	0.095
r	j	0.093
p	-	0.091
i	l	0.071
k	ʨ_ə	0.069
ˈa	ˈɔ	0.054
ˈa	ˈiə̯	0.054
