Wymysorys	East Frisian Low Saxon	probability
ˈɪ	ˈʏ	1.0
ˈu_t	ˈoː_d̥	1.0
ˈoi̯	-	1.0
ˈi_r	ˈɛːɪ̯	1.0
ˈei̯	-	1.0
ʧ	k_ɐ	1.0
ɪ_k	ɣ̊	1.0
ɡ	ɡ	1.0
ɛ	ɐ	1.0
ɑ	ɑɪ̯	1.0
ŋ	ŋ	1.0
ç	k	1.0
z	z	1.0
x_a	k_n	1.0
u	l	1.0
t_r	d_r	1.0
s_t	s_t	1.0
s_a	t_n	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_a	p_n	1.0
f	f	1.0
d_a	n	1.0
c	k	1.0
b̥	v̥	1.0
b	b	1.0
a	n	1.0
w	l	0.921
ɡ̊	ɣ̊	0.919
k	k	0.892
n	n	0.837
d̥	d̥	0.833
ʦ	t	0.73
ˈø	ˈɒː	0.718
v	v	0.716
s	t	0.709
r	r	0.701
ɟ	ɡ	0.696
ˈai̯	ˈiː	0.683
ʃ	s	0.623
x	χ	0.612
ˈɘ̟	ˈɪ	0.545
d	d	0.516
j	ˈoː	0.5
j	j	0.5
d	-	0.484
ə	-	0.462
ˈʏ	ˈɑʊ̯	0.446
ˈa	ˈæɪ̯	0.441
ˈu	ˈʊ	0.43
ə	ɐ	0.428
ˈi̯ø	ˈɑː_ɐ	0.425
ˈʏ	ɐ	0.395
ˈɑ	ˈɑ	0.394
ˈi	-	0.392
x	k	0.388
t	d	0.386
ʃ	s_k	0.377
ˈɛ	ˈeː	0.343
ˈɛ	ˈɪ	0.338
t	t	0.327
ˈɑi̯	-	0.322
ˈɘ̟	-	0.308
ɟ	-	0.304
ˈa	-	0.302
ˈi̯ø	ˈɒː	0.301
r	ɐ	0.299
s	z̥	0.291
ˈɔ	ˈɒː	0.29
t	d̥	0.288
ˈø	-	0.282
ˈɔ	ˈɑ	0.28
ˈi	ˈæɪ̯	0.275
ˈi̯ø	ˈɛə̯	0.274
ʦ	ɐ_t	0.27
ˈa	ˈɛ	0.257
ˈɑ	-	0.223
ˈɔ	ˈɑːɑ̯	0.22
ˈɔ	-	0.21
ˈɑi̯	ˈuː	0.21
ˈai̯	-	0.181
ˈu	ˈœ	0.171
d̥	-	0.167
ˈɛ	ˈɑ	0.16
ˈɛ	-	0.16
ˈɑ	ˈeː	0.157
ˈu	ˈoː	0.154
v	-	0.153
ˈɑi̯	ˈyː	0.15
ˈi	ˈœy̯	0.148
ˈai̯	ˈɛːɪ̯	0.136
ˈu	ˈɔ	0.132
v	w	0.131
ˈɑi̯	ˈuːu̯	0.123
ˈɑi̯	ˈøː	0.116
ˈu	-	0.112
ˈʏ	-	0.111
ə	n	0.111
k	ɣ̊	0.108
ˈɘ̟	ˈʏ	0.1
ˈi	ˈœːy̯	0.088
ˈɑ	ˈæɪ̯	0.083
ɡ̊	ɡ̊	0.081
ˈɑi̯	ˈɑːʊ̯	0.078
n	ɡ_n	0.072
w	-	0.065
