Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈɪ	ˈi	1.0
ˈɔ_ɾ	r	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈæː	ˈæ	1.0
ˈæɪ̯	ˈæi̯	1.0
ˈæ	ˈæ	1.0
ˈeː_#>	ˈyː_#>	1.0
ʰtː	χː_tː	1.0
ʰpː	fː	1.0
ʰkː	ŋ_kː	1.0
ʋ_e	b̥_ə	1.0
ʋ_#>	b̥_#>	1.0
ɾ_ˈɛ	r	1.0
ɾ_t	r_ʦ	1.0
ɲ	ŋ	1.0
ɡː	kː	1.0
ɛ	-	1.0
ə	ə	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋː	ŋ	1.0
ŋ	n_i	1.0
çː	-	1.0
v	ʋ	1.0
tː	ʦ	1.0
sː	z̥	1.0
s_t	ʃː_tː	1.0
s_k	ʒ̊	1.0
pʰ	p͡f	1.0
nː_#>	#>	1.0
n_#>	#>	1.0
mː	m	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ_ʋ	ʋ	1.0
kʰ	ɣ̊	1.0
k_#>	#>	1.0
k	χː	1.0
jː	kː	1.0
j_ɑ	ə	1.0
h	h	1.0
f	v̥	1.0
e_n	æ	1.0
d_e	d̥	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ɾ	<#_r	1.0
<#_ç	<#	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_tː	1.0
ɡ	ɡ̊	0.923
m	m	0.889
ɾ	r	0.831
tʰ	ʦ	0.8
t	sː	0.789
ˈɑ	ˈɒ	0.783
ʋ	ʋ	0.765
n	n	0.762
p	fː	0.75
d	d̥	0.75
lː	l	0.714
ˈɛ	ˈæ	0.667
ˈiː	ˈiː	0.643
ˈyː	ˈyː	0.625
ˈuː	ˈuə̯	0.615
ˈɔ	-	0.6
e	-	0.593
ˈʉː	ˈuː	0.588
s	z̥	0.575
ˈʊ	ˈo	0.5
ˈʊ	-	0.5
ˈʉ	ˈu	0.5
ˈoː	ˈɒː	0.5
ç	χː	0.5
ç	d̥	0.5
ˈɑː	ˈɒː	0.455
ˈæʉ̯	ˈau̯	0.444
ʂ	ʒ̊	0.444
nː	n	0.429
<#	<#_ʋ	0.417
e	ə	0.407
ˈøː	ˈyə̯	0.4
ˈøː	-	0.4
j	ɡ̊	0.4
j	-	0.4
ˈʏ	ˈy	0.385
ˈuː	-	0.385
ˈyː	-	0.375
ˈeː	ˈæ	0.375
ˈeː	ˈi	0.375
ˈɑː	ˈɒ	0.364
ˈiː	-	0.357
#>	ə_#>	0.355
ˈɛ	-	0.333
ˈæʉ̯	ˈoː	0.333
ʂ	z̥	0.333
ˈʉ	ˈo	0.312
s	ʒ̊	0.3
#>	tː_#>	0.29
nː	ŋ	0.286
nː	n_d̥	0.286
lː	l_d̥	0.286
ˈeː	-	0.25
p	p͡f	0.25
d	tː	0.25
<#	<#_ɡ̊	0.25
ˈʉː	-	0.235
ʋ	fː	0.235
ˈʏ	ˈu	0.231
ˈʏ	-	0.231
ˈæʉ̯	ˈoː_d̥	0.222
ʂ	-	0.222
t	tː	0.211
ˈɔ	ˈu	0.2
ˈɔ	ˈoː	0.2
ˈøː	ˈeː	0.2
tʰ	tː	0.2
j	h	0.2
ˈʉ	-	0.188
ˈoː	ˈoː	0.188
ˈoː	ˈeː	0.188
ˈɑː	ˈɒ_tː	0.182
ˈʉː	ˈyː	0.176
<#	<#_tː	0.167
<#	<#_j	0.167
ˈʏ	ˈi	0.154
n	ə	0.143
ˈɑ	ˈɒː	0.13
ˈoː	-	0.125
m	-	0.111
#>	ɡ̊_#>	0.097
#>	r_#>	0.097
#>	b̥_#>	0.097
n	r	0.095
ˈɑ	-	0.087
ɾ	ə_r	0.085
ɡ	χː	0.077
s	sː	0.075
#>	sː_#>	0.065
ɾ	-	0.051
