Danish	Pennsylvania German	probability
b̥	b	0.748
b̥	f	0.175
d̥	d	0.986
e	ɪ	1.0
f	f	1.0
h	h	0.963
i	ɪ	1.0
j	h	0.273
j	-	0.228
j	k	0.214
j	ç	0.211
j	x	0.074
jˀ	j	0.572
jˀ	ɣ	0.428
k	k	0.38
k	ŋ_k	0.378
k	ç	0.242
kʰ	kʰ	0.776
kʰ	ɡ	0.152
kʰ	f	0.072
l	l	0.957
lˀ	l	0.875
lˀ	ɑ	0.125
m	m	1.0
mˀ	f	0.661
mˀ	m	0.339
n	n	0.856
n	-	0.144
nˀ	n	0.768
nˀ	-	0.214
p	f	1.0
pʰ	p͡f	1.0
s	s	0.484
s	ʃ	0.45
t	t	0.433
t	ç_t	0.169
t	x_t	0.139
t	x	0.105
t	ʦ	0.064
w	v	0.428
w	p	0.246
w	j	0.127
w	ɪ	0.106
w	ə	0.053
wˀ	ə	1.0
ð̞ˠ	s	0.471
ð̞ˠ	t	0.444
ð̞ˠ	-	0.071
ŋ	ŋ	0.621
ŋ	n	0.237
ŋ	ç	0.143
ŋˀ	ŋ	1.0
ɐ	ɑ	0.576
ɐ	d_ɑ	0.231
ɐ	ə	0.118
ɐˀ	ˈaː	0.347
ɐˀ	ɾ	0.307
ɐˀ	ˈa	0.256
ɐˀ	ɑ	0.09
ə	ə	0.682
ə	-	0.14
ə	ɑ	0.07
ə	ɪ	0.068
ɡ̊	ɡ	0.638
ɡ̊	k	0.22
ɡ̊	ç	0.118
ʁ	ɾ	0.923
ʋ	ʋ	0.737
ʋ	-	0.105
ʋ	v	0.069
ʋ	ˈɛ	0.066
ʦʰ	d	0.667
ʦʰ	ʦ	0.25
ʨ	d	1.0
ˈa	ˈa	0.585
ˈa	ˈɔː	0.291
ˈa	ˈaː	0.073
ˈa	ˈɛ	0.051
ˈaː	ˈa	1.0
ˈe	ˈɪ	0.652
ˈe	ˈɛ	0.295
ˈe	-	0.053
ˈeˀ	ˈeː	0.611
ˈeˀ	ˈɛ	0.124
ˈeˀ	ˈiː	0.099
ˈeˀ	ˈa	0.062
ˈeː	ˈa	0.5
ˈeː	ˈeː	0.5
ˈi	ɑ	0.333
ˈi	ˈɛː	0.333
ˈi	ˈaɪ̯	0.333
ˈiˀ	ˈaɪ̯	0.603
ˈiˀ	ˈɛ	0.123
ˈiˀ	ˈɪ	0.116
ˈiˀ	ˈeː	0.081
ˈiˀ	ˈiː	0.054
ˈiː	ˈaɪ̯	0.505
ˈiː	ˈiː	0.198
ˈiː	ˈɪ	0.182
ˈiː	ˈɔː	0.115
ˈo	ʋ	0.334
ˈo	ˈuː	0.306
ˈo	-	0.18
ˈo	ˈaː	0.18
ˈoˀ	ˈuː	0.718
ˈoˀ	ˈaʊ̯	0.116
ˈoˀ	ˈɛ	0.099
ˈoˀ	ˈeː	0.067
ˈoː	ˈʊ	0.373
ˈoː	ˈa	0.283
ˈoː	ˈɔː	0.177
ˈoː	-	0.09
ˈoː	ˈɪ	0.077
ˈu	ˈɔ	0.412
ˈu	ˈʊ	0.359
ˈu	ˈɛ	0.124
ˈu	ˈuː	0.105
ˈuˀ	ˈaʊ̯	0.664
ˈuˀ	ˈaɪ̯	0.124
ˈuˀ	ˈɔ	0.124
ˈuˀ	ˈeː	0.088
ˈuː	ˈaɪ̯	1.0
ˈy	ˈɪ	0.727
ˈy	ˈaɪ̯	0.273
ˈyˀ	ˈiː	0.407
ˈyˀ	ˈɪ	0.319
ˈyˀ	ˈaɪ̯	0.274
ˈyː	ˈiː	1.0
ˈæ	ˈɛː	1.0
ˈæˀ	ˈɔː	1.0
ˈø	ˈɪ	1.0
ˈøː	ˈoː	0.375
ˈøː	ˈeː	0.341
ˈøː	ˈɔː	0.284
ˈœ	ˈɪ	0.466
ˈœ	ˈɔː	0.118
ˈœ	ˈiː	0.087
ˈœ	ˈʊ	0.087
ˈœ	ˈɔ	0.083
ˈœ	ˈoː	0.072
ˈœ	ʋ	0.057
ˈœˀ	ˈiː	0.349
ˈœˀ	ˈoː	0.256
ˈœˀ	ˈɔː	0.251
ˈœˀ	ˈɛː	0.109
ˈɑ	ˈa	0.577
ˈɑ	ˈɪ	0.249
ˈɑ	ˈaɪ̯	0.096
ˈɑ	ˈɛ	0.078
ˈɑˀ	ˈaː	0.334
ˈɑˀ	ˈeː	0.334
ˈɑˀ	ˈɔː_ɑ	0.332
ˈɑː	ˈa	0.782
ˈɑː	ˈɔː	0.218
ˈɒ	ˈɔ	1.0
ˈɒˀ	-	0.669
ˈɒˀ	ˈɔː	0.331
ˈɒː	ˈoː	1.0
ˈɔ	ˈʊ	0.772
ˈɔ	ˈaʊ̯	0.228
ˈɔˀ	ˈoː	0.42
ˈɔˀ	ˈa	0.253
ˈɔˀ	ˈɔː	0.188
ˈɔˀ	ˈaː	0.139
ˈɔː	ˈoː	1.0
ˈɛ	ˈa	0.267
ˈɛ	ˈɛː	0.2
ˈɛ	ˈɛ	0.181
ˈɛ	ˈɪ	0.165
ˈɛ	ˈaɪ̯	0.125
ˈɛ	ˈɔ	0.062
ˈɛˀ	ˈɛ	0.534
ˈɛˀ	ˈɔː	0.252
ˈɛˀ	ˈeː	0.114
ˈɛˀ	ˈaɪ̯	0.1
ˈɛː	ˈɔː	0.505
ˈɛː	ˈa	0.258
ˈɛː	ˈɛ	0.237
ˈʌ	ˈa	0.305
ˈʌ	ˈeː	0.269
ˈʌ	ˈʊ	0.267
ˈʌ	ˈɔː	0.141
ˈʌˀ	ˈaʊ̯	0.5
ˈʌˀ	ˈoː	0.5
