Luxembourgish	Bokmål Norwegian	probability
#>	#>	0.967
<#	<#	1.0
<#_v	<#	1.0
b	b	1.0
d	d	0.519
d	tʰ	0.351
d	-	0.071
d_ɐ	ɾ	1.0
e	ŋ	0.482
f	f	0.683
f	p	0.175
f	ʋ	0.081
f_#>	#>	1.0
h	h	0.899
h	-	0.089
j	-	0.66
j	ˈʊ	0.153
k	ɡː	0.583
k	kː	0.14
k	-	0.134
k	k	0.057
k_#>	#>	1.0
kʰ	kʰ	0.807
kʰ	ç	0.13
l	l	0.81
l	lː	0.171
m	m	0.771
m	mː	0.145
n	n	0.516
n	nː	0.36
n	-	0.087
n_#>	#>	1.0
p	p	0.482
p	d	0.054
s	t	0.448
s	s	0.342
s	sː	0.076
s	nː	0.058
t	t	0.412
t	d	0.29
t	-	0.221
t	tː	0.067
t_#>	#>	1.0
v	ʋ	0.944
v	-	0.055
w	ʋ	0.549
w	ˈʉː	0.129
w	-	0.125
w	ˈuː	0.119
z	s	0.841
z	ʂ	0.152
ŋ	ŋː	0.879
ŋ	nː	0.12
ŋ_#>	#>	1.0
ŋ_k	kː	0.482
ɐ	ɾ	0.493
ɐ	ə_ɾ	0.266
ɐ	ɾ_ə	0.126
ɐ_#>	#>	1.0
ɕ	k	0.549
ɕ	ŋ	0.139
ɕ	s	0.099
ɕ	ɡ	0.099
ɕ	j	0.07
ɕ_#>	#>	1.0
ɕ_t	tː	1.0
ə	ə	0.511
ə	-	0.376
ɡ	ɡ	0.616
ɡ	j	0.296
ɡ	-	0.078
ʀ	ɾ	0.857
ʀ	ɳ	0.087
ʃ	s	0.737
ʃ	s_k	0.155
ʃ	-	0.053
ʃ	ʃ	0.053
ʑ	ɡ	0.482
ʦ	tʰ	0.553
ʦ	tː	0.08
ʦ	ʈ	0.077
ʦ	-	0.075
ʦ	ç	0.075
ʦ	t	0.059
ʦ	ʈː	0.057
ˈaː	ˈɑ	0.245
ˈaː	ˈɑː	0.146
ˈaː	ˈɛ	0.124
ˈaː	ˈɑ_ɾ	0.108
ˈaː	ˈuː	0.099
ˈaː	ˈøː	0.092
ˈe	ˈiː	0.243
ˈe	ˈɪ	0.243
ˈe	ˈʏ	0.243
ˈe	ˈœ	0.14
ˈe	ˈʉ	0.096
ˈeː	ˈæɪ̯	0.424
ˈeː	ˈɛ	0.236
ˈeː	ˈeː	0.171
ˈeː	-	0.075
ˈeː	ˈœ	0.058
ˈi	ˈeː	0.154
ˈi	ˈiː	0.147
ˈi	ˈoː	0.139
ˈi	ˈʊ	0.139
ˈi	ˈyː	0.098
ˈi	ˈɪ	0.092
ˈiə̯	ˈeː	0.397
ˈiə̯	ˈæː	0.301
ˈiə̯	ˈɔ	0.119
ˈiə̯	ˈʉː	0.119
ˈiː	ˈɛ	0.315
ˈiː	ˈæ	0.112
ˈiː	ˈɪ	0.112
ˈiː	ˈyː	0.109
ˈiː	ʋ	0.074
ˈiː	ˈʉː	0.074
ˈiː	ˈœ	0.072
ˈo	ˈʉ	0.513
ˈo	ˈʏ	0.133
ˈo	ˈœ	0.099
ˈo	ˈʉː	0.099
ˈo	ˈuː	0.088
ˈoː	ˈoː	0.699
ˈoː	ˈiː	0.129
ˈoː	ˈæɪ̯	0.119
ˈu	ˈuː	0.343
ˈu	ˈʉː	0.221
ˈu	ˈʊ	0.168
ˈu	ˈɑ	0.119
ˈu	ˈɑː	0.08
ˈuə̯	ˈɔ	0.37
ˈuə̯	ˈeː	0.205
ˈuə̯	ˈɑ	0.113
ˈuə̯	ˈɑː	0.074
ˈuː	ˈʊ	0.392
ˈuː	ˈuː	0.217
ˈuː	ˈɔ	0.217
ˈæ	ˈoː	0.361
ˈæ	ˈɛ	0.361
ˈæ	ˈɑ	0.2
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.686
ˈæːɪ̯	ˈeː	0.174
ˈæːɪ̯	ˈʏ	0.116
ˈæːʊ̯	ˈʉː	1.0
ˈɑ	ˈɑ	0.523
ˈɑ	ˈɪ	0.229
ˈɑ	ˈœ	0.068
ˈɑ	-	0.055
ˈɑ	ˈiː	0.055
ˈɑ	ˈʏ	0.055
ˈɑɪ̯	ˈyː	0.286
ˈɑɪ̯	ˈiː	0.243
ˈɑɪ̯	ˈʉː	0.102
ˈɑɪ̯	ˈæː	0.099
ˈɑɪ̯	ˈɔ	0.096
ˈɑɪ̯	ˈʊ	0.096
ˈɔ	ˈʊ	0.66
ˈɔ	ˈʉ	0.153
ˈə	ˈɛ	0.302
ˈə	ˈɪ	0.216
ˈə	ˈœ	0.156
ˈə	ˈiː	0.136
ˈə	ˈæɪ̯	0.071
ˈə	ˈʉ	0.054
ˈəɪ̯	ˈøː	0.404
ˈəɪ̯	ˈyː	0.339
ˈəɪ̯	ˈoː	0.066
ˈəɪ̯	ˈʉː	0.066
ˈəɪ̯	ˈiː	0.064
ˈəɪ̯	ˈeː	0.052
ˈəʊ̯	ˈøː	0.582
ˈəʊ̯	ˈoː	0.187
ˈəʊ̯	ˈuː	0.119
ˈəʊ̯	ˈʉː	0.057
ˈɛ	ˈɛ	0.758
ˈɛ	ˈeː	0.178
ˈɛː	j	0.715
ˈɛː	ˈɛː	0.133
ˈʊ	ˈuː	0.841
ˈʊ	-	0.101
ˈʊɪ̯	ˈɑ	1.0
χ	k	0.326
χ	-	0.171
χ	tː	0.171
χ	ɡ	0.171
