Zeelandic	Zeelandic	probability
ˈɛː_#>	v_a_#>	1.0
ˈɒː	-	1.0
ˈɑu̯	-	1.0
ˈæ_ɾ	ˈa_ɹ	1.0
ˈuːə̯	-	1.0
ˈiːə̯	ˈʊ_ʤ̊ː	1.0
ʋ_ˈɪə̯	v	1.0
ɾ_ə	ɹ_a	1.0
ɫ_ə	ˈɔ	1.0
ə_ɾ	ɪ_ɹ	1.0
ə_#>	#>	1.0
z̥_#>	#>	1.0
z̥	s	1.0
x_t	ʰt	1.0
s_x	ʃ	1.0
n_d	nː	1.0
iː	a	1.0
i	a	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ɾ	<#_ɹ	1.0
<#_ɫ	<#_l	1.0
<#_x	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
z	s	0.917
m	m	0.895
<#	<#_h	0.846
ŋ	ŋ	0.818
v	f	0.8
d̥	d̥	0.8
v̥	v_ʊ	0.778
ɾ	ɹ	0.75
ɫ	l	0.731
ʋ	v	0.625
ə	a	0.613
s	s	0.611
#>	ʊ_ɹ_#>	0.603
ˈuː	-	0.6
ˈu	ˈʊ	0.6
t	t	0.594
ˈyː	ˈʉːu̯	0.583
n	n	0.579
ˈi	ˈʊ̯iː	0.571
<#_ʋ	<#_v	0.545
d	d̥	0.538
ˈɪə̯	ˈai̯	0.5
ˈɪ	ˈɪ	0.5
ˈɑ_x	ˈɛːa̯	0.5
ˈɑ_x	ˈɔ	0.5
ˈæi̯	ˈɛ	0.5
ˈæi̯	-	0.5
ˈæ	ˈɛ	0.5
p	p	0.5
ˈʊə̯	ˈɛːi̯	0.467
<#_ʋ	<#	0.455
ˈɔ	ˈʊ	0.45
k	k	0.444
ˈɛː	ˈɔ̯aː	0.438
ˈʏ	-	0.429
ˈøː	-	0.429
ˈuː	ˈɔːu̯_w	0.4
ˈu	-	0.4
ʋ	kʰ_v	0.375
ˈiː	ˈʊ̯iː	0.357
ˈɑ	ˈa	0.353
ˈɪ	-	0.333
ˈeː	ˈiː	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ˈɛː	ˈa	0.312
t	ʰt	0.312
#>	ɹ_#>	0.31
d	tʰ	0.308
ˈɔ	-	0.3
p	ʰp	0.3
ˈʏ	ˈɪ	0.286
ˈʏ	ˈɔ	0.286
ˈøː	ˈʊ	0.286
ˈøː	ˈøː	0.286
ˈiː	-	0.286
ˈi	ˈɪ	0.286
s	s_k	0.278
k	ɡ̊_ʊ	0.278
n	-	0.263
ˈɪə̯	j	0.25
ˈɪə̯	-	0.25
ˈæ	j_ˈœ	0.25
ˈæ	j	0.25
ˈyː	-	0.25
x	ɡ̊_v̥	0.25
x	-	0.25
ˈɑ	ˈɛːa̯	0.235
v̥	v	0.222
ˈiː	ˈʉːu̯	0.214
ˈʊə̯	ˈɔːi̯	0.2
ˈʊə̯	-	0.2
v	-	0.2
p	-	0.2
d̥	j_ʊ	0.2
ɫ	t͡l̥	0.192
x	ʤ̊ː	0.188
x	ʤ̊	0.188
ŋ	-	0.182
ˈɑ	ˈɔ	0.176
ˈɪ	ˈiː	0.167
ˈyː	ˈɪ	0.167
k	ʰk	0.167
n	nː	0.158
<#	<#_h_ˈɛːa̯	0.154
ˈɔ	ˈœ	0.15
ə	ʊ_ɹ	0.145
ˈiː	ˈɔːu̯	0.143
ˈi	-	0.143
ɾ	ɹ_ʊ	0.139
ˈʊə̯	h	0.133
ˈɛː	ˈɛːa̯	0.125
ˈɛː	a	0.125
x	ɡ̊	0.125
ˈɑ	ˈɛ	0.118
ˈɑ	ˈœ	0.118
s	ʃ	0.111
k	-	0.111
m	mː	0.105
ˈɔ	ˈɔ	0.1
#>	a_#>	0.086
z	ʃ	0.083
ə	ʊ	0.081
ə	-	0.081
ɫ	l̥	0.077
d	ʧʰ	0.077
d	-	0.077
t	ʈ	0.062
ɾ	t͡n̥	0.056
ɾ	-	0.056
