Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈɛ_t	1.0
ˈœ_ʧ	ˈø_j	1.0
ˈøː	ˈø	1.0
ˈỹ	ˈy_ŋ	1.0
ˈy	-	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ	ˈɛ_ŋ	1.0
ˈeː_n	ˈe_ŋ	1.0
ˈa_s	ˈa_s	1.0
ʤ	ʤ	1.0
ʃ	ʧ	1.0
ɲ	ɲ	1.0
ɛ	i	1.0
y	-	1.0
v	v	1.0
ũ	-	1.0
t_e	t	1.0
t_#>	d_#>	1.0
t	t	1.0
r_ˈeː	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p_#>	p_#>	1.0
p	p	1.0
o	-	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	#>	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_ˈøː	ˈi_j	1.0
j	j	1.0
ĩ	-	1.0
f_#>	v_#>	1.0
f	f	1.0
ẽ	v_u	1.0
e_ʒ	z	1.0
e_s	e_z	1.0
b	b	1.0
ã	-	1.0
a_v	a_v	1.0
a_s	a_s	1.0
a_r	a_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
a	a	0.971
r	r	0.961
l	l	0.9
ˈyː	ˈy	0.882
ˈɑː	ˈa	0.88
s	s	0.855
ˈiː	ˈi	0.833
ˈũ	ˈu_ŋ	0.8
ˈuː	ˈu	0.8
ˈɔ	ˈɔ	0.789
ˈu	ˈu	0.786
n	n	0.758
ˈã	ˈa_ŋ	0.75
d	d	0.724
ʒ	ʤ	0.714
u	u	0.714
ˈɛ	ˈɛ	0.71
ˈĩ	ˈi_ŋ	0.667
ˈe	ˈe	0.667
#>	e_#>	0.667
i	-	0.625
ɡ	ɡ	0.6
w	w	0.6
ˈi	e	0.571
ˈa	ˈe	0.519
ʧ	s	0.5
z	z	0.5
z	-	0.5
ˈa	ˈa	0.481
ˈeː	ˈe	0.455
ˈi	ˈi	0.429
ɡ	-	0.4
w	-	0.4
e	e	0.381
e	-	0.381
i	i	0.375
ˈĩ	ˈi_n	0.333
ˈe	ˈɛ	0.333
#>	j_#>	0.333
ʒ	j	0.286
u	-	0.286
d	-	0.276
ˈeː	j	0.273
ˈeː	-	0.273
ˈã	ˈa_n	0.25
n	ŋ	0.242
ˈu	ˈɔ	0.214
ʧ	ʧ	0.214
ˈũ	ˈu_n	0.2
ˈuː	-	0.2
ˈiː	-	0.167
s	z	0.145
ʧ	ʤ	0.143
ʧ	z_e	0.143
e	ə	0.143
ˈɑː	ˈe	0.12
ˈyː	-	0.118
ˈɔ	ˈø	0.105
ˈɔ	ˈa	0.105
l	w	0.1
ˈɛ	ˈe	0.097
e	ˈe	0.095
ˈɛ	ˈɛ_j	0.065
ˈɛ	ˈe_j	0.065
ˈɛ	-	0.065
