Čakavian	Russian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ	ɡ	1.0
x	x	1.0
ǔː	ɫ	1.0
uː	ʊ	1.0
t_o	t_ə	1.0
s_#>	s_#>	1.0
ôː	ˈo	1.0
k	k	1.0
eː	ɪ	1.0
e_#>	ə_#>	1.0
e	ɪ	1.0
c	ʨ	1.0
b	b	1.0
ǎː	r_ˈo	1.0
âː	ə	1.0
aː	ɐ	1.0
<#_l	<#_lʲ	1.0
<#	<#_p	1.0
#>	ɨ_j_#>	1.0
â	ˈa	0.812
n	n	0.765
ô	ˈo	0.727
i	-	0.714
z	z	0.7
l	ɫ	0.667
ûː	ˈu	0.6
îː	ˈe	0.6
ê	ˈe	0.6
d	d	0.571
î	ˈe	0.562
r	r	0.545
p	pʲ	0.538
m	m	0.538
t	tʲ	0.536
s	s	0.526
ʋ	vʲ	0.524
r̩̂	ˈe_r	0.5
r̩̂	r	0.5
o	ə	0.5
o	ɐ	0.5
j	j	0.5
j	-	0.5
ʋ	v	0.476
s	sʲ	0.474
a	ə	0.474
t	t	0.464
p	p	0.462
m	mʲ	0.462
d	dʲ	0.429
ûː	ˈo_ɫ	0.4
îː	ˈi	0.4
ê	ɪ	0.4
r	rʲ	0.364
l	lʲ	0.333
z	zʲ	0.3
i	ˈi	0.286
ô	ɐ	0.273
î	ˈɨ	0.25
n	nʲ	0.235
a	ɪ	0.211
î	ˈi	0.188
â	ˈo	0.188
a	ˈa	0.158
a	-	0.158
r	ɐ	0.091
