Alsatian	Elfdalian	probability
ˈɛ	j_ˈæː	1.0
ˈəi̯	ˈiːe̯	1.0
ˈɔi̯	ˈɪ_nː	1.0
ˈœ	ˈoː	1.0
ˈøi̯	ˈʉː	1.0
ˈø	ˈʉː	1.0
ˈæː	-	1.0
ˈyː	ˈɑːu̯	1.0
ˈei̯	-	1.0
ˈaː	ˈɑː	1.0
ˈai̯	ˈœː	1.0
ʋ_ˈo	ˈʉ	1.0
ʃ_t	s_t	1.0
ʁ_n	nː	1.0
ə_ʁ	r	1.0
ə_t	rː	1.0
ŋ	ŋ_ɡ	1.0
x_t	tː	1.0
x	-	1.0
p	p	1.0
n_s	sː	1.0
kʰ	kʰ	1.0
h_ˈu	ˈʉ	1.0
eː	ɔ̃	1.0
e	ˈɛ_m	1.0
d̥_ʁ	tʰ_r	1.0
ʁ	r	0.895
b̥	b	0.839
l	ɽ	0.746
m	m	0.709
ˈo	ˈʉə̯	0.708
ʃ	s	0.661
f	f	0.649
ʋ	w	0.64
ɡ̊	ɡ	0.639
t	ð	0.634
i	-	0.628
j	-	0.612
ˈi	ˈɪ	0.597
n	n	0.593
ʦ	tʰ	0.581
d̥	d	0.521
ˈe	-	0.508
ˈʊː	ˈʉːə̯	0.501
ˈæ	j_ˈæ	0.5
ˈæ	-	0.5
ˈe	ˈɛ	0.492
ˈu	ˈʉ	0.484
ˈeː	-	0.475
ˈɒ	ˈɑ	0.466
ə	ɛ	0.45
ˈɒː	ˈɑ	0.448
s	t	0.444
ə	ɑ	0.429
k	-	0.411
j	ˈʉːə̯_ɣ	0.388
k	ɡː	0.381
i	ʉ_ŋ	0.372
ˈʊː	ˈœː	0.362
ˈɒ	-	0.361
ˈoː	ˈɔː	0.34
ʃ	s_ʨ	0.339
ˈɒː	ˈɑː	0.315
t	d	0.307
ʦ	tː	0.301
s	s	0.294
ˈo	ˈʉ	0.292
ˈoː	-	0.276
ˈu	ˈʉə̯	0.244
ˈɒː	-	0.236
d̥	tʰ	0.234
ˈiː	j_ˈʉːə̯	0.224
ˈoː	ˈoː	0.221
ˈiː	ˈɪː	0.205
ˈeː	ˈæː	0.199
ˈeː	ˈɛ	0.196
ɡ̊	-	0.196
ˈiː	ˈɑːi̯	0.18
n	nː	0.18
m	-	0.178
ˈiː	ˈʏː	0.177
ʋ	-	0.166
ɡ̊	ʥ	0.165
f	p	0.164
ˈoː	ˈœː	0.163
ˈi	ˈɪː	0.161
s	s_j	0.161
b̥	v	0.161
n	-	0.156
ˈu	-	0.154
ˈi	-	0.145
d̥	-	0.144
ˈʊː	-	0.137
ˈeː	ˈɪ̃ː	0.131
ˈiː	ˈyːœ̯	0.124
ʦ	t	0.118
ˈu	ˈʏ	0.117
ə	ɔ	0.114
m	mː	0.113
k	ʨː	0.109
ʋ	ɣ	0.107
l	lː	0.106
s	-	0.101
f	v	0.101
d̥	ð	0.101
k	ʥː	0.099
ˈi	ˈʉː	0.097
ˈiː	ˈʉːə̯	0.09
ˈɒ	ˈɑː	0.086
ˈɒ	ˈo	0.086
ʋ	j	0.086
f	-	0.086
l	-	0.076
l	l	0.072
n	ʉ	0.07
ʁ	-	0.061
t	tː	0.059
