Standard German	Standard German	probability
ˈʏ	ˈʏ	1.0
ˈʊ_ɐ	ˈɔː	1.0
ˈɛː	ˈoː	1.0
ˈœ	-	1.0
ˈøː	ˈɔʏ̯	1.0
ˈoː_n	n	1.0
ˈiː_ɡ	ˈaɪ̯	1.0
ˈiː_ɐ	ˈiː	1.0
ˈa_ɐ	ˈaː	1.0
ˈa_l	ˈaː	1.0
ʃ_l	s_l	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ɪ_ç	i	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ç_ə	ɡ	1.0
ç_t	ç	1.0
z_ə	z̥	1.0
z	z	1.0
x_ə	ɡ	1.0
v	v	1.0
tʰ	d	1.0
t_n	d_n	1.0
s_t	s	1.0
s	d	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
k_n	ç	1.0
j	ʒ	1.0
h_ˈɛ	h	1.0
h	h	1.0
f_n	b_m	1.0
f_#>	b_#>	1.0
f	f	1.0
eː	aɪ̯	1.0
d̥	d	1.0
d_n	n	1.0
d	d	1.0
b_n	m	1.0
a	-	1.0
ʁ	r	0.933
b	b	0.909
ɐ	ɐ	0.902
n	n	0.9
ˈɪ	ˈɪ	0.84
b̥	f	0.833
ˈuː	ˈaʊ̯	0.818
k	ɡ	0.778
ˈiː	ˈaɪ̯	0.727
ˈa	ˈa	0.724
z̥	z̥	0.714
ˈaː	ˈoː	0.706
x	x	0.667
ˈaʊ̯	ˈuː	0.65
t	d	0.645
ʦ	tʰ	0.643
ˈoː	ˈaʊ̯	0.636
ɡ̊	ç	0.6
ç	ɡ	0.556
ˈʊ	ˈʊ	0.533
ˈɔʏ̯	ˈyː	0.5
ˈɔʏ̯	-	0.5
ˈyː	ˈɔʏ̯	0.5
p͡f	pʰ	0.5
p͡f	b	0.5
ç	ç	0.444
ˈɛ	-	0.438
ˈaɪ̯	ˈiː	0.407
ɡ̊	x	0.4
ˈɔ	ˈʊ	0.389
ˈaɪ̯	ˈaɪ̯	0.37
ˈoː	ˈoː	0.364
ˈeː	ˈaɪ̯	0.364
x	ɡ	0.333
ˈɛ	ˈeː	0.312
z̥	s	0.286
ˈiː	-	0.273
ˈeː	-	0.273
ˈʊ	-	0.267
t	t	0.258
ˈɛ	ˈɛ	0.25
ˈyː	ˈøː	0.25
ˈyː	-	0.25
ˈɔ	ˈɔ	0.222
ˈɔ	ˈaʊ̯	0.222
k	k	0.222
ʦ	d	0.214
ˈʊ	ˈɔ	0.2
ˈaʊ̯	ˈaʊ̯	0.2
ˈuː	ˈɔʏ̯	0.182
ˈeː	ˈeː	0.182
ˈeː	ˈeɪ̯	0.182
ˈaː	ˈa	0.176
ˈɔ	-	0.167
b̥	v̥	0.167
ˈɪ	-	0.16
ˈaʊ̯	-	0.15
ˈaɪ̯	ˈɪ	0.148
ʦ	t	0.143
ˈaː	ˈɛ	0.118
ˈa	ˈoː	0.103
ˈa	ˈaʊ̯	0.103
t	-	0.097
b	v	0.091
n	-	0.075
ˈaɪ̯	-	0.074
ˈa	-	0.069
ʁ	-	0.067
