Czech	Macedonian	probability
ˈɪ_d	ɟ	1.0
ˈɪ	ˈi	1.0
ˈɛː	ˈɛ	1.0
ˈr̩	ˈr̩	1.0
ˈl̩	ˈo_ɫ	1.0
ˈaː	ˈa	1.0
ʧ	ʧ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɪ	i	1.0
ɟ	d	1.0
ɛː	ɛ	1.0
z̥	z̥	1.0
z	z	1.0
x	v	1.0
v_iː	f	1.0
u	a	1.0
t_iː	t	1.0
t	t	1.0
r̝̊	r	1.0
r_iː	a_r	1.0
r	r	1.0
p	p	1.0
o	o	1.0
m̩	u_m	1.0
m	m	1.0
l_iː	ɫ	1.0
k	k	1.0
j_ɛ	ɛ	1.0
j	j	1.0
iː	-	1.0
f	f	1.0
d̥	d̥	1.0
d_l	ɫ	1.0
d	d	1.0
c	t	1.0
b̥	b̥	1.0
b	b	1.0
v	v	0.976
n	n	0.966
a	a	0.937
ˈa	ˈa	0.902
s	s	0.893
ɲ	-	0.877
ˈuː	ˈo	0.815
ˈɛ	ˈɛ	0.809
ɛ	ɛ	0.769
ɦ	ɡ	0.725
j_ˈɛ	ˈɛ	0.721
ˈo	ˈo	0.7
r̝	r	0.7
ʦ	ʦ	0.615
ˈou̯	ˈu	0.6
l	ɫ	0.545
ˈiː	ˈi	0.517
x_iː	f	0.515
x_iː	x	0.485
ˈiː	ˈɛ	0.483
l	l	0.433
ˈou̯	ˈa	0.4
ˈu	ˈu	0.365
ˈu	ˈa	0.365
j_ˈɛ	ˈe	0.279
ɦ	-	0.275
ˈu	-	0.27
ɛ	-	0.231
ʦ	c	0.192
ʦ	-	0.192
r̝	-	0.189
ˈuː	-	0.185
ˈo	ˈɔ	0.179
ˈɛ	-	0.136
ɲ	ɲ	0.123
ˈo	-	0.121
r̝	ɾ	0.111
s	s_ɛ	0.107
ˈa	ˈɛ	0.098
a	k_a	0.063
ˈɛ	ˈo	0.055
