Yiddish	Scots	probability
b	b	0.698
b	v	0.156
b	f	0.074
b	-	0.064
d	d	0.427
d	θ	0.305
d	ð	0.252
d_z	s	0.242
f	f	0.708
f	p	0.18
f	pʰ	0.039
f	v	0.039
f	-	0.037
f_n	p	0.492
h	h	1.0
j	j	0.492
k	k	0.428
k	-	0.229
k	kʰ	0.188
k	ɡ	0.088
k	h	0.05
l	l	0.876
l	ɫ	0.063
l	-	0.035
l	θ	0.035
l_ɡ	l	1.0
m	m	0.932
m	n	0.068
m_ɛ	m	1.0
n	n	0.547
n	-	0.411
p	-	0.425
p	p	0.24
p	d	0.136
s	t	0.739
s	s	0.257
t	d	0.548
t	t	0.31
t	ð	0.07
t	θ	0.04
v	w	0.813
v	ʍ	0.121
v	-	0.059
z	s	0.899
z	z	0.064
z	-	0.045
ŋ	ŋ	0.852
ŋ	-	0.145
ə	ə	0.483
ə	-	0.441
ə	ɪ	0.04
ə	əi̯	0.038
ɡ	-	0.461
ɡ	ɡ	0.404
ɡ	j	0.062
ɡ	ŋ	0.062
ɡ_l	l	0.492
ɪ	əi̯	0.425
ɪ	-	0.28
ɪ	i	0.28
ʀ	r	0.965
ʀ	-	0.037
ʀ_ɛ	r	1.0
ʁ	r	1.0
ʃ	s	0.637
ʃ	ʃ	0.34
ʎ	l	0.492
ʦ	tʰ	0.571
ʦ	t	0.423
ʧ	s	1.0
ˈa	ˈɑː	0.282
ˈa	ˈɑ	0.212
ˈa	ˈɛ	0.169
ˈa	ˈe	0.112
ˈa	ˈɪ	0.112
ˈa_l	ˈɑː	1.0
ˈaɪ̯	ˈəi̯	0.637
ˈaɪ̯	ˈiː	0.115
ˈaɪ̯	ˈɪ	0.071
ˈaɪ̯	ˈei̯	0.058
ˈaɪ̯	ˈe	0.054
ˈi	ˈʌʉ̯	0.242
ˈɔ	ˈɔ	0.335
ˈɔ	ˈe	0.168
ˈɔ	ˈɛ	0.096
ˈɔ	ˈiː	0.081
ˈɔ	ˈɪ	0.071
ˈɔ_l	ˈʌʉ̯	0.492
ˈɔ_ɡ	ˈeː	1.0
ˈɔɪ̯	ˈei̯	0.385
ˈɔɪ̯	ˈʉ	0.305
ˈɔɪ̯	ˈiː	0.145
ˈɔɪ̯	ˈe	0.075
ˈɔɪ̯	ˈi	0.05
ˈɛ	ˈɛ	0.318
ˈɛ	ˈɪ	0.236
ˈɛ	ˈei̯	0.184
ˈɛ	ˈe	0.078
ˈɛ	ˈiː	0.052
ˈɛɪ̯	ˈe	0.517
ˈɛɪ̯	ˈɑː	0.196
ˈɛɪ̯	ˈɑ	0.096
ˈɛɪ̯	ˈiː	0.091
ˈɛɪ̯	ˈɛ	0.068
ˈɪ	ˈɪ	0.56
ˈɪ	ˈiː	0.178
ˈɪ	ˈi	0.067
ˈɪ	ˈɛ	0.051
ˈɪ	ˈaːɪ̯	0.038
ˈʊ	ˈø	0.241
ˈʊ	ˈʉ	0.21
ˈʊ	ˈɪ	0.175
ˈʊ	ˈɔ	0.158
ˈʊ	ˈʌ	0.102
χ	x	0.643
χ	k	0.245
χ	-	0.096
