Portuguese	Romansch	probability
#>	#>	0.941
<#	<#	1.0
<#_i	<#	0.51
<#_ɐ	<#	1.0
b	b	0.906
b	ʥ	0.093
d	d	0.915
d	n_t	0.085
d_u	t	1.0
ẽ	ˈe	0.51
f	f	1.0
i	i	0.392
i	-	0.23
i	ˈiː	0.23
i_ʃ	ʃ	1.0
ĩ	ŋ	0.5
ĩ	ə	0.5
j	-	0.507
j	j	0.158
j	l	0.077
j	ʦ	0.077
j	ə	0.051
j	ˈu	0.051
j_t	ʨ	1.0
j̃	-	0.253
j̃	l	0.253
j̃	j	0.161
j̃	ˈi	0.115
j̃	n	0.108
k	ʨ	0.505
k	k	0.459
k_u	ʨ	1.0
l	l	0.844
l	ʎ	0.087
l	-	0.066
m	m	0.966
n	n	0.892
n	n_ˈa	0.066
o	u	0.5
o	ə	0.5
õ	u	1.0
p	p	0.99
s	s	0.674
s	ʧ	0.207
s	r_s	0.055
s_u	ʦ	0.53
s_u	ʧ	0.461
t	t	0.853
t	-	0.069
t_u	ʨ	1.0
u	-	0.722
u	ə	0.053
v	v	0.847
v	f	0.075
v_u	f	0.26
w	w	0.447
w	-	0.226
w	u	0.109
w	ə	0.089
w	ˈa	0.089
w̃	w	0.437
w̃	n	0.343
w̃	-	0.098
w̃	r	0.093
z	-	0.254
z	d	0.254
z	ʃ	0.254
z	z	0.136
ð	d	0.665
ð	t	0.331
ð_u	t	1.0
ɐ	ə	0.797
ɐ	-	0.121
ɐ̃	ə	0.347
ɐ̃	-	0.229
ɐ̃	m	0.229
ɐ̃	ˈa	0.154
ɔ	o	0.337
ɔ	u	0.337
ɡ	ɡ	0.821
ɡ	ʥ	0.1
ɡ	ŋ	0.073
ɣ	-	0.409
ɣ	ɡ	0.24
ɣ	j	0.117
ɣ	ʥ	0.117
ɣ_u	k	0.51
ɣ_ɾ	r	0.51
ɨ	ə	0.412
ɨ	i	0.159
ɨ	ˈi	0.118
ɨ	e	0.078
ɨ	ˈe	0.066
ɨ	-	0.064
ɨ	ˈu	0.06
ɨ	j	0.053
ɨ_#>	#>	1.0
ɫ	l	0.702
ɫ	w	0.148
ɫ	ˈɔ	0.148
ɲ	n	0.625
ɲ	ɲ	0.374
ɲ_u	ɲ	1.0
ɾ	r	0.931
ɾ	-	0.067
ɾ_u	r	1.0
ʁ	r	1.0
ʃ	s	0.553
ʃ	ʃ	0.262
ʃ	p_l	0.052
ʎ	ʎ	0.75
ʎ	l	0.191
ʎ_u	ʎ	1.0
ʒ	ʃ	0.579
ʒ	ʥ	0.391
ˈa	ˈa	0.516
ˈa	ˈaː	0.273
ˈa	l_ˈa	0.092
ˈa	-	0.067
ˈe	j	0.342
ˈe	ˈe	0.174
ˈe	ə	0.155
ˈe	ˈɛ	0.119
ˈe	ˈi	0.067
ˈẽ	ˈɛ_n	0.502
ˈẽ	n	0.251
ˈẽ	-	0.125
ˈẽ	ˈɛ	0.059
ˈi	ˈi	0.748
ˈi	ˈiː	0.109
ˈi	ˈa	0.095
ˈi_ɣ	ˈi	1.0
ˈĩ	ˈɛ_n	0.608
ˈĩ	ˈɛ	0.205
ˈĩ	ˈi	0.076
ˈo	ˈu	0.433
ˈo	ˈɔ	0.177
ˈo	ˈa	0.093
ˈo	ˈuː	0.081
ˈo	ˈɔː	0.06
ˈo	ˈɛ	0.051
ˈo_j	ˈɔ	0.51
ˈo_ɣ	j	1.0
ˈõ	ˈu_n	1.0
ˈu	ˈi	0.537
ˈu	ˈu	0.358
ˈu	ˈiː	0.064
ˈu	ˈo	0.05
ˈũ	ˈi	0.26
ˈɐ	ˈa	0.315
ˈɐ	ˈe	0.242
ˈɐ	ˈɛ	0.223
ˈɐ	-	0.098
ˈɐ	ˈɔ	0.056
ˈɐ	ˈɔː	0.056
ˈɐ̃	ˈa	0.585
ˈɐ̃	ˈu	0.164
ˈɐ̃	ˈa_w	0.102
ˈɐ̃	ˈɔ	0.08
ˈɐ̃	-	0.054
ˈɔ	ˈu	0.409
ˈɔ	ˈɔ	0.358
ˈɔ	u	0.074
ˈɔ	ˈɔː	0.064
ˈɔ	ˈe	0.054
ˈɔ	ˈoː	0.054
ˈɛ	ˈɛ	0.496
ˈɛ	ˈɛː	0.153
ˈɛ	ˈi	0.104
ˈɛ	ˈeː	0.091
ˈɛ	j	0.082
ˈɛ	ˈe	0.06
ˈɨ	ˈeː	0.26
β	v	0.51
β	-	0.17
β	w	0.164
β	p	0.059
