Limburgish	Limburgish	probability
ˈʏː	ˈʏ	1.0
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈae̯	1.0
ˈɔu̯	ˈuː	1.0
ˈɑː	ˈa	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈæː_ʀ	ˈaː	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈi_#>	ˈae̯_#>	1.0
ʃ	ʃ	1.0
ʀ_ə	æ_n	1.0
ʀ_s	s_t	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ_ə	ŋ	1.0
ɡ_ə	ŋ	1.0
ə_ʀ	æ	1.0
ə_v̥	m	1.0
ə_l	l	1.0
z̥	z̥	1.0
w	l	1.0
v̥_#>	f_#>	1.0
v̥	v̥	1.0
v_ə	m	1.0
t_ə	t_n	1.0
n_ə	n_n	1.0
n	n	1.0
m_ə	m	1.0
m	m	1.0
k_ə	k_n	1.0
k_n	kʰ_n	1.0
j_#>	#>	1.0
i	ae̯	1.0
d	d	1.0
b	b	1.0
l	l	0.952
v	f	0.923
p	p	0.917
β	v	0.857
d̥	d̥	0.857
ŋ	ŋ	0.846
ˈɑ	ˈa	0.833
z	z	0.833
ˈɒː	ˈɒː	0.818
t	t	0.737
s	ʃ	0.727
ˈɪ	ˈɪ	0.714
ˈu	ˈaʊ̯	0.714
n_d	n	0.714
ɣ	ɡ	0.706
ˈɛː	ˈae̯	0.667
ˈœ	ˈʏ	0.667
#>	t_#>	0.636
j	-	0.615
ˈɔː	ˈaʊ̯	0.571
ʀ	r	0.549
ˈɛ	ˈɪ	0.5
ˈɔ	ˈʊ	0.5
ˈɔ	ˈɔ	0.5
ˈoː	ˈaʊ̯	0.5
ˈi	ˈeː	0.5
x	ç	0.476
ˈøː	ˈɔʏ̯	0.455
k	kʰ	0.433
ˈɔː	-	0.429
ə	-	0.429
k	k	0.367
#>	d̥_#>	0.364
ˈaː	ˈa	0.35
ˈœ	-	0.333
ˈi	-	0.333
ˈeː	ˈae̯	0.333
x	x	0.333
ə	n	0.314
ʀ	æ	0.294
ˈɪ	ˈɛ	0.286
ˈu	-	0.286
n_d	n_n	0.286
ˈøː	-	0.273
s	s	0.273
t	tʰ	0.263
ˈʊː	ˈʊ	0.25
ˈʊː	ˈaʊ̯	0.25
ˈɛ	ˈɛ	0.25
ˈɛ	-	0.25
ˈoː	ˈɔ	0.25
ˈoː	ˈɒː	0.25
ˈaː	-	0.25
ɣ	j	0.235
j	ɾ	0.231
ˈaː	ˈɒː	0.2
ˈeː	ˈɛː	0.185
ˈeː	ˈɛ	0.185
ˈɒː	ˈoː	0.182
ˈøː	ˈœː	0.182
ˈʊː	ˈuː	0.167
ˈʊː	-	0.167
ˈɛː	ˈɪ	0.167
ˈɛː	-	0.167
ˈɑ	-	0.167
ˈi	ˈɛɪ̯	0.167
z	ʃ	0.167
ŋ	ç	0.154
j	j	0.154
β	w	0.143
ˈeː	ˈɪ	0.111
ˈeː	ˈiː	0.111
ˈaː	ˈa_l	0.1
ˈaː	l	0.1
k	ç	0.1
x	ɣ̊	0.095
x	k	0.095
ˈøː	ˈøː	0.091
ə	l	0.086
ˈʊː	ˈɒː	0.083
ˈʊː	ˈœː	0.083
p	pʰ	0.083
v	v	0.077
ˈeː	-	0.074
d̥	t	0.071
d̥	-	0.071
k	-	0.067
ʀ	ˈaː	0.059
ʀ	ɾ_æ	0.059
ɣ	ɣ	0.059
ə	ɪ	0.057
ə	æ	0.057
ə	m	0.057
