Saterland Frisian	Saterland Frisian	probability
ˈɔːɪ̯	ˈɛ_ɡ̊ː	1.0
ˈɔ	-	1.0
ˈœː	ˈou̯	1.0
ˈøː	j	1.0
ˈyː	-	1.0
ˈoːu̯_n	n	1.0
ˈoː_ɣ	ˈuː	1.0
ˈiːu̯	ˈɪː	1.0
ˈeːu̯	ˈɛː	1.0
ˈaːu̯	-	1.0
ˈa	-	1.0
ɪ	ɡ̊_ʏ	1.0
ə_#>	#>	1.0
ŋ_k	ʰk	1.0
x_t	ʰt	1.0
x	ˈɔu̯	1.0
w	v	1.0
v	v	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r̥_#>	1.0
l_#>	#>	1.0
k_n	n̥	1.0
k_#>	ʏ_r̥_#>	1.0
j_ˈuː	ˈiː	1.0
j_ə	a	1.0
i	aːu̯	1.0
f_#>	v_ʏ_r̥_#>	1.0
f	f	1.0
d_ə	r	1.0
a	-	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
m	m	0.923
b	b̥	0.92
<#_d	<#_d̥	0.867
h	h	0.826
r	r	0.794
ŋ	ŋ_ɡ̊	0.778
#>	ʏ_r̥_#>	0.738
x_#>	r̥_#>	0.727
<#_r	<#_r	0.714
t	t	0.646
p	p	0.636
k	k	0.607
ˈaː	-	0.6
z	s	0.6
n_#>	ʏ_#>	0.6
d_#>	#>	0.6
l	l	0.59
ə	a	0.568
ˈɛː	-	0.556
d	ð	0.525
ˈɪ	-	0.5
ˈi	ˈiː	0.5
ˈaːi̯	ɣ_ʏ	0.5
ˈaːi̯	-	0.5
n	n	0.476
j	j	0.455
ˈuː	ˈuː	0.45
ˈɛː	ˈɪ	0.444
j	-	0.409
ˈaː	ˈa	0.4
ɣ	ɡ̊	0.4
z	-	0.4
n_#>	#>	0.4
d_#>	ʏ_r̥_#>	0.4
ˈʊ	-	0.375
ˈɛɪ̯	-	0.375
ˈeː	ˈɛːi̯	0.375
ˈɔː	-	0.368
ˈɛ	ˈɛ	0.364
ˈoːu̯	ˈoːu̯	0.333
<#	<#_ɡ̊	0.333
k	c	0.321
ˈʊ	ˈʏ	0.312
ˈoː	ˈœːy̯	0.3
<#_r	<#_r̥	0.286
ˈiː	ˈɪ	0.278
ˈiː	ˈiː	0.278
d	d̥	0.275
ˈɛ	ˈaː	0.273
x_#>	#>	0.273
p	ʰp	0.273
ɣ	-	0.267
ˈʊ	ˈu	0.25
ˈɪ	ˈɛ	0.25
ˈɪ	ˈi	0.25
ˈɛɪ̯	ˈaːi̯	0.25
ˈeː	-	0.25
ˈoːu̯	-	0.238
ˈoː	-	0.233
l	t͡l̥	0.231
ŋ	ŋ	0.222
<#	<#_kʰ	0.222
<#	<#_j	0.222
<#	<#_d̥	0.222
ˈi	j_ˈɛː	0.214
n	t͡n̥	0.214
ˈɔː	ˈaː	0.211
ˈuː	ˈʏ	0.2
ɣ	ɟ̊	0.2
t	θ	0.188
ˈɛ	ˈau̯	0.182
ˈɛ	-	0.182
l	l̥	0.179
h	ç	0.174
ˈɔː	ˈɑu̯	0.158
ˈɔː	ˈa	0.158
ˈuː	ˈɔː	0.15
ˈoːu̯	ˈa	0.143
ˈi	ˈɛː	0.143
ˈi	j	0.143
n	nː	0.143
j	ˈʏː	0.136
ˈoː	ˈa	0.133
ɣ	ɣ	0.133
<#_d	<#	0.133
ˈɛɪ̯	ˈiː_r̥	0.125
ˈɛɪ̯	ˈa	0.125
ˈɛɪ̯	r	0.125
ˈeː	ˈɛː	0.125
ˈeː	ˈɛi̯	0.125
ˈeː	j_ˈoːu̯	0.125
#>	r̥_#>	0.123
r	r̥	0.118
ˈiː	ˈɪː	0.111
ˈiː	ˈɑːu̯	0.111
ˈiː	ˈa	0.111
ˈiː	-	0.111
ə	ɪ	0.108
ə	-	0.108
ˈɔː	ˈɔ	0.105
ˈuː	ˈʏː	0.1
ˈuː	ˈoːu̯_ð	0.1
ˈoː	ˈɛːi̯	0.1
ˈoː	ˈaːu̯	0.1
d	θ	0.1
ˈoːu̯	ˈɪ	0.095
ˈoːu̯	ˈɔ_r	0.095
ˈoːu̯	ˈɔ	0.095
n	-	0.095
p	pʰ	0.091
r	ɪ_r̥	0.088
t	ʰt	0.083
b	-	0.08
m	-	0.077
#>	a_#>	0.077
n	n̥	0.071
k	ʰk	0.071
ə	ʏ	0.068
ˈoː	ˈɑːu̯	0.067
ˈoː	ˈuː	0.067
ˈʊ	ɲ	0.062
t	-	0.062
