Ripuarian	Ripuarian	probability
ˈʊ	ˈɔ	1.0
ˈɪ_ŋ	ɲ	1.0
ˈøː	ˈøː	1.0
ˈøʏ̯	ˈyː	1.0
ˈuː_d̥	ˈæʉ̯	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈoː	1.0
ˈoː_n	ˈoː	1.0
ˈoː_#>	ˈʉː_#>	1.0
ˈiː_#>	ˈøː_#>	1.0
ˈeɪ̯	ˈæɪ̯	1.0
ʃ_ˈe	ʂ	1.0
ʀ	ɾ	1.0
ɫ_d̥	lː	1.0
ɫ_#>	l_#>	1.0
ɣ̊	ɡ	1.0
ɣ	j	1.0
ɡ̊	-	1.0
ə_f	ʋ	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊_#>	ŋː_#>	1.0
ŋ_ɡ̊	nː	1.0
ŋ_k	ʰkː	1.0
ŋ_#>	#>	1.0
z̥_#>	s_#>	1.0
z̥	s_e	1.0
n_ɪ	ŋ	1.0
n_z̥	sː	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
h	h	1.0
f_#>	p_#>	1.0
e	e	1.0
d̥_#>	#>	1.0
d_ɐ	ɾ	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
l	l	0.923
m	m	0.92
f	f	0.895
ə	ɑ	0.825
j	ɡ	0.818
ʃ	s	0.81
ɐ	ɾ	0.808
ɕ	k	0.8
z	s	0.8
ʦ	tʰ	0.778
ʋ	ʋ	0.778
ˈœ	ˈʏ	0.75
ɕ_#>	ɡ_#>	0.75
#>	ɾ_#>	0.75
s	t	0.722
ˈo	ˈʉ	0.7
ˈʏ	-	0.667
ˈiː	ˈiː	0.667
v̥_#>	ʋ_#>	0.667
v	ʋ	0.667
p	p	0.667
n	n	0.654
ˈa	ˈɑ	0.64
ˈɔː	ˈʊ_ɾ	0.6
ɫ	l	0.6
<#	<#_kʰ	0.6
ˈyː	-	0.571
x	ʰtː	0.571
ˈɪ	ˈɪ	0.556
ˈɔ	-	0.556
t	t	0.556
ˈoː	ˈuː	0.529
ˈaː	ˈɑː	0.5
k	kʰ	0.474
ˈɔ	ˈʉ	0.444
t	-	0.444
d	d	0.441
ˈyː	ˈyː	0.429
x	k	0.429
ˈɔː	ɾ	0.4
ˈe	ˈɪ	0.4
ɫ	lː	0.4
ŋ	ŋː	0.4
<#	<#_ˈɛ	0.4
ˈɔʊ̯	ˈʉː	0.375
ˈɔʊ̯	ˈæʉ̯	0.375
ˈɛ	-	0.353
d	tʰ	0.353
ˈeː	-	0.35
ˈʏ	ˈʏ	0.333
ˈɛː	ˈɛ	0.333
ˈɛː	ˈeː	0.333
ˈɛː	-	0.333
ˈaː	ˈɑ	0.333
v̥_#>	#>	0.333
v	ʋ_e	0.333
ˈo	-	0.3
ŋ	n_d	0.3
ŋ	n	0.3
ˈoː	ˈoː	0.294
n	nː	0.269
ˈe	ˈiː	0.267
ˈɔʊ̯	-	0.25
ˈœ	-	0.25
ˈeː	ˈʉː	0.25
ˈeː	ˈæɪ̯	0.25
ɕ_#>	#>	0.25
#>	n_#>	0.25
ˈa	ˈɑː	0.24
ˈɛ	ˈɛ	0.235
ˈɪ	ˈiː	0.222
ˈɪ	ˈeː	0.222
ʦ	t	0.222
k	ɡː	0.211
k	ç	0.211
ˈe	-	0.2
ɕ	ʰtː	0.2
z	ʂ	0.2
ʃ	ʂ	0.19
j	ɡ_ˈʉː	0.182
ˈɛ	ˈɑ	0.176
ˈɛ	ˈeː	0.176
ˈoː	-	0.176
ˈiː	ˈoː	0.167
ˈiː	-	0.167
ˈaː	ˈɔ	0.167
s	s	0.167
p	ʰpː	0.167
p	ʉ	0.167
ˈeː	ˈyː	0.15
ˈe	ˈʏ	0.133
ˈa	-	0.12
ɐ	e	0.115
ʋ	v	0.111
ʋ	-	0.111
s	ʰtː	0.111
k	-	0.105
f	ʋ	0.105
d	-	0.088
m	mː	0.08
ɐ	ɾ_e	0.077
n	ˈoː	0.077
l	j	0.077
ə	e	0.075
ˈɛ	ˈæ	0.059
d	ˈøː	0.059
d	ç	0.059
