Faroese	Saterland Frisian	probability
ˈɛːi̯	ˈoː	1.0
ˈɛ_ɡ̊ː	ˈɔːɪ̯	1.0
ˈɔːu̯_w	ˈuː	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈeː	-	1.0
ˈaːi̯	ˈeː	1.0
ʰt͡n̥	ə_r	1.0
ʰt_ʊ	x	1.0
ʰt	t	1.0
ʰp	p	1.0
ʧ	k	1.0
ʤ̊ː	-	1.0
ʤ̊_ˈeː	ˈeːu̯	1.0
ʤ̊	-	1.0
ʊ_ɹ	ə	1.0
ʊ	ə	1.0
ʈ	-	1.0
ɹ_ʊ	ˈuː	1.0
ɹ_m	r_m	1.0
ɲ	ˈʊ_ŋ	1.0
ɡ̊_v̥	ˈoː_ɣ	1.0
ŋ_ɡ̊	ŋ	1.0
w	d	1.0
v̥	-	1.0
v_ʊ	v_ə	1.0
tʰ_ˈʉːu̯	d_ˈuː	1.0
t	t	1.0
sː	ˈuː_s	1.0
s_l	s_l	1.0
r	-	1.0
pʰ	p	1.0
p	p	1.0
n̥	ə_n_d	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
k	k	1.0
j_ˈœ	ˈɔː	1.0
j_ʊ	d	1.0
h	h	1.0
f	f	1.0
d̥_ɹ	d_r	1.0
d̥	d	1.0
b̥	b	0.948
s	s	0.926
l	l	0.885
a	ə	0.813
ˈøː	ˈɛɪ̯	0.761
ɹ	r	0.722
t͡l̥	l	0.683
v	v	0.678
ɡ̊	-	0.673
ˈɔːu̯	ˈoːu̯	0.648
ˈai̯	ˈeː	0.637
ŋ	-	0.623
ʃ	s_k	0.622
ˈʉːu̯	ˈuː	0.602
ˈɔːi̯	ˈeː	0.562
ɪ	ə	0.558
ˈɛːa̯	ˈɔː	0.557
ˈœ	-	0.521
ʰk	k	0.517
t͡n̥	r	0.511
ʧʰ	s	0.5
ʧʰ	k	0.5
ɡ̊_ʊ	ɣ̥	0.5
ɡ̊_ʊ	ə	0.5
t͡n̥	d_ə	0.489
ʰk	ŋ_k	0.483
ɪ	-	0.442
ˈɔːi̯	ˈoː	0.438
ˈʊ	ˈʊ	0.406
ˈʏ	ˈʊ	0.4
ˈʏ	j	0.4
ˈʉːu̯	-	0.398
ˈʊ̯iː	ˈi	0.384
ʃ	s	0.378
ŋ	ŋ	0.377
ˈɪ	ˈiː	0.37
ˈiː	ˈɪ	0.368
ˈai̯	-	0.363
ˈiː	ˈɔː	0.353
ˈɔːu̯	j_ˈoː	0.352
ɡ̊	j	0.327
ˈʊ	-	0.326
j	d	0.326
ˈɛ	-	0.321
ˈœ	ˈiː	0.32
t͡l̥	l_d	0.317
j	-	0.316
ˈɔ̯aː	ˈoːu̯	0.313
ˈɔ̯aː	ˈiː	0.303
ˈʊ̯iː	ˈiː	0.295
ˈɪ	ˈɪ	0.289
ˈɔ	-	0.276
ˈʊ	ˈuː	0.268
ˈɛ	ˈa	0.26
j	ɣ	0.251
ˈɔ̯aː	ˈoː	0.244
ˈʊ̯iː	j	0.24
ˈøː	-	0.239
ˈɛːa̯	-	0.23
ˈa	-	0.218
ˈa	ˈoːu̯	0.217
ˈɛːa̯	ˈɛ	0.214
ˈɛ	ˈɔː	0.203
ˈʏ	ˈøː	0.2
ˈɔ	ˈoːu̯	0.194
ˈiː	ˈiː	0.191
ˈɪ	j	0.174
ˈɪ	ˈɛː	0.166
ˈœ	ˈoːu̯	0.159
ˈa	ˈoː	0.157
v	-	0.154
ˈa	ˈɔː	0.151
ˈɔ̯aː	-	0.14
a	j_ə	0.133
ˈɔ	ˈɛ	0.128
ˈɔ	ˈɔː	0.128
l	ˈeː_l	0.115
ˈa	ˈɔ	0.113
ˈɛ	ˈɛ	0.108
ˈɛ	ˈeː	0.108
j	j	0.107
ˈɔ	ˈœː	0.094
ˈɔ	ˈoː	0.091
v	f	0.091
ˈɔ	ˈɔː_x	0.089
ˈiː	ˈiːu̯	0.088
ˈʊ̯iː	-	0.081
s	z	0.074
ˈa	ˈɛɪ̯	0.071
ˈa	ˈaːi̯	0.071
ɹ	t	0.06
ɹ	-	0.052
b̥	-	0.052
