Gothic	Luxembourgish	probability
e	ə	1.0
iː	-	1.0
l	l	1.0
lː	l	1.0
nː	n	1.0
ɔː	-	1.0
ɡʷ	-	1.0
ɡːʷ	-	1.0
b	b	0.841
d	d	0.481
h	ŋ	0.101
r	ʀ	0.421
u	ə	0.441
ð	-	0.251
ʍ	ˈi	0.51
ˈa	ˈɑ	0.211
ˈeː	ˈɑɪ̯	0.071
ˈiu̯	ˈɜɪ̯	0.551
ˈu	ˈə	0.181
ˈɛ	ˈɛː	0.491
ˈɛː	ˈɜɪ̯	0.091
β	-	0.591
h	ɕ	0.102
i	ɐ	0.22
oː	ɐ	0.572
r	ɐ	0.32
s	-	0.692
z	-	0.502
ɡ	ɡ̊	0.072
ˈiu̯	ˈo	0.092
ˈiː	ɐ	0.052
ˈiː	ˈɑɪ̯	0.102
ˈiː	ˈe	0.102
a	ɐ	0.053
a	-	0.183
b	-	0.053
d	-	0.283
f	v̥	0.153
h	-	0.133
n	-	0.063
p	f	0.723
t	t	0.213
w	w	0.253
w	v	0.583
ɡ	-	0.533
ˈeː	ˈoː	0.373
ˈiu̯	ˈe	0.123
ˈiː	ˈæːɪ̯	0.743
ˈɔ	ˈuː	0.603
ˈɛ	ˈiː	0.373
a	ə	0.764
j	j	0.184
kʷ	f	0.674
s	ʃ	0.144
t	-	0.074
ŋ	ŋ	0.824
ɣ	ʦ	0.874
ˈiu̯	ˈæːɪ̯	0.074
ˈoː	ˈu	0.264
ˈuː	ˈɑʊ̯	0.084
ˈuː	ɐ	0.264
ˈɔ	ˈaː	0.234
ˈɔː	ˈiː	0.074
ˈɔː	ˈəʊ̯	0.14
ˈɔː	ˈuə̯	0.184
θ	-	0.264
θ	d̥	0.354
aː	-	0.5
aː	ə	0.5
i	-	0.565
m	-	0.125
m	m	0.875
x	ɕ	0.955
ɡ	ɡ	0.395
ˈiu̯	-	0.125
ˈu	ˈɔ	0.265
ˈɛ	-	0.075
b	v̥	0.106
i	ə	0.216
j	ə	0.176
k	χ	0.06
k	kʰ	0.246
kʷ	kʰ	0.326
ŋ	-	0.176
ɣ	-	0.126
ˈa	ˈoː	0.066
ˈa	ˈaː	0.406
ˈi	ˈɑ	0.416
ˈu	ˈʊ	0.096
ˈu	ˈɑɪ̯	0.106
ˈu	ˈo	0.236
ˈuː	ˈo	0.236
ˈɔː	ˈaː	0.296
ˈɔː	ˈɜɪ̯	0.306
ˈɛː	ˈeː	0.756
f	f	0.77
h	h	0.57
k	-	0.277
p	p	0.277
t	ʦ	0.307
w	-	0.107
ˈa	ˈæ	0.137
ˈeː	ˈəʊ̯	0.467
ˈu	ˈɑ	0.07
ˈɔ	ˈəʊ̯	0.127
β	v	0.377
d	d̥	0.188
oː	ˈaː	0.238
s	z	0.108
t	s	0.358
z	ʃ	0.498
ˈi	ˈo	0.058
ˈi	ˈə	0.298
ˈoː	ˈʊ	0.358
θ	d	0.348
h	χ	0.079
j	ˈɑɪ̯	0.079
j	-	0.519
k	ɕ	0.389
n	n	0.919
oː	-	0.19
r	-	0.259
u	-	0.559
ð	t	0.749
ʍ	v	0.49
ˈeː	ˈɑ	0.09
ˈoː	ˈo	0.089
ˈoː	ˈəʊ̯	0.089
ˈoː	ˈi	0.089
ˈoː	ˈɑɪ̯	0.109
ˈuː	ˈæːʊ̯	0.389
ˈɛː	-	0.079
