Gothic	Luxembourgish	probability
a	ə	0.555
a	-	0.413
a	ɐ	0.04
a_r	ɐ	1.0
aː	-	0.489
b	b	0.84
b	-	0.144
d	d	0.646
d	t	0.191
d	-	0.101
d_s	t	1.0
e	ə	0.117
f	f	0.948
f	v	0.055
f_s	f	1.0
h	h	0.491
h	-	0.259
h	ɕ	0.097
h	ŋ	0.084
h	χ	0.048
i	-	0.793
i	ə	0.203
iː	-	0.594
iː	ɐ	0.22
iː	ˈəɪ̯	0.046
j	-	0.559
j	j	0.273
j	ə	0.157
k	ɕ	0.401
k	kʰ	0.383
k	-	0.126
k	k	0.053
k_s	ʃ	1.0
kʷ	f	0.489
l	l	1.0
lː	l	1.0
m	m	0.902
m	n	0.077
m	z	0.034
m_s	m	1.0
n	n	0.862
n	-	0.123
nː	n	1.0
oː	-	0.526
oː	ɐ	0.366
oː	ˈaː	0.069
oː	ə	0.044
p	f	0.891
p	p	0.067
p_s	f	0.489
r	ʀ	0.485
r	ɐ	0.316
r	-	0.147
r	ˈiː	0.045
r_a	ɐ	0.489
r_n	ʀ	1.0
s	-	0.567
s	ʃ	0.176
s	z	0.129
s	ɕ	0.057
s	s	0.048
s_k	ʃ	1.0
t	ʦ	0.393
t	t	0.323
t	s	0.224
t	-	0.052
t_s	t	0.627
t_s	s	0.364
u	ə	0.542
u	-	0.445
w	v	0.548
w	w	0.289
w	ˈəɪ̯	0.07
w	-	0.058
w	ɐ	0.041
w_s	ˈəɪ̯	1.0
x	χ	0.574
x	ɕ	0.281
z	-	0.181
z	ʃ	0.088
ð	-	0.574
ð	t	0.281
ŋ	ŋ	0.829
ŋ	-	0.169
ɔː	-	0.057
ɡ	-	0.548
ɡ	ɡ	0.447
ɡ_s	k	1.0
ɡʷ	-	0.239
ɡːʷ	-	1.0
ɣ	ʦ	0.574
ɣ	-	0.281
ʍ	v	0.53
ʍ	ˈi	0.461
ˈa	ˈaː	0.329
ˈa	ˈɑ	0.237
ˈa	ˈæ	0.077
ˈa	ˈoː	0.067
ˈa	ˈu	0.067
ˈa_r	ˈaː	1.0
ˈeː	ˈoː	0.457
ˈeː	ˈəʊ̯	0.194
ˈeː	ˈɑ	0.194
ˈeː	ˈɑɪ̯	0.125
ˈi	ˈə	0.454
ˈi	ˈɑ	0.299
ˈi	-	0.06
ˈi	ˈi	0.06
ˈi	ˈiː	0.052
ˈi_ɡ	ˈeː	1.0
ˈiu̯	ˈəɪ̯	0.54
ˈiu̯	ˈæːɪ̯	0.135
ˈiu̯	ˈɑɪ̯	0.122
ˈiu̯	ˈe	0.094
ˈiː	ˈæːɪ̯	0.605
ˈiː	ˈæɪ̯	0.219
ˈiː	ˈɑɪ̯	0.141
ˈiː_s	ˈæːɪ̯	1.0
ˈoː	ˈʊ	0.428
ˈoː	ˈu	0.335
ˈoː	ˈɑɪ̯	0.082
ˈoː	ˈəʊ̯	0.079
ˈu	ˈo	0.426
ˈu	ˈɑɪ̯	0.144
ˈu	ˈɔ	0.125
ˈu	ˈʊ	0.072
ˈu	ˈu	0.072
ˈuː	ˈæːʊ̯	0.53
ˈuː	ˈo	0.265
ˈuː	ˈu	0.161
ˈɔ	ˈaː	0.324
ˈɔ	ˈuː	0.282
ˈɔ	ˈəʊ̯	0.165
ˈɔ	ˈɑ	0.125
ˈɔː	ˈaː	0.32
ˈɔː	ˈəɪ̯	0.32
ˈɔː	ˈəʊ̯	0.19
ˈɔː	ˈʊɪ̯	0.125
ˈɔː	ˈuə̯	0.039
ˈɛ	ˈɛː	0.381
ˈɛ	ˈiː	0.332
ˈɛ	-	0.149
ˈɛ	ˈe	0.101
ˈɛː	ˈeː	0.587
ˈɛː	-	0.268
ˈɛː	ˈɛ	0.088
ˈɛː	ˈiː	0.047
β	-	0.422
β	v	0.257
β	p	0.156
θ	d	0.377
θ	-	0.332
θ	t	0.277
θ_s	t	1.0
θ_u	t	0.489
