Aromanian	Asturian	probability
e	l	1.0
e̯a	-	1.0
e̯ˈa	ˈe	1.0
v	b	1.0
w	ˈe_β	1.0
ç	f	1.0
ŋ	-	1.0
ɲ	m	1.0
ʧ	-	1.0
ˈɨ	ˈa	1.0
d	-	0.491
i	e	0.431
r	ɾ	0.741
t	ʧ	0.061
t	t	0.391
ˈi	j_ˈe	0.111
a	ˈa	0.192
b	b	0.672
f	-	0.172
j	ɟ͡ʝ	0.082
p	β	0.12
s	e_s	0.182
ɡ	-	0.302
ʃ	s	0.442
ʤ	ʃ	0.702
ʦ	-	0.222
ˈa	ˈe	0.052
ˈa	a	0.102
ˈe	ˈe	0.552
ˈi	-	0.082
i	a	0.163
o̯ˈa	w_ˈe	0.473
r	r	0.053
t	-	0.223
ə	u	0.113
ʃ	θ	0.253
ʣ	ʃ	0.123
ʣ	-	0.53
i	ˈe	0.104
k	p_j	0.054
l	ʎ	0.684
u	u	0.714
ʎ	ʎ	0.074
ʤ	ʝ	0.074
ʤ	-	0.224
ʦ	t	0.154
ˈo	ˈo	0.394
k	ɣ	0.125
n	ɲ	0.135
ə	a	0.635
ˈo	w_ˈe	0.525
i	-	0.056
l	-	0.236
m	m	0.836
n	ŋ	0.06
r	-	0.116
ʎ	-	0.926
ʦ	k	0.076
ˈa	j_ˈe	0.086
ˈi	ˈe	0.396
ˈi	ˈi	0.396
ˈo	w	0.066
j	s	0.537
k	-	0.087
k	k	0.687
n	-	0.167
o̯ˈa	ˈo	0.527
ʃ	ʃ	0.127
ʣ	d	0.347
ˈa	ˈa	0.727
ˈu	ˈu	0.347
ˈu	ˈo	0.607
a	a	0.808
f	f	0.828
i	o	0.058
i	ˈi	0.078
n	n_u	0.068
p	-	0.218
s	s	0.818
ə	-	0.08
ɡ	b	0.698
ʃ	-	0.178
ʦ	θ	0.548
ˈe	j_ˈe	0.448
b	-	0.119
b	β	0.209
d	d	0.509
j	β	0.359
l	l	0.069
m	l_m	0.079
n	n	0.569
p	p	0.629
r	l_u	0.059
t	ð	0.269
u	o	0.249
ə	e	0.129
