East Franconian	American English	probability
β	v	1.0
ˈɛː	ˈi	1.0
ˈɘ	-	1.0
ˈɔ_ɐ	ˈɝ	1.0
ˈɒː	ˈeɪ̯	1.0
ˈɒ_l	ˈæ	1.0
ˈuː_ɣ̊	ˈaʊ̯	1.0
ˈoː_ŋ	ˈeɪ̯	1.0
ˈoː_n	ˈʌ_n	1.0
ˈiː_ɐ	ˈi	1.0
ˈiː_ŋ	ˈaɪ̯	1.0
ˈa	ˈɑ	1.0
ɾ	ð	1.0
ɪ	i	1.0
ɣ	ˈeɪ̯	1.0
ɡ̊_n	ʤ	1.0
ɐ_n	ɹ_n	1.0
ç_d̥	ʔ	1.0
z̥_n	ʔ	1.0
x_d̥	ʔ	1.0
x	k	1.0
v̥	p	1.0
r	ɹ	1.0
n_s	s	1.0
m	m	1.0
l_n	ɫ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
v	w	0.917
f	f	0.825
ˈʊ	ˈʌ	0.767
z̥	z	0.708
ˈɪ	ˈɪ	0.675
kʰ	kʰ	0.672
s	s	0.653
ˈaʊ̯	ˈaʊ̯	0.624
ʦ	tʰ	0.589
ɐ	ɚ	0.585
ŋ	ŋ	0.581
n	n	0.581
d̥	d	0.579
ˈɛ	ˈɛ	0.568
ˈiː	ˈi	0.556
ʃ	s	0.548
l	ɫ	0.544
ç	ʧ	0.5
ç	k	0.5
ˈaː	ˈoʊ̯	0.486
ˈeː	-	0.465
ʃ	ʃ	0.452
ɡ̊	ɡ	0.43
l	l	0.423
ˈaɪ̯	ˈaɪ̯	0.414
ˈaʊ̯	ˈʌ	0.376
s	ʔ	0.347
ˈɔ	ˈɔ	0.336
kʰ	ʧ	0.328
ˈoː	ˈeɪ̯	0.322
ˈoː	ˈi	0.32
ʦ	ʔ	0.304
ˈɒ	ˈɑ	0.302
ɡ̊	k	0.302
n	-	0.301
z̥	ɾ	0.292
ˈɒ	ˈɛə̯	0.288
ŋ	k	0.285
ˈeː	ˈɛ	0.281
ˈaː	ˈi	0.273
ɡ̊	-	0.267
d̥	θ	0.267
ɐ	ɹ	0.257
ˈeː	ˈi	0.254
ˈuː	ˈʌ	0.243
ˈʊ	-	0.233
ˈɔ	ˈʊ	0.221
ˈɔ	ˈɑ	0.221
ˈɔ	-	0.221
ˈɪ	ˈaɪ̯	0.217
ˈaɪ̯	ˈʌɪ̯	0.216
ˈuː	ˈɛ	0.21
ˈuː	ˈu	0.195
ˈoː	ˈæ	0.184
ˈiː	ˈoʊ̯	0.183
ˈɛ	-	0.179
ˈoː	n	0.174
ˈaɪ̯	-	0.165
ˈuː	ˈʊ	0.158
ˈɒ	ˈæ	0.157
ˈiː	-	0.134
ŋ	ŋ_ɡ	0.134
ˈiː	ˈɪ	0.127
d̥	t	0.127
ˈaː	ˈɛ	0.125
ˈaɪ̯	ˈi	0.123
ˈaː	-	0.115
f	v	0.11
ˈɪ	-	0.109
ˈɒ	ˈɛ	0.109
ʦ	-	0.107
ˈuː	ˈi	0.098
ˈuː	ˈaʊ̯	0.096
n	n_d	0.093
ɐ	ˈɔ_ɹ	0.087
ˈɛ	ˈæ	0.085
ˈɛ	ˈɔ	0.084
ˈɛ	ˈɑ	0.084
v	-	0.083
ˈaɪ̯	ˈɪ	0.082
ˈɒ	ˈʌɪ̯	0.072
ˈɒ	ˈoʊ̯	0.072
ɐ	ˈɝ	0.071
f	p	0.065
