Luxembourgish	Proto-Germanic	probability
b	b	0.97
d	θ	0.482
d	d	0.393
d	ð	0.099
e	e	0.714
e	i	0.286
f	ɸ	0.608
f	p	0.182
f	β	0.072
h	x	0.977
j	j	1.0
k	ɣ_j	0.462
k	k	0.187
k	ɡ_ɑ	0.143
k	x	0.137
k	kː	0.072
kʰ	k	0.957
l	l	0.842
l	l_ɑ	0.066
m	m	0.554
m	m_ɑ	0.289
m	-	0.097
n	n_ɑ̃	0.463
n	n	0.452
n	nː	0.051
p	pː	0.647
p	p	0.353
s	t	0.303
s	s	0.273
s	t_ɑ	0.214
s	s_ɑ̃	0.134
s	t_i	0.077
t	t	0.225
t	ð_i	0.133
t	ð_ɑ̃	0.133
t	θ	0.07
t	θ_ɑ̃	0.066
t	d	0.055
t	-	0.053
tʰ	t	1.0
v	w	0.587
v	β	0.243
v	xʷ	0.153
w	w	1.0
z	s	0.945
z	s_w	0.055
ŋ	ŋ	0.6
ŋ	x_u	0.162
ŋ	n	0.117
ŋ	u	0.107
ɐ	r	0.435
ɐ	ɔːː	0.08
ɐ	ɔː	0.071
ɐ	r_ɑ̃	0.067
ɐ	r_ɑ	0.057
ɐ	ɛː	0.055
ɐ	ˈiː	0.053
ɕ	x	0.364
ɕ	k	0.201
ɕ	ɑ_z	0.171
ɕ	k_i	0.118
ɕ	z	0.093
ə	ɑ	0.505
ə	j_ɑ	0.213
ə	-	0.089
ə	u	0.061
ɡ	ɣ	0.974
ʀ	r	0.758
ʀ	r_n	0.111
ʀ	x_r	0.058
ʃ	s	0.529
ʃ	s_k	0.459
ʑ	ɣ	0.67
ʑ	j	0.33
ʦ	t	1.0
ˈaː	ˈɑ	0.478
ˈaː	ˈɑu̯	0.19
ˈaː	ˈu	0.153
ˈaː	ˈɑ_r	0.151
ˈe	ˈe	0.353
ˈe	ˈi	0.263
ˈe	ˈu	0.21
ˈe	ˈɔː	0.174
ˈeː	ˈɑi̯	0.799
ˈeː	ˈe	0.105
ˈeː	ˈɑu̯	0.062
ˈi	ˈe	0.444
ˈi	ˈu	0.311
ˈi	ˈɔ	0.115
ˈi	ˈɔː	0.079
ˈi	ˈeu̯	0.051
ˈiə̯	ˈe	0.653
ˈiə̯	ˈi	0.173
ˈiə̯	ˈɑ	0.173
ˈiː	ˈe	0.361
ˈiː	ˈu	0.197
ˈiː	w	0.123
ˈiː	ˈeu̯	0.114
ˈiː	ˈɑ	0.081
ˈo	ˈu	0.833
ˈo	ˈe	0.072
ˈo	ˈeu̯	0.053
ˈoː	ˈɛː	0.467
ˈoː	ˈɑ_ɣ	0.24
ˈoː	ˈɑ	0.209
ˈu	ˈɔː	0.396
ˈu	ˈɑ	0.377
ˈu	ˈu	0.146
ˈu	ˈɑi̯	0.065
ˈuə̯	ˈɑ	0.875
ˈuə̯	ˈu	0.125
ˈuː	ˈu	1.0
ˈæ	ˈɑ	1.0
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.547
ˈæːɪ̯	ˈi	0.311
ˈæːɪ̯	ˈiu̯	0.142
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈi	0.451
ˈɑ	ˈɑ	0.435
ˈɑɪ̯	ˈiu̯	0.209
ˈɑɪ̯	ˈu	0.207
ˈɑɪ̯	ˈiː	0.138
ˈɑɪ̯	ˈuː	0.138
ˈɑɪ̯	ˈeː	0.108
ˈɑɪ̯	ˈɔː	0.091
ˈɑɪ̯	ˈi	0.059
ˈɔ	ˈu	0.862
ˈɔ	ˈuː	0.138
ˈə	ˈu	0.404
ˈə	ˈi	0.324
ˈə	ˈe	0.156
ˈə	ˈɑ	0.115
ˈəʊ̯	ˈɑu̯	0.471
ˈəʊ̯	ˈɛː	0.385
ˈəʊ̯	ˈɔː	0.114
ˈɛ	ˈɑ	0.416
ˈɛ	ˈe	0.371
ˈɛ	ˈɑi̯	0.214
ˈɛː	ˈe	1.0
ˈɜɪ̯	ˈeu̯	0.261
ˈɜɪ̯	ˈɑu̯	0.236
ˈɜɪ̯	ˈɑi̯_w	0.137
ˈɜɪ̯	ˈeu̯_ɣ	0.083
ˈɜɪ̯	w	0.07
ˈɜɪ̯	ˈɔː	0.069
ˈɜɪ̯	ˈɑ	0.053
ˈʊ	ˈɔː	0.699
ˈʊ	ˈu	0.301
ˈʊɪ̯	ˈu	1.0
χ	k	0.703
χ	x	0.165
χ	ɣ	0.131
