North Frisian	Swedish	probability
#>	#>	0.862
#>	a_#>	0.068
<#	<#	1.0
<#_d	<#	1.0
<#_j	<#	1.0
<#_v	<#	0.473
b	b	0.903
b	-	0.061
d	d	0.774
d	-	0.103
d	tʰ	0.061
d_#>	#>	0.473
dʲ	d	1.0
f	f	0.82
f	v	0.111
f	-	0.064
h	h	0.985
i	ɪ	0.519
i	-	0.407
i	ɵ	0.052
j	j	0.366
j	-	0.304
j	ɡ	0.201
j	ˈyː	0.059
j	rː	0.052
k	k	0.415
k	kʰ	0.349
k	-	0.083
k	ɡ	0.077
k	kː	0.053
l	l	0.866
l	lː	0.081
lʲ	l	0.641
lʲ	r	0.143
lʲ	lː	0.137
m	m	0.834
m	mː	0.149
n	n	0.737
n	nː	0.184
n_#>	#>	1.0
nʲ	n	0.733
nʲ	-	0.254
p	p	0.579
p	pʰ	0.153
p	r	0.07
p	pː	0.068
p	v	0.068
r	r	0.878
r	ɳ	0.071
r_#>	#>	0.473
r_d	ɖ	1.0
s	s	0.825
s	ɧ	0.057
t	t	0.452
t	tʰ	0.284
t	-	0.104
t_#>	#>	1.0
tʲ	t	0.54
tʲ	tː	0.189
tʲ	ɕ	0.128
tʲ	tʰ	0.077
v	v	0.662
v	-	0.257
v_ə	v	1.0
w	ɡː	0.265
w	a	0.231
w	ʊ	0.126
x	tː	0.639
x	k	0.14
x	s	0.098
x	ɡ	0.095
z	t	0.407
z	s	0.192
z	r	0.099
z	d	0.091
ŋ	ŋː	0.541
ŋ	ŋ	0.339
ŋ	-	0.109
ŋ_k	kː	0.473
ə	a	0.542
ə	ɛ	0.304
ə	-	0.12
ə_#>	#>	1.0
ə_l	l	0.473
ə_v	v	1.0
ɡ	ɡ	0.857
ɡ	j	0.117
ʃ	s_k	0.465
ʃ	ɧ	0.297
ʃ	ɕ	0.157
ʃ	f	0.059
ˈa	ˈɛ	0.252
ˈa	ˈɪ	0.203
ˈa	ˈɑː	0.138
ˈa	ˈa	0.079
ˈa	-	0.063
ˈa	ˈuː	0.063
ˈa	ˈæː	0.063
ˈa	ˈʏ	0.063
ˈa	ˈœ	0.062
ˈai̯	ˈɪ	0.594
ˈai̯	ˈyː	0.392
ˈaː	ˈeː	0.594
ˈaː	ˈoː	0.392
ˈeː	ˈɑː	0.176
ˈeː	ˈa	0.154
ˈeː	ˈɛ	0.134
ˈeː	ˈiː	0.088
ˈeː	ˈoː	0.088
ˈeː	ˈɔ	0.088
ˈeː	ˈæː	0.069
ˈeː	ˈeː	0.066
ˈeː	ˈɵ	0.066
ˈi	ˈiː	0.461
ˈi	ˈɪ	0.188
ˈi	ˈeː	0.121
ˈi	ŋ	0.08
ˈi	ˈɵ	0.08
ˈiː	ˈeː	0.214
ˈiː	j_ˈʉː	0.168
ˈiː	ˈiː	0.12
ˈiː	ˈøː	0.097
ˈiː	ˈyː	0.091
ˈiː	ˈʉː	0.084
ˈuː	ˈøː	0.357
ˈuː	ˈoː	0.132
ˈuː	ˈa	0.112
ˈuː	ˈuː	0.1
ˈuː	ˈœ	0.1
ˈuː	ˈœː	0.1
ˈuː	ˈʉː	0.056
ˈyː	ˈʉː	0.353
ˈyː	ˈøː	0.263
ˈyː	ˈɵ	0.112
ˈyː	ˈoː	0.068
ˈyː	ˈœ	0.057
ˈøː	ˈʉː	0.22
ˈøː	ˈoː	0.138
ˈøː	ˈuː	0.138
ˈøː	ˈyː	0.138
ˈøː	ˈɔ	0.09
ˈøː	ˈɵ	0.086
ˈœ	ˈa	0.343
ˈœ	ˈuː	0.343
ˈœ	ˈɵ	0.068
ˈœ	ˈiː	0.065
ˈœ	ˈʊ	0.065
ˈœ	ˈʏ	0.065
ˈɒ	ˈa	0.443
ˈɒ	ˈɑː	0.2
ˈɒ	ˈɛ	0.174
ˈɒ	ˈʉː	0.118
ˈɒː	ˈɑː	0.484
ˈɒː	ˈɛ	0.211
ˈɒː	ˈeː	0.179
ˈɔ	ˈɔ	0.558
ˈɔ	ˈuː	0.351
ˈɔi̯	ˈɛ	0.473
ˈɔu̯	ˈoː	0.253
ˈɔu̯	ˈøː	0.158
ˈɔu̯	ŋ	0.149
ˈɔu̯	ˈuː	0.149
ˈɔu̯	r	0.099
ˈɔː	ˈʉː	0.26
ˈɔː	ˈɔ	0.204
ˈɔː	ˈa	0.13
ˈɔː	ˈɛː	0.117
ˈɔː	ˈøː	0.086
ˈɔː	ˈɵ	0.082
ˈɛ	ˈøː	0.28
ˈɛ	ˈœ	0.28
ˈɛ	ˈɛ	0.165
ˈɛ	ˈɪ	0.165
ˈɛi̯	ˈoː	0.31
ˈɛi̯	ˈɛː	0.303
ˈɛi̯	ˈøː	0.118
ˈɛi̯	ˈɑː	0.113
ˈɛi̯	ˈa	0.052
ˈɛː	ˈɛː	0.466
ˈɛː	ˈoː	0.318
ˈɛː	ˈɑː	0.074
ˈɛː	ˈɛ	0.074
ˈʊ	ˈɵ	0.304
ˈʊ	ˈʊ	0.151
ˈʊ	ˈa	0.128
ˈʊ	ˈoː	0.074
ˈʊ	ˈɛ	0.074
ˈʊ	ˈʏ	0.074
ˈʊ	ˈɪ	0.058
ˈʊ	-	0.057
ˈʊ	ˈɔ	0.057
ˈʏ	ˈʏ	0.758
ˈʏ	ˈœ	0.119
