North Frisian	Eastphalian	probability
#>	#>	0.779
#>	ə_#>	0.149
#>	d_#>	0.052
<#	<#	0.986
b	b	0.956
b	-	0.05
d	d	0.532
d	t	0.226
d	-	0.184
dʲ	t	0.605
dʲ	d	0.219
dʲ	-	0.143
f	f	1.0
h	h	0.924
h	k	0.076
i	ɪ	0.646
i	-	0.334
j	-	0.238
j	j	0.219
j	ɣ	0.176
j	l	0.101
j	r	0.079
j	x	0.078
j	ɡ	0.078
k	k	0.903
k	x	0.057
l	l	0.956
lʲ	l	0.852
lʲ	ɐ	0.102
m	m	1.0
n	n	0.95
n_#>	#>	1.0
nʲ	n	1.0
p	p	0.702
p	b	0.283
r	r	0.516
r	ɐ	0.481
r_#>	#>	0.121
r_s	s	0.495
s	s	0.532
s	z	0.34
t	t	0.799
t	d	0.198
t_#>	#>	1.0
tʲ	t	0.662
tʲ	d	0.321
v	v	0.715
v	w	0.075
v	-	0.068
v_ə	f	1.0
w	ɣ	1.0
x	x	0.569
x	ç	0.422
z	z	0.582
z	t	0.346
z	d	0.059
ŋ	ŋ	0.82
ŋ	-	0.062
ŋ	n	0.061
ŋ	ç	0.061
ə	n	0.531
ə	-	0.298
ə	ə	0.169
ə_#>	#>	1.0
ə_r	ɐ	1.0
ə_v	f	1.0
ɡ	ɣ	0.814
ɡ	j	0.146
ʃ	ʃ	0.789
ʃ	k	0.107
ʃ	z	0.088
ˈa	ˈɪ	0.38
ˈa	ˈa	0.206
ˈa	ˈœ	0.107
ˈa	ˈʏ	0.107
ˈa	ˈaː	0.084
ˈa	ˈeː	0.082
ˈai̯	ˈɪ	0.683
ˈai̯	ˈiː	0.223
ˈaː	ˈɪ	0.425
ˈaː	ˈɛ	0.242
ˈaː	ˈoː	0.137
ˈeː	ˈiː	0.223
ˈeː	ˈa	0.201
ˈeː	ˈeː	0.133
ˈeː	ˈɛ	0.133
ˈeː	ˈœ	0.101
ˈeː	ˈʏ	0.101
ˈeː	ˈɛə̯	0.079
ˈi	ˈiː	0.612
ˈi	ˈɪ	0.223
ˈi	ˈɛ	0.081
ˈi	ˈɛː	0.081
ˈiː	ˈɛɪ̯	0.552
ˈiː	ˈiː	0.115
ˈiː	ˈøː	0.1
ˈiː	ˈeo̯	0.058
ˈiː	ˈeː	0.05
ˈiː_ə	ˈɛɪ̯	1.0
ˈuː	ˈeo̯	0.471
ˈuː	ˈoː	0.133
ˈuː	ˈa	0.101
ˈuː	ˈaʊ̯	0.101
ˈuː	ˈuː	0.101
ˈuː	w	0.08
ˈyː	ˈuː	0.307
ˈyː	ˈeo̯	0.213
ˈyː	ˈʊ	0.098
ˈyː	ˈʏ	0.095
ˈyː	ˈaʊ̯	0.074
ˈyː	ˈɔ	0.074
ˈyː	ˈeː	0.058
ˈyː	ˈiː	0.058
ˈøː	ˈuː	0.401
ˈøː	ˈøː	0.173
ˈøː	ˈyː	0.163
ˈøː	ˈɛ	0.113
ˈœ	ˈa	0.264
ˈœ	ˈaʊ̯	0.243
ˈœ	ˈɔ	0.2
ˈœ	ˈɪ	0.073
ˈœ	ˈɛː	0.071
ˈœ	ˈʊ	0.071
ˈœ	ˈoː	0.061
ˈɒ	ˈa	0.437
ˈɒ	ˈɪ	0.266
ˈɒ	ˈɛɪ̯	0.133
ˈɒ	ˈɔ	0.094
ˈɒ	ˈaː	0.053
ˈɒː	ˈa	0.402
ˈɒː	ˈɒː	0.402
ˈɒː	ˈɛɪ̯	0.108
ˈɒː	ˈaː	0.06
ˈɔ	ˈoː	0.66
ˈɔ	ˈɔ	0.162
ˈɔi̯	ˈɛɪ̯	0.245
ˈɔu̯	ˈoː	0.307
ˈɔu̯	ˈaʊ̯	0.176
ˈɔu̯	ˈɒː	0.176
ˈɔu̯	ˈɛɪ̯	0.159
ˈɔu̯	ˈa	0.115
ˈɔː	ˈɔ	0.337
ˈɔː	ˈɛː	0.189
ˈɔː	ˈa	0.129
ˈɔː	ˈeː	0.094
ˈɔː	ˈœ	0.076
ˈɔː	ˈɒː	0.074
ˈɔː	ˈɛ	0.074
ˈɛ	ˈɪ	0.304
ˈɛ	ˈɔʏ̯	0.301
ˈɛ	ˈa	0.188
ˈɛi̯	ˈɒː	0.356
ˈɛi̯	ˈɔʏ̯	0.243
ˈɛi̯	ˈɛɪ̯	0.11
ˈɛi̯	ˈa	0.105
ˈɛi̯	ˈɛ	0.099
ˈɛː	ˈeː	0.324
ˈɛː	ˈɒː	0.246
ˈɛː	ˈɛː	0.235
ˈɛː	ˈɛɪ̯	0.061
ˈʊ	ˈʊ	0.374
ˈʊ	ˈɪ	0.269
ˈʊ	ˈa	0.121
ˈʊ	ˈaː	0.066
ˈʊ	ˈɛ	0.063
ˈʊ	ˈʏ	0.063
ˈʏ	ˈʏ	0.315
ˈʏ	w	0.194
ˈʏ	ˈɔ	0.194
ˈʏ	ˈyː	0.12
