Zeelandic	Bavarian	probability
ˈɑu̯	ˈo_j	1.0
ˈæi̯	ˈoɐ̯	1.0
ˈuːə̯	-	1.0
ˈiːə̯	ˈeː	1.0
ʋ	ʋ	1.0
ɾ_ə	ɐ_n	1.0
ɫ_ə	j	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_t	x_d̥	1.0
v̥	f_ə	1.0
v	f	1.0
t_ə	s_n	1.0
s_x	ʃ	1.0
s_t	ʃ_d̥	1.0
s	ʃ	1.0
m	m	1.0
k_ə	x	1.0
iː	eː	1.0
i	ˈu	1.0
d̥	d̥	1.0
d_ɾ	d̥_r	1.0
d_ə	d̥_n	1.0
d	d̥	1.0
b	b̥	1.0
z	s	0.857
n	n	0.853
x	ɡ̊	0.785
ˈuː	ˈuɐ̯	0.737
ɾ	ɐ	0.683
j	j	0.665
ˈɪ	ˈi	0.65
ˈu	ˈu	0.644
ˈiː	ˈiɐ̯	0.632
ˈeː	ˈe	0.629
ɫ	l	0.612
ˈyː	ˈau̯	0.61
ˈøː	-	0.607
ˈi	ˈi	0.573
v_ə	m	0.572
ə	a	0.548
t	ʦ	0.547
ˈɪə̯	-	0.52
ˈɔ	ˈu	0.513
ˈɒː	ˈo	0.5
ˈɒː	-	0.5
ˈɪə̯	ˈoɐ̯	0.48
k	kʰ	0.447
ˈæ	ˈe	0.439
v_ə	β	0.428
ˈi	ˈai̯	0.427
p	b̥͡v̥	0.399
ˈøː	ˈu	0.393
ɫ	j	0.388
ˈʏ	ˈu	0.386
ˈɛː	ˈoː	0.375
ˈeː	-	0.371
ˈiː	ˈai̯	0.368
ˈu	ˈuɐ̯	0.356
p	f	0.335
j	-	0.335
ˈɛː	-	0.328
ˈɑ	ˈɑ	0.318
ˈʏ	ˈo	0.307
ˈʏ	ˈe	0.307
ˈæ	-	0.3
ˈɔ	ˈo	0.293
k	ɡ̊	0.29
ɾ	r	0.275
ˈʊə̯	ˈo	0.273
p	fː	0.266
ˈuː	ˈu	0.263
ˈyː	-	0.257
ˈʊə̯	ˈou̯	0.245
ˈʊə̯	ˈaː	0.229
ˈɔ	-	0.195
k	x	0.186
ˈɑ	ˈɒː	0.183
x	ŋ	0.18
t	sː	0.173
ə	ɐ	0.167
ˈʊə̯	h	0.161
ˈɪ	-	0.159
ˈɛː	ˈɑː	0.154
ˈɑ	ˈɒ	0.145
z	ʃ	0.143
t	s	0.14
t	d̥	0.14
ˈyː	ˈai̯	0.134
ˈɑ	ˈo	0.13
ˈæ	ˈɒː	0.13
ˈæ	ˈi	0.13
ə	ə	0.127
ˈɑ	h	0.12
ˈɪ	ˈai̯	0.116
ˈɑ	ˈa	0.104
ə	n	0.101
n	-	0.093
ˈʊə̯	-	0.092
ˈɛː	ˈeː	0.085
k	ç	0.078
ˈɪ	ˈiː	0.075
ˈɛː	ˈɑ	0.059
ə	d̥_n	0.057
n	ŋ	0.054
