Eastphalian	German	probability
b	b	0.935
b	f	0.065
d	t	0.437
d	tʰ	0.298
d	d	0.252
f	f	0.909
f	p	0.091
h	h	1.0
j	ɡ	0.794
j	j	0.206
k	kʰ	0.446
k	k	0.228
k	ç	0.193
k	x	0.129
l	l	1.0
m	m	0.832
m	n	0.168
n	n	0.934
p	f	0.593
p	p͡f	0.275
p	p	0.132
r	ʁ	0.909
r	d	0.054
s	ʃ	0.557
s	s	0.443
t	t	0.38
t	s	0.322
t	ʦ	0.255
v	v	0.868
v	b	0.1
w	v	1.0
x	x	0.738
x	k	0.262
z	z	0.852
z	ʁ	0.148
ç	ç	0.884
ç	k	0.116
ŋ	ŋ	0.834
ŋ	ɡ	0.166
ɐ	ɐ	0.895
ɐ	d_ɐ	0.081
ə	ə	0.989
ɡ	ɡ	1.0
ɣ	ɡ	0.7
ɣ	-	0.197
ɣ	k	0.103
ɪ	ɪ	1.0
ʃ	ʃ	0.957
ˈa	ˈa	0.922
ˈa	ˈɛ	0.054
ˈaʊ̯	ˈuː	0.89
ˈaʊ̯	ˈa	0.11
ˈaː	ˈaː	0.887
ˈaː	ˈa	0.113
ˈeo̯	ˈoː	0.525
ˈeo̯	ˈaʊ̯	0.475
ˈeː	ˈeː	0.466
ˈeː	ˈɛ	0.29
ˈeː	ˈɔʏ̯	0.17
ˈeː	ˈiː	0.074
ˈiː	ˈaɪ̯	0.744
ˈiː	ˈɔʏ̯	0.095
ˈiː	ˈiː	0.07
ˈiː	ˈʏ	0.054
ˈoː	ˈoː	0.36
ˈoː	ˈʊ	0.272
ˈoː	ˈɔ	0.217
ˈoː	ˈaʊ̯	0.132
ˈuː	ˈaʊ̯	0.74
ˈuː	ˈuː	0.101
ˈuː	ˈoː	0.082
ˈuː	ˈɔʏ̯	0.077
ˈyː	ˈɔʏ̯	1.0
ˈøː	ˈøː	0.715
ˈøː	ˈɔʏ̯	0.189
ˈøː	ɐ	0.063
ˈœ	ˈɛ	0.556
ˈœ	ˈœ	0.444
ˈɒː	ˈaː	0.505
ˈɒː	ˈa	0.183
ˈɒː	ˈoː	0.156
ˈɒː	ˈɛː	0.156
ˈɔ	ˈɔ	0.433
ˈɔ	ˈa	0.221
ˈɔ	ˈʊ	0.182
ˈɔ	ˈoː	0.13
ˈɔʏ̯	ˈyː	0.847
ˈɔʏ̯	ˈøː	0.153
ˈɛ	ˈɛ	0.525
ˈɛ	ˈɪ	0.223
ˈɛ	ˈaː	0.19
ˈɛ	ˈeː	0.063
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈiː	0.497
ˈɛɪ̯	ˈaɪ̯	0.303
ˈɛɪ̯	ˈeː	0.167
ˈɛː	ˈaː	0.322
ˈɛː	ˈɪ	0.223
ˈɛː	ˈɛ	0.17
ˈɛː	ˈeː	0.157
ˈɛː	ˈɛː	0.128
ˈɪ	ˈɪ	0.764
ˈɪ	ˈɛ	0.088
ˈɪ	ˈa	0.069
ˈɪ	ˈaɪ̯	0.062
ˈʊ	ˈʊ	0.702
ˈʊ	ˈɔ	0.217
ˈʊ	ˈaʊ̯	0.053
ˈʏ	ˈʏ	0.686
ˈʏ	ˈɔʏ̯	0.267
