Piedmontese	Piedmontese	probability
ˈy	ˈu	1.0
ˈe_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ	k_j	1.0
ə	r	1.0
ŋ_#>	n_ə_#>	1.0
y	u	1.0
w	w	1.0
s_ˈa	s_ˈa	1.0
s_p	ʃ_p	1.0
s_e	ʃː_ə	1.0
s_a	ʦ_ə	1.0
s_#>	sː_ə_#>	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_ə_#>	1.0
p_j	k_j	1.0
p	p	1.0
k_a	kː_ə	1.0
j_t	tː	1.0
j_r	ɾ	1.0
j_d	dː	1.0
j_#>	#>	1.0
f_j	ʃ	1.0
e_#>	ˈi_#>	1.0
dː	ɾ_ˈe	1.0
a_d	a_t	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
f	f	0.947
#>	ə_#>	0.941
k	k	0.897
ˈi	ˈi	0.852
a	ə	0.788
v	v	0.778
m	m	0.75
l	l	0.739
t	t	0.735
r	ɾ	0.719
n	n	0.688
ʤ	ʤ	0.667
ŋ	n	0.667
e	ə	0.667
<#	<#_w	0.667
d	d	0.65
ɲ	ɲː	0.625
ɡ	ɡ	0.625
ˈø	ˈɔ	0.6
ˈɔ	ˈɔ	0.591
ˈu	ˈu	0.531
i	i	0.5
i	-	0.5
s	s	0.487
b	b	0.467
u	u	0.462
ˈe	ˈe	0.409
u	-	0.385
j	ʎː	0.381
ˈɛ	ˈɛ	0.378
ɡ	ˈɔ_k	0.375
z	ʃ_ə	0.353
ˈɛ	j_ˈɛ	0.351
ʤ	ɲː	0.333
<#	<#_a	0.333
ˈu	ˈo	0.312
s	ʃ	0.308
b	v	0.267
t	tː	0.265
ɲ	-	0.25
m	mː	0.25
j	kː_j	0.238
z	ʃ	0.235
ˈe	ˈa	0.227
ŋ	ŋ	0.222
r	r	0.219
l	lː	0.217
ˈø	w	0.2
ˈø	-	0.2
j	j	0.19
j	-	0.19
n	-	0.188
ˈɔ	w_ˈɔ	0.182
ˈe	ˈɛ	0.182
z	ʤ	0.176
ˈɛ	ˈe	0.162
ˈu	w_ˈɔ	0.156
u	a_w	0.154
a	a	0.152
d	t	0.15
v	p	0.139
ˈɔ	ˈo	0.136
b	bː	0.133
b	-	0.133
s	ʃː	0.128
ɲ	ɲ	0.125
n	ɾ	0.125
z	-	0.118
ŋ	nː	0.111
e	ʤː_ə	0.111
e	ɾ	0.111
e	e	0.111
ˈɛ	ˈi	0.108
k	k_w	0.103
d	ə	0.1
d	-	0.1
ˈɔ	-	0.091
ˈe	ˈɛ_ɾ	0.091
ˈe	ˈi	0.091
v	-	0.083
s	ʦː	0.077
ˈi	ˈu	0.074
ˈi	ɾ	0.074
r	rː	0.062
z	ʧ	0.059
z	z	0.059
f	fː	0.053
