Macedonian	Standard Croatian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	̌_r	1.0
ɲ	ɲ	1.0
ɫ_o	l_o	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_n	a_n	1.0
z̥	-	1.0
z	z	1.0
x	-	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_k	a_k	1.0
n	n	1.0
k	k	1.0
j	-	1.0
f	x	1.0
d	d	1.0
c	-	1.0
b̥	b	1.0
b	b	1.0
t	t	0.969
m	m	0.919
a	a	0.751
ɫ	l	0.73
i	i	0.664
v	ʋ	0.64
r̩	r̩	0.603
o	o	0.584
o_ɫ	u_̂	0.574
ɛ	e	0.545
ɔ	o	0.54
u	uː	0.538
l	l_j	0.537
l	l	0.463
ɔ	a	0.46
o_ɫ	uː_̂	0.426
r̩	r̩ː	0.397
i	iː	0.336
o	oː	0.335
v	ʋ_j	0.288
ɛ	eː	0.268
u	a	0.257
u	u	0.205
ɫ	o	0.199
a	aː	0.151
ɛ	j_eː	0.123
o	a	0.081
m	m_j	0.081
ɫ	ʎ	0.071
v	x	0.071
ɛ	a	0.064
a	-	0.051
