Xiang	Xiang	probability
⁴¹	²¹	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʐ	n	1.0
ʂ	-	1.0
ɥ_e	y	1.0
ɥ	y_j	1.0
ə_w	e	1.0
ɒ	a	1.0
ŋ	-	1.0
æ	ɔ	1.0
z̩	i	1.0
x	x	1.0
w_²⁴	⁴²	1.0
u	u	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ə	j	1.0
j_ẽ	i_ŋ	1.0
ẽ	ŋ	1.0
e	-	1.0
a_j	ɛ	1.0
<#_ɸ	<#	1.0
<#_x	<#	1.0
#>	³³_#>	1.0
n	ŋ	0.955
³³	⁵⁴	0.939
²¹	⁵⁵	0.8
²⁴	²⁴	0.789
ɕ	s	0.75
y	y	0.714
t	t	0.714
⁴⁵	³³	0.667
ʨʰ	ʦʰ	0.667
¹³	³³	0.657
ʦ	ʦ	0.583
ɸ	x	0.571
w	w	0.5
o	ɔ	0.5
a	a	0.481
ə	ɔ	0.435
ɸ	p	0.429
i	i	0.429
ʦ	t	0.417
j	j	0.4
ɤ	ɛ	0.375
ɤ	a	0.375
¹³	²¹	0.343
⁴⁵	⁵⁵	0.333
ʨʰ	kʰ	0.333
j	ɛ	0.333
y	œ_ɥ	0.286
t	tʰ	0.286
i	e_j	0.286
w	u	0.273
j	-	0.267
ɤ	œ	0.25
ɕ	-	0.25
o	u	0.25
o	o	0.25
w	-	0.227
a	ɔ	0.222
ə	j	0.217
²⁴	⁴²	0.211
²¹	⁴²	0.2
ə	y	0.174
i	j	0.143
i	a	0.143
a	w	0.111
a	u_j	0.111
ə	e	0.087
ə	-	0.087
a	w_a	0.074
³³	-	0.061
