Neapolitan	Neapolitan	probability
ˈu_ɾ	ˈo_r	1.0
ˈi_#>	e_#>	1.0
ˈa_ɾ	ˈa_r	1.0
ˈa_w	ˈa_l	1.0
ˈa_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧː	ʧː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤː	ɟ	1.0
ʤ	ɟ	1.0
ʎː	ʎ	1.0
ʃ_ə	ʧ_e	1.0
ʃ_p	s_p	1.0
ɾ_ə	e	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_n	i_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
u_l	u_l	1.0
tː	tː	1.0
t	t	1.0
sː	sː	1.0
s_ˈi	s_ˈɛ	1.0
rː	rː	1.0
r	r	1.0
p	p	1.0
o	u	1.0
n_ə	n_a	1.0
m_ə	m_a	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kː_ə	kː_a	1.0
kː_j	c	1.0
kː	kː	1.0
k_j	p_j	1.0
j	j	1.0
i_#>	#>	1.0
fː	ˈo_fː	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
bː	b	1.0
b_w	b	1.0
b	b	1.0
a_t	a_t	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈi	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k_j	<#_c	1.0
<#_j	<#_ɟ	1.0
#>	e_#>	1.0
k	k	0.962
s	s	0.913
n	n	0.9
ˈɔ	ˈɔ	0.889
i	i	0.867
a	a	0.867
mː	m	0.833
v	v	0.794
ˈo	ˈɔ	0.786
ɲː	ɲ	0.778
ʦː	ʦː	0.75
u	u	0.75
ɾ	r	0.727
ʃ	ʧ	0.722
e	-	0.714
ˈi	ˈi	0.688
ˈe	ˈɛ	0.667
j_ˈɛ	ˈe	0.611
ə_ɾ	e_r	0.6
nː	nː	0.6
w_ˈɔ	ˈɔ	0.588
<#_a	<#_a	0.571
ˈu	ˈu	0.564
ˈɛ	ˈɛ	0.556
ə	u	0.472
ˈɛ	ˈe	0.444
ʃː	ʧː	0.429
<#_a	<#	0.429
w_ˈɔ	ˈo	0.412
ə_ɾ	e	0.4
nː	n_d	0.4
j_ˈɛ	ˈɛ	0.389
ʃː	ʃː	0.286
ʃː	ʃ	0.286
e	i	0.286
ˈu	ˈɔ	0.282
ʦː	ʣ	0.25
u	ˈɔ	0.25
ə	e	0.241
ə	a	0.241
ˈe	ˈe	0.238
ɲː	-	0.222
ˈo	ˈo	0.214
v	b	0.206
ɾ	d	0.2
ˈi	ˈɛ	0.188
ʃ	f_j	0.167
mː	mː	0.167
ˈu	ˈo	0.154
i	ˈi	0.133
a	u	0.133
ˈɔ	ˈo	0.111
ʃ	s	0.111
n	-	0.1
ˈe	-	0.095
s	z	0.087
ˈi	ˈe	0.062
ˈi	-	0.062
