Mainland North Frisian	Elfdalian	probability
ˈɛi̯	-	1.0
ˈɛ_tʲ	ɑ̃	1.0
ˈɔu̯_ə	ʏ	1.0
ˈɔu̯	-	1.0
ˈɒ	-	1.0
ˈœː_ç	rː	1.0
ˈœː	-	1.0
ˈœi̯	ˈʉːə̯	1.0
ˈœ_ʀ	r	1.0
ˈuː_l	ˈɔː	1.0
ˈeː_l	ɽ	1.0
ˈaː	-	1.0
ˈa_ʀ	r	1.0
ʀ_ə	a	1.0
ʀ_n	nː	1.0
ʀ_d̥	r_d	1.0
ɣ̥	ɣ	1.0
ɡ	ʥ	1.0
ɛi̯	ɔ̃	1.0
ə_v̥	v	1.0
ŋ_k	kː	1.0
z̥	ð	1.0
x_t	tː	1.0
x	k	1.0
w	ˈʉːə̯_ɣ	1.0
v̥	v	1.0
v_ə	v	1.0
nʲ	d	1.0
l_ˈyː	l̥	1.0
i	ʉ	1.0
h	ˈɔ	1.0
d̥	ð	1.0
dʲ	ð	1.0
b	b	1.0
s	s	0.971
m	m	0.918
f	f	0.885
ˈɔː	-	0.849
ʀ	r	0.833
tʲ	t	0.816
ŋ	ŋ_ɡ	0.78
n	n	0.777
t	t	0.762
ˈɛː	-	0.676
ˈai̯	ˈɪ	0.66
p	p	0.644
ˈʏ	ˈɑːu̯	0.598
v	w	0.598
l	ɽ	0.597
z	-	0.568
k	kʰ	0.553
ʃ	s_k	0.543
ˈyː	ˈœː	0.539
ˈuː	-	0.527
lʲ	l	0.518
ˈɔ	ˈʉə̯	0.515
ˈɛ	-	0.511
ˈɔ	ˈɛ	0.485
lʲ	-	0.482
ˈa	-	0.475
ˈyː	-	0.461
ʃ	s_ʨ	0.457
ˈœ	ˈʉːə̯	0.455
d	ð	0.444
ˈɒː	-	0.439
z	t	0.432
ˈʊ	ˈʉ	0.425
ə	ɛ	0.418
ə	ɑ	0.388
d	-	0.375
ˈœ	ˈɑ_n	0.36
ˈeː	j	0.355
ˈi	ˈɑːi̯	0.343
ˈɛ	ˈyːœ̯	0.341
ˈɒː	ˈɑː	0.34
ˈai̯	-	0.34
ˈɛː	ˈɔː	0.324
v	-	0.324
ˈuː	ˈœː	0.312
ˈʊ	-	0.311
ˈiː	ˈiːe̯	0.285
ˈi	ˈɪ	0.268
ˈeː	-	0.258
j	j	0.253
j	ɣ	0.234
p	pː	0.223
ˈi	ˈɪː	0.221
ˈɒː	ˈɛ	0.22
ŋ	ɡ	0.22
ˈʏ	ˈʏ	0.207
ˈiː	j	0.202
k	k	0.202
ˈʏ	-	0.196
ˈeː	ˈɑː	0.194
ˈeː	ˈæ	0.194
ˈiː	j_ˈʉːə̯	0.193
ˈa	ˈɑ	0.192
ˈœ	-	0.185
tʲ	tʰ	0.184
d	tʰ	0.181
j	-	0.179
ˈa	ˈɪ	0.178
j	ɡ	0.17
j	ˈɪː	0.163
ˈuː	ˈoː	0.161
l	lː	0.158
ˈɔː	j	0.151
ˈɛ	ˈɪ̃ː	0.148
t	tː	0.147
l	l	0.145
ˈi	-	0.136
ˈʊ	ŋ	0.134
p	pʰ	0.133
ˈʊ	ˈɑ	0.13
k	-	0.124
k	kː	0.121
ʀ	-	0.12
f	-	0.115
ˈa	ˈɛ	0.103
l	-	0.1
ˈiː	r	0.099
ˈiː	ˈɛ	0.086
ˈiː	-	0.082
m	mː	0.082
n	nː	0.079
v	v	0.078
ə	ɔ	0.077
n	ŋ_ɛ	0.073
n	ˈʉ_nː	0.071
ə	ˈʉː	0.069
ˈiː	ˈʉːə̯	0.053
t	-	0.053
ˈa	ˈʉ	0.052
