Saterland Frisian	Luxembourgish	probability
ˈɛɪ̯_t	ˈɜɪ̯_s	1.0
ˈœː	ˈi	1.0
ˈyː	ˈə	1.0
ˈoːu̯_d	ˈaː	1.0
ˈoː_ɣ	ə	1.0
ˈoː_f	v̥	1.0
ˈiːu̯	ˈiə̯	1.0
ˈiː_r	ɐ	1.0
ˈiː_d	ˈæːɪ̯_t	1.0
ˈeːu̯	ˈi	1.0
ˈaːu̯	-	1.0
ɪ	ə	1.0
ɣ_ə	v_ə	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
n_ə	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
j_ˈuː	ˈɑɪ̯	1.0
i	e	1.0
h	h	1.0
f_ˈoːu̯	f_ˈo	1.0
f	f	1.0
b	b	1.0
l	l	0.961
p	p	0.731
ˈɛː	-	0.719
ˈaːi̯	-	0.706
ˈa	-	0.68
j_ˈoː	ˈɜɪ̯	0.632
v	v	0.618
ˈi	ˈæːɪ̯	0.613
z	z̥	0.6
x	ɕ	0.593
ˈeː	ˈeː	0.574
ˈɛɪ̯	-	0.572
ɣ	ɡ	0.566
p_ə	f	0.563
s	ʃ	0.531
ˈɪ	ˈɑ	0.527
ˈaː	ˈaː	0.515
d	d̥	0.501
d	d	0.499
r	ʀ	0.487
ˈaː	ˈeː	0.485
s	z	0.469
p_ə	f_ə	0.437
ɣ	-	0.434
ˈɔ	ˈɑ	0.419
k	ɕ	0.41
z	-	0.4
ə	ə_n	0.393
k	k	0.388
ˈi	-	0.387
r	ɐ	0.379
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ˈʊ	ˈo	0.371
j_ˈoː	ˈi	0.368
t	ʦ	0.343
ˈʊ	-	0.329
t	t	0.326
ˈɔ	ˈə	0.324
ˈa	ˈaː	0.32
t	s	0.316
ˈiː	ˈɑ	0.312
ˈiː	ˈoː	0.302
ˈoːu̯	ˈɑ	0.3
ˈaːi̯	ɣ̊	0.294
ˈɛː	ˈe	0.281
ˈeː	ˈɜɪ̯	0.269
p	pʰ	0.269
ˈɔː	ˈaː	0.267
ˈuː	ˈu	0.264
ˈoː	ˈaː	0.26
ˈɔ	ˈo	0.257
ˈoːu̯	ˈu	0.251
ˈɛ	ˈaː	0.25
j	ˈɜɪ̯	0.242
x	k	0.241
v	w	0.241
ˈoːu̯	ˈəʊ̯	0.238
j	ɡ	0.238
ˈoː	-	0.234
j	ə	0.219
ˈuː	ˈɑʊ̯	0.207
k	χ	0.202
ˈiː	ˈə	0.2
ˈɪ	ˈə	0.198
ˈɔː	ˈiː	0.198
ˈɔː	-	0.198
ˈiː	ˈɜɪ̯	0.185
ə	n	0.185
ˈɪ	ˈe	0.176
x	χ	0.166
ˈoː	ˈəʊ̯	0.16
ˈeː	ˈiə̯	0.156
ˈuː	ˈo	0.153
ə	ə	0.15
ˈɛɪ̯	ˈoː	0.146
ˈɛɪ̯	ˈi	0.146
ˈuː	-	0.146
ˈɛɪ̯	ˈɛː	0.137
ˈoː	ə	0.137
r	-	0.135
ˈɔː	ˈə	0.134
ˈuː	ˈæːʊ̯	0.133
ˈoːu̯	ˈo	0.129
ˈoː	ˈɜɪ̯	0.128
ˈʊ	ˈɔ	0.118
v	-	0.112
ə	ʀ	0.111
j	ˈe	0.108
ə	-	0.103
ˈɔː	ˈuə̯	0.101
ˈɔː	ˈoː	0.101
ˈɪ	-	0.099
ˈuː	ˈɑɪ̯	0.096
ˈʊ	ˈə	0.091
ˈʊ	ˈiː	0.091
j	j	0.091
ˈoːu̯	-	0.083
j	-	0.068
ə	ɐ	0.058
