Provençal	Provençal	probability
ˈɛ_ʀ	ˈɛ_r	1.0
ˈỹ	ˈyː	1.0
ˈũ_ŋ	ˈũ	1.0
ˈĩ	ˈĩ	1.0
ˈẽ_ŋ	ˈẽ	1.0
ˈẽ	ˈẽ	1.0
ˈe_ʀ	r_t	1.0
ˈe_j	ʧ	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈã_ŋ	ˈã	1.0
ˈa_s	ˈɑː_s	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_ˈũ	ʃ	1.0
ʧ	t	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ɔ	a	1.0
ɲ	ɲ	1.0
ɥ_ˈɔ	ˈøː	1.0
ɥ_ˈe	ˈøː	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
y	y	1.0
w_ˈẽ	ˈũ	1.0
v_e	ẽ	1.0
v	v	1.0
ũ	ũ	1.0
s_ˈe	s_ˈɛ	1.0
s_#>	#>	1.0
p	p	1.0
mː	m	1.0
m_#>	#>	1.0
lː	z	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈe	ˈeː	1.0
j_ɾ	d	1.0
j_s	s	1.0
j_#>	#>	1.0
ĩ	ĩ	1.0
f	f	1.0
ẽ	ũ	1.0
ã	ã	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_ˈa	1.0
s	s	0.96
m	m	0.935
ɔ	a	0.934
n	n	0.933
t	t	0.895
ɡ	ɡ	0.875
d	d	0.875
a	a	0.875
ʀ	r	0.857
b	b	0.846
ˈa_w	ˈɔ	0.667
z	-	0.667
w_#>	l_#>	0.654
ˈɛ	ˈɛ	0.615
ŋ	n	0.6
u	u	0.571
ɾ	r	0.567
ŋ_#>	t_#>	0.562
ˈi	ˈi	0.526
e_#>	r_#>	0.526
l	l	0.522
j	-	0.52
ˈy	ˈyː	0.5
ˈũ	ˈũ	0.5
ˈũ	-	0.5
ˈa	ˈɑː	0.5
ɥ	ˈœ	0.5
ɥ	-	0.5
s_e	s_e	0.5
s_e	s	0.5
e_#>	#>	0.474
ŋ_#>	#>	0.438
w_ˈe	ˈɔ	0.438
ˈã	ˈã	0.429
e	-	0.429
ŋ	-	0.4
l	j	0.391
w	l	0.389
ˈu	ˈu	0.385
ʤ	ʒ	0.375
w_ˈe	ˈøː	0.375
i	i	0.375
i	e	0.375
ˈi	ˈiː	0.368
ˈa	ˈa	0.364
ˈu	ˈuː	0.346
e	e	0.343
ˈa_w	ˈỹ	0.333
z	ʒ	0.333
ˈe	ˈeː	0.31
ˈy	ˈyː_r	0.3
ˈã	ˈɑː	0.286
ˈã	ˈa	0.286
i	-	0.25
j	j	0.24
ɾ	e	0.233
ˈɛ	ˈeː	0.231
w_#>	f_#>	0.231
w	-	0.222
u	y	0.214
u	-	0.214
#>	ʧ_#>	0.205
#>	t_#>	0.205
#>	r_#>	0.205
ˈy	-	0.2
ʤ	d	0.188
ʤ	-	0.188
w_ˈe	ˈu	0.188
ˈe	ˈe	0.172
ˈe	-	0.172
w	ˈɔ	0.167
w	ˈoː	0.167
b	v	0.154
#>	s_#>	0.154
ʀ	r_t	0.143
ˈe	ˈɛ	0.138
ˈe	ˈiː	0.138
ɾ	-	0.133
ʤ	ʧ	0.125
ʤ	ʤ	0.125
ɡ	-	0.125
d	t	0.125
a	u	0.125
ˈu	ˈyː	0.115
w_#>	#>	0.115
ˈi	j_ˈøː	0.105
t	-	0.105
ˈa	-	0.091
l	-	0.087
e	ˈɛ	0.086
e	i	0.086
j	s	0.08
j	e	0.08
j	d	0.08
ˈɛ	ˈe	0.077
ˈɛ	-	0.077
ˈu	ˈy	0.077
ˈu	-	0.077
#>	ˈi_#>	0.077
#>	n_#>	0.077
#>	k_#>	0.077
ˈe	ˈɔ	0.069
ɾ	d	0.067
n	-	0.067
m	-	0.065
e	ɛ	0.057
w	ˈo	0.056
