Mainland North Frisian	Nynorsk Norwegian	probability
ˈœi̯	-	1.0
ˈœ_ʀ	ɾ	1.0
ˈyː	ˈæʉ̯	1.0
ˈuː_x	ˈæʉ̯_ɡ	1.0
ˈu	-	1.0
ˈeː_l	l	1.0
ˈaː	-	1.0
ˈai̯	ˈɪ	1.0
ˈa_ʀ	ɾ	1.0
ʀ_n	ɾ_n	1.0
ʀ_d̥	ˈuː_ɾ	1.0
ʀ	ɾ	1.0
ɡ	j	1.0
ə_v̥	ʋ	1.0
ŋ_k	ʰkː	1.0
ç	-	1.0
x_t	ʰtː	1.0
w	ɡ	1.0
t_ˈuː	tʰ_ˈoː	1.0
t_ɛi̯	tː	1.0
n_i	ŋ	1.0
m	m	1.0
lʲ	lː	1.0
k_ə	k	1.0
j_ə	ɡ	1.0
f	f	1.0
b	b	0.934
s	s	0.886
h	h	0.878
l	l	0.789
ˈɛː	-	0.775
tʲ	t	0.74
p	p	0.717
v	ʋ	0.664
k	kʰ	0.656
n	n	0.644
ŋ	ŋː	0.643
x	k	0.632
ˈɛi̯	-	0.619
d	d	0.618
ˈɔ	ˈʊ	0.6
nʲ	nː	0.6
ˈœː	ˈʉː	0.592
ˈœ	ˈɑ	0.579
ˈɒ	-	0.561
ʃ	ʂ	0.557
ə_ʀ	ɾ	0.547
ˈɔu̯	ˈoː	0.542
ˈɒː	-	0.54
ə	ɑ	0.519
ˈi	ˈiː	0.506
v̥	ʋ	0.5
v̥	-	0.5
ˈʊ	ˈʉ	0.497
ˈʏ	ˈʉː	0.475
ˈɒː	ˈɑː	0.46
ə_ʀ	ɾ_e	0.453
t	tʰ	0.446
ʃ	s_k	0.443
ˈɒ	ˈɑ	0.439
z	t	0.432
j	ɡ	0.427
ˈɛ	-	0.421
ˈœ	ˈuː	0.421
ˈœː	ˈʉ	0.408
ˈɔ	ˈɔ	0.4
nʲ	n	0.4
ˈɛ	ˈøː	0.395
ˈuː	ˈæʉ̯	0.388
ˈɛi̯	ˈeː	0.381
ˈeː	-	0.373
x	ˈɔ	0.368
ˈuː	ˈɑ	0.347
ˈiː	ˈæɪ̯	0.342
ˈɔː	ˈʉː	0.338
ˈɔː	-	0.338
z	s	0.333
t	t	0.331
ˈa	-	0.326
ˈʏ	-	0.284
ŋ	-	0.284
ˈi	ˈɪ	0.282
ˈa	ˈɑ	0.277
n	nː	0.276
v	-	0.269
ˈɔu̯	-	0.268
d	-	0.267
ˈuː	-	0.265
ə	e	0.26
tʲ	-	0.26
ˈɔː	ˈɑ	0.259
ˈʊ	ˈɑ	0.251
ˈeː	ˈɛ	0.245
ˈʏ	ˈʏ	0.241
z	-	0.234
j	-	0.23
ˈɛː	ˈeː	0.225
ˈeː	ˈʏ	0.218
ˈi	-	0.213
l	lː	0.211
k	k	0.197
ˈiː	ˈyː	0.194
ˈɔu̯	ˈuː	0.19
ˈɛ	ˈæ	0.184
j	j	0.181
ˈeː	ˈɑː	0.164
ˈʊ	ˈʏ	0.162
j	d	0.162
ˈa	ˈeː	0.156
p	ʰpː	0.15
k	ç	0.148
ˈiː	ˈœʏ̯	0.136
ˈiː	ˈoː	0.134
p	pʰ	0.133
ˈa	ˈɛ	0.128
ə	ə	0.125
h	j	0.122
t	ʰtː	0.118
d	t	0.116
ˈa	ˈɪ	0.113
t	ç	0.106
ˈʊ	-	0.09
ˈiː	-	0.088
s	ʂ	0.082
n	n_d	0.08
ŋ	ɲ	0.073
v	v	0.067
b	-	0.066
ˈɔː	ʉ	0.065
ə	d_ə	0.061
ˈiː	ˈʉː	0.053
ˈiː	j_ˈʉː	0.053
