Corsican	Neapolitan	probability
c	kː_j	1.0
kː	kː	1.0
l	l	1.0
nː	nː	1.0
sː	sː	1.0
t	t	1.0
tː	tː	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲː	1.0
ʎ	ʎː	1.0
ʦː	ʦː	1.0
ʧ	ʃ	1.0
ʧː	ʃː	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
i	ə	0.331
j	j	0.241
n	nː	0.051
r	-	0.101
s	ʃ	0.111
v	v_j	0.061
ɟ	j	0.671
ˈe	ˈi	0.061
d	ɾ	0.372
e	-	0.052
f	ʃ	0.092
j	-	0.642
k	k	0.952
ˈo	ˈu	0.392
ˈɔ	w_ˈɔ	0.172
ˈɔ	ˈu	0.222
b	b_w	0.173
lː	l	0.063
p	k	0.093
u	u	0.103
ˈɔ	ˈo	0.243
ˈɛ	j_ˈɛ	0.083
r	r	0.254
ˈɔ	ˈɔ	0.364
a	a	0.175
m	mː	0.215
r	ɾ	0.645
ˈe	ˈe	0.295
e	ə	0.906
ˈe	ˈɛ	0.446
ˈɛ	ˈɛ	0.36
b	v	0.827
j	j_ə	0.117
lː	lː	0.937
m	m	0.737
p	p	0.907
ˈe	j_ˈɛ	0.197
d	d	0.628
f	f	0.908
u	ə	0.888
ˈɛ	ˈe	0.318
a	ə	0.809
i	i	0.669
n	n	0.949
s	s	0.889
v	v	0.939
ɟ	ʤ	0.329
ˈo	w_ˈɔ	0.09
ˈo	ˈo	0.159
ˈo	ˈɔ	0.359
ˈɛ	ˈi	0.239
