Franco-Provençal	Walloon	probability
e	ɛ	1.0
k	k	1.0
m	m	1.0
o	ɔ	1.0
ɔ	ɔ	1.0
ɛ	ɛ	1.0
ʎ	l	1.0
ʒ	ʤ	1.0
ˈĩ	ˈẽ	1.0
ˈɑː	ˈɔː	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈɛ	ˈɛ	1.0
t	t	0.681
ð	ʀ	0.631
ˈi	ˈi	0.351
ˈi	ˈiː	0.481
ˈɛː	ˈɛ̃	0.11
ˈɛ̃	ɲ	0.061
a	w	0.422
t	s_t	0.232
ð	t	0.092
ˈe	ˈɔː	0.052
ˈu	ˈu	0.312
ˈø	ˈa	0.502
ˈɔ	ˈuː	0.922
d	d	0.973
f	f_w	0.213
s	s	0.903
w	w	0.373
ə	-	0.913
ɡ	k	0.113
ʁ	-	0.283
ˈa	ˈɛ	0.133
ˈa	ˈe	0.303
ˈa	ˈa	0.563
ˈe	ˈɛ	0.393
ˈi	ˈeː	0.083
ˈo	ˈɔ	0.623
ˈoː	ˈɔ	0.133
ˈu	ˈy	0.353
b	b	0.864
ʃ	ʧ	0.734
ˈaː	ˈe	0.374
ˈi	ˈɛ	0.084
ˈɑ̃	ˈɑ̃	0.874
f	f	0.755
j	ˈiː	0.195
l	ˈa	0.275
l	l	0.725
z	ʒ	0.435
z	s	0.565
ʃ	-	0.05
ʃ	ʃ	0.215
ˈe	j	0.355
ˈu	ˈoː	0.335
ˈɛː	w_ˈɛ	0.525
b	p	0.136
p	p	0.996
v	f	0.146
v	v	0.806
w	-	0.456
ˈaː	ˈɛ	0.626
ˈe	ˈiː	0.06
ˈɑ̃	ˈɛ̃	0.126
j	ˈi	0.177
n	n	0.967
s	ʃ	0.097
ə	a	0.087
ʁ	ʀ	0.717
ˈo	ˈuː	0.377
j	-	0.138
w	ˈu	0.128
ð	ʤ	0.218
ɡ	-	0.188
ɡ	ɡ	0.698
ˈø	ˈøː	0.498
ˈɔ	ˈɔ	0.078
ˈɛː	w_ˈɛː	0.118
ˈɛː	ˈɛ	0.158
a	a	0.549
j	j	0.49
ð	-	0.059
ˈoː	ˈɔː	0.169
ˈoː	ˈoː	0.299
ˈoː	ˈuː	0.399
ˈɛː	ˈøː	0.089
ˈɛ̃	ˈɛ̃	0.939
