Emilian	Romanian	probability
b	b	1.0
f	f	1.0
p	p	1.0
w	-	1.0
ð	ʤ	1.0
ɲ	n	1.0
ʤ	-	1.0
ˈæ	ˈi	1.0
j	l	0.571
l	r_e	0.101
l	l	0.551
n	n	0.951
r	r_e	0.381
u	u	0.861
ˈo	o̯ˈa	0.061
ˈo	ˈu	0.851
ˈɔː	o̯ˈa	0.281
ˈɛ	j_ˈe	0.101
θ	ʧ	0.901
k	-	0.052
ŋ	n_e	0.112
ŋ	-	0.162
ŋ	n	0.682
ɡ	ɡ	0.512
ˈuː	ˈu	0.42
ˈɛː	ˈa	0.682
ˈʌu̯	ˈu	0.32
i	e	0.333
j	-	0.413
l	r	0.283
ʧ	kʲ	0.503
ˈa	-	0.093
ˈa	ˈɨ	0.383
ˈe	-	0.063
ˈɛː	ˈe	0.163
a	-	0.064
e	-	0.124
e	e	0.624
m	m	0.864
ˈa	e	0.084
ˈaː	ə	0.064
ˈɔː	ˈo	0.414
ˈɛ	ˈe	0.054
θ	t	0.064
e	ˈe	0.175
l	-	0.065
ˈɔ	o̯ˈa	0.125
ˈɔː	ˈau̯	0.305
ˈɛː	j	0.155
ˈʌ	ˈo	0.065
a	e	0.206
d	z	0.066
d	-	0.066
s	s	0.916
v	-	0.296
z	-	0.136
z	ʧ_e	0.566
ˈiː	ˈi	0.536
ˈɔ	ˈu	0.106
a	ə	0.617
e	ə	0.077
i	i	0.667
r	-	0.117
t	p_t	0.187
z	ʃ	0.297
ʧ	k	0.497
ˈa	ˈa	0.067
ˈaː	ˈɨ	0.257
ˈe	ˈi	0.937
ˈiː	ˈe	0.227
ˈiː	e̯ˈa	0.237
ˈɛ	ˈa	0.787
ˈʌ	-	0.207
d	d	0.578
k	k	0.948
m	m_e	0.098
r	r	0.478
t	t_e	0.108
t	t	0.658
v	p	0.108
v	v	0.58
ˈa	ˈi	0.078
ˈa	ˈe	0.248
ˈaː	ˈa	0.678
ˈo	ˈo	0.088
ˈuː	ˈo	0.58
ˈɔ	ˈo	0.768
ˈʌ	ˈu	0.728
ˈʌu̯	o̯ˈa	0.68
d	t	0.29
u	o	0.139
ɡ	k	0.439
