Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɪ_w	ˈi_o	1.0
ˈɪ_j	ˈe_d	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	ˈo	1.0
ˈɔ_t	s_t	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_s	ˈa_z	1.0
ʒ	i_s	1.0
ʃ	s	1.0
ɪ	s	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
œ	-	1.0
vʲ	v	1.0
v	v	1.0
ũ	o	1.0
u	o	1.0
s_ˈa	s_ˈa	1.0
pʲ	a_v	1.0
p_ɒ	p_a	1.0
p	p	1.0
mʲ	m	1.0
lː	z_o	1.0
l_#>	o_#>	1.0
k_l	ʧ	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
ã	-	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ʎ	<#_ɰ	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#	<#_z	1.0
ɔ	a	0.925
#>	o_#>	0.917
ˈɪ	ˈe	0.875
t	t	0.864
m	m	0.852
s	s	0.825
n	n	0.789
ˈy	ˈu	0.778
ʀ	r	0.778
b	b	0.762
ˈœ	ˈɔ	0.75
ʧ	k	0.739
ɒ	a	0.727
ŋ	ŋ	0.725
ʤ	-	0.714
d	d	0.7
ˈũ	ˈo	0.667
ˈe_l	ˈɛ_o	0.667
k	k	0.645
ˈe	ˈɛ	0.63
ɲ	ɲ	0.625
w_ˈɔ	ˈɔ	0.625
ˈẽ	ˈe	0.6
z	z	0.6
e	e_r	0.6
ˈa	ˈa	0.585
<#_ɒ	<#_a	0.5
<#_ɒ	<#	0.5
<#_l	<#_ɰ	0.5
<#_l	<#	0.5
ʀ_ə	r_o	0.462
ˈu	ˈo	0.444
ʎ	ʧ	0.438
ˈẽ	-	0.4
z	-	0.4
e	o	0.4
l	j	0.393
ʀ_ə	e_r	0.385
ə	e	0.382
ɲ	n	0.375
w_ˈɔ	ˈo	0.375
j	-	0.375
ˈɔ	ˈɔ	0.333
ˈɔ	ɰ	0.333
ˈɔ	r_t	0.333
ˈũ	-	0.333
ˈe_l	ˈɛ	0.333
ʎ	ʤ	0.312
d	-	0.3
ʤ	z	0.286
ɒ	e	0.273
ˈœ	ˈo	0.25
l	ɰ	0.25
l	l	0.25
ˈa	ˈa_r	0.244
b	-	0.238
ŋ	n	0.225
ˈy	-	0.222
w	ˈɔ	0.222
n	-	0.211
k	ɡ	0.194
j	z	0.188
j	e	0.188
w	-	0.185
ə	o	0.176
ʧ	-	0.174
k	k_w	0.161
ʀ_ə	r	0.154
ˈe	ˈe	0.148
w	v	0.148
w	l	0.148
m	-	0.148
ə	r	0.147
ə	-	0.147
t	s_t	0.136
ˈɪ	-	0.125
ʎ	ɡ_o	0.125
ʎ	j	0.125
s	z_e	0.125
j	t_o	0.125
j	t_e	0.125
ˈu	ˈɔ	0.111
ˈu	ˈo_r	0.111
ˈu	o	0.111
w	ˈo	0.111
w	v_e	0.111
l	-	0.107
ə	r_o	0.088
ʧ	t	0.087
ɔ	-	0.075
ˈu	ˈu_t	0.074
ˈu	ˈu	0.074
ˈu	ˈo_s	0.074
ˈe	j_ˈe	0.074
ˈe	e	0.074
ˈe	-	0.074
w	ˈu	0.074
ˈa	ˈe	0.073
ʀ	r_n	0.067
ʀ	a_r	0.067
ə	a	0.059
