Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈo_k	ˈu	1.0
ˈi_r	ˈi	1.0
ˈa_v	ˈɔ	1.0
ʧ	s	1.0
ʦ_i	w	1.0
ʎ_i	l_ə	1.0
ʃ_t	ʃ	1.0
ɨ	-	1.0
ə_m	mː	1.0
ə_#>	#>	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	-	1.0
v	b	1.0
u_r	ɾ	1.0
u_#>	#>	1.0
u	u	1.0
t_ə	ə	1.0
r_ˈi	ɾ_ˈi	1.0
r_u	ɾ_ə	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_b	β	1.0
r_#>	l_#>	1.0
p_t	t	1.0
p_l	p_l	1.0
p_#>	p_#>	1.0
n_#>	#>	1.0
m_t	n	1.0
l_e̯ˈa	l_ˈa	1.0
k_ʎ	ʎ	1.0
k_ə	k_ə	1.0
k_e̯ˈa	p_ˈe	1.0
j_ˈi	b_ˈi	1.0
i_r	ə	1.0
i_n	ə_n	1.0
i_d	ˈɛ	1.0
i_#>	#>	1.0
e̯a	-	1.0
e	-	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#	1.0
<#	<#_ə	1.0
s	s	0.923
r_i_#>	#>	0.882
m	m	0.88
f	f	0.818
ˈa	ˈa	0.794
k_#>	k_#>	0.778
k	k	0.778
ɡ	ɡ	0.75
w	w	0.75
a	ə	0.75
#>	ə_#>	0.75
ˈo	ˈɔ	0.727
ʎ	ʎ	0.727
ʤ	ʒ	0.714
p	p	0.714
d	d	0.571
ˈe	ˈɛ	0.556
n	n	0.531
i	ə	0.529
ˈi	ˈi	0.522
ʦ	s	0.5
ʃ	s	0.5
ɲ	m	0.5
ɲ	-	0.5
t	t	0.5
l	ʎ	0.5
l	l	0.5
e̯ˈa	ˈɛ	0.474
r	ɾ	0.467
j	-	0.462
ʣ	d	0.455
o̯ˈa	ˈɔ	0.438
d	-	0.429
e̯ˈa	ˈe	0.421
ʦ	-	0.389
ʣ	ʒ	0.364
ˈu	ˈo	0.343
ˈe	ˈe	0.333
ˈu	ˈu	0.314
r	r	0.311
ʤ	-	0.286
ʎ	l	0.273
t	ð	0.267
ʃ	s_ə	0.25
ʃ	-	0.25
ɡ	ɣ	0.25
w	-	0.25
o̯ˈa	ˈu	0.25
a	-	0.25
#>	l_#>	0.25
i	-	0.235
t	-	0.233
j	b	0.231
k_#>	#>	0.222
ˈu	ˈɔ	0.2
o̯ˈa	-	0.188
ʣ	-	0.182
f	-	0.182
ˈi	ˈe	0.174
ˈi	-	0.174
n	ɲ	0.156
n	-	0.156
j	ʒ	0.154
j	t_ɾ	0.154
p	β	0.143
p	-	0.143
ˈi	ˈɛ	0.13
o̯ˈa	ˈɛ	0.125
m	-	0.12
ˈa	ˈe	0.118
r_i_#>	ˈa_#>	0.118
ˈe	-	0.111
ʦ	k	0.111
r	l	0.111
k	ɣ	0.111
e̯ˈa	w	0.105
n	ŋ	0.094
ˈo	ˈu	0.091
ˈo	ˈo	0.091
ˈo	z_ˈa	0.091
ˈa	ˈɛ	0.088
i	w	0.088
i	s	0.088
ˈu	-	0.086
s	-	0.077
k	k_ə	0.074
r	β	0.067
n	n_ə	0.062
i	d	0.059
ˈu	ˈi	0.057
