East Low German	Luxembourgish	probability
ˈɛː	ˈiə̯	1.0
ˈœː	ˈiː	1.0
ˈyː	ˈɑɪ̯	1.0
ˈeː	ˈɜɪ̯	1.0
ˈa_t	ˈaː_ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ_ç	ə_ɕ	1.0
ɡ_l	l	1.0
ç_#>	#>	1.0
æ_n_#>	ʀ_#>	1.0
z	z	1.0
w	w	1.0
tʰ	ʦ	1.0
s_t	ʃ_t	1.0
s	s	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
n_ˈae̯	n_ˈɜɪ̯	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
b_m	n	1.0
b	b	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
æ	ɐ	0.946
m	m	0.889
v	v	0.875
n	n	0.848
ɡ	ɡ	0.833
f	f	0.812
ˈaː	ˈaː	0.75
ŋ	ŋ	0.733
ˈʊ	ˈo	0.727
p	p	0.667
j	ɡ	0.667
d	d	0.653
x	ɕ	0.625
ˈɔʏ̯	ˈɜɪ̯	0.6
t_#>	#>	0.6
ˈae̯	ˈeː	0.591
ˈʏ	ˈə	0.556
ˈɔ	ˈo	0.5
ˈoː	ˈoː	0.5
ˈoː	ˈaː	0.5
ˈiː	ˈæːɪ̯	0.5
ˈa	ˈaː	0.5
ˈʏ	ˈe	0.444
ˈɪ	ˈɑ	0.435
ˈɛ	ˈeː	0.429
ˈɒː	ˈoː	0.412
ˈa	ˈɑ	0.409
ˈɔʏ̯	ˈi	0.4
ç	ɕ	0.4
ç	k	0.4
t_#>	ʦ_#>	0.4
t	t	0.381
x	χ	0.375
ˈaʊ̯	ˈəʊ̯	0.368
ˈɪ	ˈə	0.348
ˈuː	ˈɑʊ̯	0.333
ˈuː	ˈæːʊ̯	0.333
p	f_ə	0.333
j	j	0.333
ˈae̯	ˈɜɪ̯	0.318
ˈaʊ̯	ˈaː	0.316
k	ɕ	0.312
d	d̥	0.306
ˈɛ	ˈə	0.286
ˈɛ	ˈiə̯	0.286
t	s	0.286
ˈʊ	ˈɔ	0.273
ŋ	ə_n	0.267
ˈɔ	ˈɑ	0.25
ˈɔ	ˈu	0.25
ˈaː	ɐ	0.25
k	χ	0.25
ˈuː	ˈaː	0.2
ç	ɕ_t	0.2
k	k_ə	0.188
f	v̥	0.188
ˈiː	ˈɑɪ̯	0.167
ɡ	ə	0.167
ˈaʊ̯	ˈʊ	0.158
ˈaʊ̯	ˈu	0.158
t	d̥	0.143
ˈuː	ˈuː	0.133
ˈɪ	ˈe	0.13
v	w	0.125
k	ɕ_ə	0.125
k	k	0.125
t	s_ə	0.119
ˈɒː	ˈɜɪ̯	0.118
ˈɒː	ˈəʊ̯	0.118
ˈɒː	ˈuə̯	0.118
ˈɒː	ˈu	0.118
ˈɒː	ˈaː	0.118
ˈiː	ˈɜɪ̯	0.111
ˈiː	ˈɛː	0.111
ˈiː	ˈiː_ɐ	0.111
m	v_ə	0.111
ˈae̯	ˈi	0.091
ˈa	ˈuə̯	0.091
ˈɪ	ˈiː	0.087
t	ʦ	0.071
n	ŋ	0.061
n	n_ə	0.061
æ	ə_ʀ	0.054
