Zeelandic	American English	probability
ˈʊə̯_x	ˈaɪ̯	1.0
ˈɛː_n	n	1.0
ˈɑu̯	ˈoʊ̯_ɫ	1.0
ˈɑ_n	ˈu	1.0
ˈæi̯	ˈoʊ̯	1.0
ˈæ_ɾ	ˈɝ	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈi	1.0
ˈiː_k	ˈɪ_k	1.0
ʋ	w	1.0
ə_ɾ	ɚ	1.0
ə_ɫ	ɫ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z_ə	z	1.0
z	s	1.0
x_ə	ʤ	1.0
x_t	ʔ	1.0
w	-	1.0
v_ə	v	1.0
v	f	1.0
s_x	ʃ	1.0
p	p	1.0
m	m	1.0
j	j	1.0
iː	i	1.0
i	i	1.0
d̥	d	1.0
d_ˈʊə̯	d_ˈɛ	1.0
d_ˈɪ	θ_ˈɪ	1.0
b	b	1.0
n	n	0.856
ˈʏ	-	0.824
ˈu	ˈʌ	0.755
s	s	0.671
ɫ_ə	ɫ	0.662
ˈyː	ˈaʊ̯	0.645
ˈøː	ˈʌ	0.629
d	d	0.586
t	ʔ	0.565
ˈiː	ˈi	0.55
ˈɪə̯	ˈoʊ̯	0.549
ə	-	0.526
ˈɒː	ˈɑ	0.5
ˈɒː	-	0.5
ˈuː	ˈi	0.493
ɫ	l	0.479
ə	ɡ	0.474
ˈi	ˈɪ	0.468
ˈʊə̯	ˈi	0.447
ɫ	ɫ	0.42
ˈɪ	ˈɪ	0.418
ˈeː	ˈɛ	0.398
ɾ	ɚ	0.397
ˈeː	ˈi	0.393
ˈɔ	ˈʌ	0.391
d	θ	0.379
ɾ	ɹ	0.375
ˈøː	-	0.371
t	t	0.368
ˈæ	-	0.35
ˈɑ	ˈɛə̯	0.347
ɫ_ə	ˈæ	0.338
ˈɪ	ˈaɪ̯	0.332
ˈɛː	ˈi	0.331
ˈɔ	-	0.324
ˈɪə̯	ˈɛ	0.316
ˈɛː	ˈeɪ̯	0.314
k	k	0.305
ˈæ	ˈɛ	0.3
ˈiː	-	0.3
ˈuː	-	0.299
x	-	0.289
k	ʧ	0.276
x	ˈeɪ̯	0.265
x	ˈu	0.264
ˈi	-	0.26
ˈu	-	0.245
ˈæ	ˈɑ	0.233
k	kʰ	0.213
ˈyː	ˈʌ	0.21
ˈeː	ˈɪ	0.21
ˈuː	ˈʊ	0.209
k	-	0.206
ˈʊə̯	-	0.201
ˈʊə̯	ˈɔ	0.183
x	oʊ̯	0.182
ˈi	ˈaɪ̯	0.179
s	ʃ	0.178
ˈʏ	ˈɪ	0.176
ˈɑ	ˈæ	0.17
ˈʊə̯	ˈɛ	0.169
ˈɪ	ˈɛ	0.163
ˈiː	ˈaɪ̯	0.15
s	k_s	0.15
ˈɛː	-	0.147
ɾ	ˈɔ_ɹ	0.146
ˈyː	ˈaɪ̯	0.145
n	-	0.144
ˈɑ	ˈeɪ̯	0.136
ˈɪə̯	ˈi	0.135
ˈɑ	ˈɑ	0.128
ˈɑ	-	0.127
ˈɔ	ˈɑ	0.124
ˈæ	ˈɪ	0.117
ˈɛː	ˈɑ	0.104
ˈɛː	h_ˈɛ	0.104
ɫ	-	0.101
ˈɑ	ˈʌ	0.093
ˈi	ˈʌɪ̯	0.093
ˈɪ	ˈʌɪ̯	0.086
ˈɔ	ˈʊ	0.08
ˈɔ	ɹ_ˈɛ	0.08
t	ɾ	0.067
ɾ	ˈɝ	0.053
