Bulgarian	Kashubian	probability
b	b	1.0
f	f	1.0
i	ˈə	1.0
k	k	1.0
l	l	1.0
lʲ	l	1.0
p	p	1.0
s	s	1.0
u	ˈʉ	1.0
vʲ	v_j	1.0
x	x	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
m	m_j	0.271
o	u̯ɛ	0.051
v	v	0.881
ɡ	ɡ	0.971
ˈa	ˈɔ	0.081
ˈa	a	0.421
d	d	0.642
z	ŋ_z	0.142
ɛ	ˈɔ	0.162
ˈi	-	0.112
ˈi	ˈi	0.342
ˈɤ	ˈõ	0.12
t	ʦ	0.23
ɐ	i	0.073
ɐ	a	0.43
ˈa	ˈɛ	0.093
ˈɤ	i_#>	0.083
ˈɤ	ˈɞ	0.243
m	m	0.554
ɛ	j_ˈɞ	0.054
ɫ	w	0.774
ˈa	ˈa	0.294
m	m_ə	0.175
n	n	0.505
o	ˈɔ	0.085
t	t	0.445
ʦ	-	0.295
ʦ	ʦ	0.655
ˈɔ	ˈɔ	0.105
n	ɲ	0.156
ɛ	ɛ	0.086
ˈɔ	ˈu	0.356
ˈɛ	ˈa	0.216
o	ɔ	0.427
o	u̯ˈɛ	0.437
t	ʧ	0.117
ɛ	-	0.397
ɫ	w_i	0.087
ˈi	ˈə	0.437
ˈɛ	ɛ	0.287
ˈɤ	ʦ_#>	0.07
d	ʣ	0.358
r	r	0.78
t	ŋ_ʦ	0.208
z	z	0.858
ɐ	-	0.418
ˈɛ	ˈɛ	0.338
ˈɤ	ˈɛ	0.438
n	n_i	0.339
r	ʐ	0.179
v	v_j	0.119
ɐ	ʤ_i	0.079
ɛ	j	0.259
ɫ	l	0.139
ˈi	ə	0.109
ˈɔ	u̯ɛ	0.149
ˈɔ	u̯ˈɛ	0.39
ˈɛ	ˈe	0.159
