Eastern Lombard	Eastern Lombard	probability
ˈø_l	ˈi	1.0
ˈe_z	ˈɛ_z	1.0
ˈe_n	ˈe_n	1.0
ˈa_d	ˈa	1.0
ʤ	-	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
y	u	1.0
w_a	e	1.0
w	w	1.0
u	o	1.0
r_ˈɛ	r_ˈeː	1.0
p_j	p_l	1.0
p	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l	l	1.0
k_r	k_r	1.0
j_ˈa	l_ˈa	1.0
j_#>	j_#>	1.0
i	i	1.0
f_j	f	1.0
e_r	r_i	1.0
e_n	e_n	1.0
e_#>	#>	1.0
b	b	1.0
a_s	a_ʧ	1.0
a_n	a_n	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈe	<#_v_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_ɲ	1.0
<#_l	<#_j	1.0
<#	<#_v	1.0
n	n	0.938
f	f	0.931
d	d	0.926
t	t	0.918
r	r	0.891
#>	ŋ_#>	0.8
a	e	0.786
s	s	0.776
ŋ	ŋ	0.75
ˈo	ˈo	0.647
ɡ	ɡ	0.6
ˈa	ˈa	0.58
k	k	0.542
ˈy	ˈuː	0.5
ˈy	ˈu	0.5
ˈi	ˈi	0.5
z	ʤ	0.5
j	j	0.5
ˈɛ	j_ˈɛ	0.467
ˈu	ˈo	0.45
ˈa	ˈaː	0.42
ˈø	ˈu	0.4
ˈu	ˈoː	0.4
k	c	0.396
ʧ	t	0.385
o	-	0.375
e	i	0.348
ˈɔ	w_ˈɛ	0.333
o	u	0.312
o	o	0.312
ʧ	l_i	0.308
ɡ	-	0.3
j	l	0.3
ˈø	ˈuː	0.28
ˈɛ	ˈɛ	0.267
e	e	0.261
ŋ	n	0.25
z	z	0.25
ˈe	ˈiː	0.231
ˈe	ˈe	0.231
s	ʧ	0.224
ˈɔ	ˈɔ	0.222
ˈɔ	ˈo	0.222
e	a	0.217
ˈɛ	ˈe	0.2
ˈø	ˈɔ	0.2
j	-	0.2
#>	s_#>	0.2
ˈe	ˈɛ	0.192
ˈo	w_ˈa	0.176
ˈi	ˈi_ŋ	0.167
ˈe	ˈi	0.154
ʧ	k_l	0.154
ʧ	-	0.154
ˈu	w_ˈi	0.15
ˈi	ˈiː	0.133
z	ʧ	0.125
z	j	0.125
ˈø	-	0.12
ˈo	ˈa_l	0.118
ˈe	ˈi_n	0.115
ˈɔ	w_ˈa	0.111
ˈɔ	w	0.111
a	a	0.107
ˈi	ˈeː	0.1
ˈi	i	0.1
ɡ	v	0.1
e	v_i	0.087
e	-	0.087
t	d	0.082
ˈe	-	0.077
d	-	0.074
r	-	0.073
f	v_i	0.069
ˈɛ	i	0.067
n	ŋ	0.062
k	-	0.062
ˈo	ˈɔː	0.059
