Saterland Frisian	Old West Norse	probability
ˈɛɪ̯_d	ˈɑ	1.0
ˈɔːɪ̯	ˈɛ_ɡː	1.0
ˈɔː_x	ˈɑː	1.0
ˈœː	ˈo	1.0
ˈøː	ˈuː	1.0
ˈu	-	1.0
ˈoːu̯_n	n	1.0
ˈiːu̯	ˈi	1.0
ˈiː_d	ˈiː_ð	1.0
ˈeːu̯	ɟ_ˈe	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɑ_ɣ	1.0
ɣ_j	ʝː	1.0
ə_n	n	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z	-	1.0
w	-	1.0
t_v	tʰ	1.0
r_t	ɾ	1.0
m	m	1.0
j_ˈʊ	ˈy	1.0
j_ˈuː	ˈyː	1.0
j_ə	ɑ	1.0
i	ɑː	1.0
f	f	0.946
b	b	0.915
s	s	0.901
h	h	0.878
r	r	0.847
v	v	0.787
p	p	0.754
ˈɛː	ˈɑ	0.739
l	l	0.739
t	t	0.706
ˈʊ	ˈu	0.705
n	n	0.678
ˈaː	-	0.655
ˈi	ˈiː	0.57
d	ð	0.565
ˈɪ	ˈi	0.558
ˈa	-	0.557
x	tː	0.548
k	k	0.532
ə_l	l	0.526
ɪ	u	0.5
ɪ	-	0.5
ə_l	l_i	0.474
ˈeː	ˈɛi̯	0.47
ɣ̥	ɣ	0.47
ˈiː	ˈi	0.469
ə	ɑ	0.459
x	-	0.452
ˈɔ	-	0.451
j	j	0.449
ˈa	ˈe	0.443
ɣ	ɣ	0.433
ˈi	ˈeː	0.43
ˈɛɪ̯	ˈøː	0.42
ˈɔː	ˈɑ	0.42
ˈɛ	ˈɑ	0.418
j	-	0.403
ɣ̥	ɡ	0.383
ə_r	i_r̥	0.362
ɣ	ɟ	0.35
ˈuː	ˈuː	0.348
ˈaː	ˈɑ	0.345
k	c	0.332
ˈɛ	ˈe	0.331
ˈuː	ˈu	0.303
ˈʊ	-	0.295
ˈeː	-	0.285
d	d	0.276
ˈɔ	ˈɑ	0.274
ˈɔ	ˈu	0.274
ˈɛː	ˈy	0.261
ˈɛ	-	0.251
ˈoːu̯	ˈoː	0.246
ˈiː	ˈɑː	0.231
ˈɪ	-	0.225
ˈoː	ˈɑ	0.22
l	lː	0.219
ˈɪ	ˈe	0.217
ɣ	-	0.217
ˈoː	ˈoː	0.216
ə_r	ɡ_r̥	0.213
ə_r	r̥	0.213
ə_r	r	0.213
ˈoː	ˈɑu̯	0.204
ˈɛɪ̯	r̥	0.2
ˈoːu̯	ˈɑː	0.186
n	nː	0.184
ˈɔː	ˈo	0.183
ˈuː	ˈo	0.183
ˈoːu̯	ˈo	0.175
ˈoː	ˈuː	0.173
ˈuː	ˈoː_ð	0.166
ˈiː	j_ˈɑ	0.166
ˈeː	ˈøy̯	0.162
t	tː	0.16
ˈoːu̯	ˈɑ	0.151
ˈɔː	ˈa	0.148
ɣ̥	ɟː	0.148
j	ˈu	0.148
ˈɔː	j_ˈɔ	0.144
v	v_ˈe	0.14
p	pː	0.137
ˈɛɪ̯	-	0.135
ˈiː	-	0.134
ˈɛɪ̯	ˈɑː	0.123
ˈɛɪ̯	r	0.123
h	ç	0.122
ə	i	0.111
t	tʰ	0.109
p	pʰ	0.109
ˈɔː	ˈe	0.106
k	cʰ	0.104
ˈoːu̯	-	0.098
ə	a	0.095
ə	r	0.088
ə	-	0.088
b	-	0.085
ˈeː	ˈɛː	0.083
n	-	0.083
ˈoːu̯	ˈɔː	0.074
v	-	0.072
r	i	0.072
ˈoːu̯	ˈy	0.069
d	θ	0.069
ə	r̥	0.064
ˈoː	ˈɑː	0.063
s	s_j	0.061
ə	n	0.056
f	v_r̥	0.054
ˈoː	-	0.052
