Belarusian	Belarusian	probability
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ_ɫ	w	1.0
ʌ	-	1.0
ʉ	ə	1.0
ʃ	ʃ	1.0
ɫ_#>	w_#>	1.0
ɨ_ˈ	ə_ˈ	1.0
ɣʲ	ʤ	1.0
ɣ	ɡ	1.0
ɛ	ɛ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
v_o	u̯ɛ	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_#>	ɔ_#>	1.0
<#_ʦʲ	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_a	<#_u̯ɛ	1.0
<#	<#_j	1.0
ˈ	ˈ	0.916
ɨ	i	0.783
ʣʲ	ʣ	0.75
ɫ	w	0.75
ˈ_#>	#>	0.741
ʧ	ʧ	0.714
x	x	0.7
r	r	0.63
pʲ	p	0.6
vʲ	v_j	0.583
mʲ	m_j	0.571
u	õ	0.5
i	i	0.462
a	a	0.435
ɵ	ɛ	0.429
w	w	0.429
mʲ	m	0.429
æ	ã	0.421
pʲ	p_j	0.4
r	r̝	0.333
e	ɛ	0.323
i	-	0.308
x	ɡ̊	0.3
u	ã	0.3
ʧ	-	0.286
ɵ	u	0.286
ɵ	-	0.286
w	v	0.286
w	f	0.286
ˈ_#>	ˈ_#>	0.259
ʣʲ	-	0.25
vʲ	f	0.25
o	ɔ	0.242
o	u	0.242
i	ə	0.231
e	e	0.226
u	ʉ	0.2
vʲ	v	0.167
e	a	0.161
æ	ɞ	0.158
æ	j	0.158
æ	-	0.158
o	ɞ	0.152
o	u̯ɛ	0.152
ɨ	ə	0.13
a	ɛ	0.13
a	u̯ɛ	0.13
e	-	0.129
ɫ	d_w	0.125
ɫ	-	0.125
æ	ɛ	0.105
e	j_a	0.097
o	-	0.091
ɨ	-	0.087
a	ɔ	0.087
a	-	0.087
ˈ	-	0.084
e	j	0.065
o	ɛ	0.061
o	w_u	0.061
a	ɞ	0.058
