Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ʀ	r_t	1.0
ˈœ_j	ˈɔ	1.0
ˈœ	ˈø	1.0
ˈỹ	ˈø	1.0
ˈũ_ŋ	ˈu	1.0
ˈũ	-	1.0
ˈĩ_ŋ	ˈi	1.0
ˈĩ	-	1.0
ˈi_#>	#>	1.0
ˈi	ˈi	1.0
ˈẽ_ŋ	ˈe	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈã	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʤ_ɔ	ɡ_a	1.0
ʃ	s	1.0
ʀ_ˈa	r	1.0
ɥ	a_s	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ɒ_ʀ	r	1.0
ŋ_#>	#>	1.0
z	-	1.0
w_ʀ	f	1.0
vʲ_ˈi	ˈe	1.0
v	-	1.0
ũ	o	1.0
t	t	1.0
s_ə	s	1.0
s_ɔ	s_a	1.0
s_#>	#>	1.0
s	s	1.0
pʲ	k_e	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	-	1.0
l_#>	l_#>	1.0
k_ʀ	k_r	1.0
k_w	k	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɔ	ˈø	1.0
j_ʀ	d	1.0
ĩ	-	1.0
fʲ	f	1.0
f	f	1.0
e	-	1.0
dʲ	d	1.0
ã	a	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_vʲ	<#	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
d	d	0.9
ə_#>	#>	0.857
ʀ_ə	e_r	0.818
ʧ	k	0.8
n	n	0.789
ɲ	ɲ	0.778
ɪ	s	0.778
ˈa	ˈa	0.75
j	-	0.75
w_#>	f_#>	0.714
b	b	0.7
ɒ	a	0.692
ʀ	r	0.686
ˈe_j	ˈa	0.667
ˈa_w	ˈo	0.667
ʤ	z	0.615
ˈɔ	ˈu	0.6
ˈu	ˈu	0.565
ˈy	ˈy	0.556
ə	e	0.545
w_ˈɔ	ˈø	0.538
l	l	0.522
ˈe	ˈɛ	0.519
w_ˈɔ̃	ˈu	0.5
w_ˈɔ̃	ˈo	0.5
u	o	0.5
i	j	0.5
i	-	0.5
l	j	0.478
w_ˈɔ	ˈɔ	0.462
w	ˈo	0.444
ˈẽ	ˈɛ	0.429
ˈɔ	-	0.4
ʎ	l	0.4
ŋ	n	0.375
ˈɪ	ˈe	0.333
ˈe_j	ˈa_d	0.333
ˈa_w	ˈa_l	0.333
ŋ	ŋ	0.333
w	ˈɔ	0.333
#>	t_#>	0.323
ˈẽ	ˈe	0.286
ˈẽ	n	0.286
w_#>	#>	0.286
ˈɪ	ˈi	0.278
ˈe	ˈe	0.259
ʎ	j	0.25
u	u	0.25
u	-	0.25
j	s	0.25
ʤ	s	0.231
ɒ	e	0.231
ə	ˈi	0.227
ˈɪ	ˈɛ	0.222
ˈy	ˈɔ	0.222
ˈy	ˈø	0.222
ɲ	-	0.222
ɪ	-	0.222
w	-	0.222
ˈu	ˈo	0.217
n	-	0.211
ʎ	ʧ	0.2
b	-	0.2
ʀ_ə	r	0.182
ˈɪ	e	0.167
ŋ	n_t	0.167
#>	ʧ_#>	0.161
#>	r_#>	0.161
ʤ	ʤ	0.154
ʎ	ʤ	0.15
ə_#>	r_#>	0.143
ə	-	0.136
ˈu	ˈø	0.13
#>	s_#>	0.129
#>	e_#>	0.129
ŋ	t	0.125
ʧ	s	0.12
ˈa	ˈe	0.111
d	-	0.1
b	ʋ	0.1
#>	l_#>	0.097
ə	e_r	0.091
ˈu	o	0.087
ʀ	t	0.086
ʀ	o	0.086
ʀ	-	0.086
ˈa	w_ˈa	0.083
ʧ	d	0.08
ɒ	y	0.077
ˈe	ˈɛ_s	0.074
ˈe	ˈi	0.074
ˈe	-	0.074
ʀ	r_a	0.057
ˈa	-	0.056
