Hoisanese	Hoisanese	probability
ⁿd_u	n̩	1.0
ⁿd	n	1.0
ᵑɡ_w	ŋ	1.0
ᵑɡ	ɲ	1.0
ʦʰ	ʦʰ	1.0
ɵ	ʊ	1.0
ɔ_n	n	1.0
²¹_#>	#>	1.0
²¹	⁴⁴	1.0
²²	¹¹	1.0
²	³¹	1.0
w_³³	w_⁴⁴	1.0
v	ʋ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	-	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	cʰ	1.0
j_ɛ	a	1.0
i_w	u	1.0
i	i	1.0
h_w	kʰ	1.0
h_u	ç	1.0
e_j	i	1.0
a_²²	a_¹¹	1.0
a_k̚	ɛ_t̚	1.0
a_j	i	1.0
<#_ᵑɡ	<#	1.0
<#_h	<#	1.0
a	a	0.929
t̚	t̚	0.917
ŋ	ŋ	0.913
ɔ	ɔ	0.824
ɬ	ɕ	0.75
w_ɔ	o	0.75
t	ʦ	0.75
f	f	0.75
ᵐb	m	0.727
k	k	0.667
j	j	0.667
³³	⁴⁴	0.646
⁵⁵	³¹	0.629
w	w	0.611
ʦ	ʦ	0.6
j_a	ɔ	0.571
h	h	0.571
<#	<#_t	0.571
³²	⁵³	0.55
u	u	0.524
tʰ	ʨʰ	0.5
tʰ	ʦʰ	0.5
j_a	a	0.429
h	tʰ	0.429
<#	<#_tʰ	0.429
ʦ	-	0.4
⁵⁵	¹	0.371
k	c	0.333
e	j_a	0.333
³²	⁵	0.3
ᵐb	ʋ	0.273
ɬ	s	0.25
³³	⁵³	0.25
w_ɔ	u	0.25
t	ʨ	0.25
f	p	0.25
w	-	0.222
e	ɛ	0.222
e	i	0.222
e	e	0.222
j	-	0.208
ɔ	o	0.176
w	a	0.167
³²	¹	0.15
j	i	0.125
³³	¹	0.104
u	z̩	0.095
u	z	0.095
u	j_ɛ	0.095
u	j	0.095
u	-	0.095
ŋ	-	0.087
t̚	p̚	0.083
a	ɔ	0.071
