Proto-Slavic	Štokavian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɡ_ŭ_#>	ɡ_#>	1.0
ɡ	ɡ	1.0
ɛ̌	ê	1.0
ɛ̂ː	j_êː	1.0
ɛˀ	j_ê	1.0
z	z	1.0
x	x	1.0
v_ŭ_#>	ʋ_#>	1.0
v	ʋ	1.0
ŭ̂_v	ʋ	1.0
ŭ̂	-	1.0
ŭ_t	a	1.0
ŭ_j_ĭ_#>	#>	1.0
ŭ_#>	#>	1.0
ŭ	z	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ_#>	t_#>	1.0
t	t	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
r_ŭ	a_r	1.0
p	p	1.0
n_ŭ_#>	n_#>	1.0
n	n	1.0
m	m	1.0
l_ŭ	o	1.0
k_t	ʨ	1.0
ǐ	î	1.0
ĭ̌	â	1.0
ĭ̂_l	ûː	1.0
ĭ̂	-	1.0
ĭˀ_l	û	1.0
ĭ_#>	#>	1.0
i	i	1.0
ě	e	1.0
ẽ̂ː	êː	1.0
ê	ê	1.0
d_ŭ_#>	d_#>	1.0
d_l	l	1.0
d	d	1.0
b	b	1.0
ǎ	a	1.0
aˀ	â	1.0
a	a	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
k	k	0.923
l	l	0.826
<#_s	<#_s	0.7
ɛː	j_ěː	0.6
ôː	ôː	0.6
ẽ	eː	0.6
e	ě	0.588
ǒ	ô	0.556
ô	ô	0.556
o	o	0.545
r	r	0.522
ɛ	j_e	0.5
ɛ	j	0.5
ô	ôː	0.444
ĭ	a	0.444
ɛː	j	0.4
ôː	-	0.4
ẽ	ěː	0.4
ĭ	-	0.333
<#_s	<#	0.3
e	e	0.294
o	ǒ	0.273
ǒ	o	0.222
ǒ	-	0.222
ĭ	t	0.222
r	r̩̂	0.174
r	âː	0.13
e	-	0.118
o	ô	0.091
o	-	0.091
r	r̂ː	0.087
r	r_â	0.087
l	ʎ	0.087
l	ûː	0.087
k	ʦ	0.077
