Piedmontese	French	probability
a	-	0.709
a	a	0.227
a_ŋ	ɑ̃	0.263
b	b	0.803
b	ʒ	0.11
b	v	0.078
d	d	0.5
d	-	0.3
d	s	0.059
d	ʒ	0.059
d	v	0.058
d_ˈe	w	0.263
e	-	0.586
e	ə	0.164
e	i_ʁ	0.108
e	a	0.07
e	e	0.066
f	f	0.944
f	ʁ	0.056
i	-	0.22
i	ɛ	0.215
i	i	0.203
i	a	0.107
i	e	0.107
i	o	0.069
i	ɛ̃	0.065
j	j	0.268
j	l	0.247
j	-	0.232
j	a	0.199
k	k	0.587
k	ʃ	0.293
k	-	0.108
l	l	0.817
l	-	0.18
m	m	0.799
m	-	0.14
n	n	0.697
n	-	0.198
n	d	0.068
n_ˈi	n	0.263
p	p	0.894
p	-	0.097
r	ʁ	0.977
r_t	ʁ	1.0
s	s	0.527
s	-	0.325
s	t	0.092
s_t	t	1.0
s_ˈi	s	0.263
t	t	0.577
t	-	0.418
u	ɔ	0.273
u	u	0.241
u	ɔ̃	0.135
u	œ	0.078
u	ɛ̃	0.066
u	-	0.064
u	a	0.058
u	n	0.055
u	ɥ	0.055
u_j	u	1.0
v	v	0.767
v	f	0.095
v	-	0.089
v_e	ʁ	1.0
w	-	0.852
w	ø	0.109
y	y	1.0
z	z	0.448
z	ʁ	0.246
z	l	0.12
z	s	0.085
z	ʒ	0.085
ŋ	n	0.431
ŋ	-	0.375
ŋ	ɛ̃	0.09
ŋ_a	n	1.0
ŋ_k	k	0.263
ŋ_t	ɑ̃	0.701
ŋ_t	t	0.275
ə	ɑ̃	0.608
ə	-	0.139
ə	ɛ	0.089
ɡ	ɡ	0.59
ɡ	-	0.293
ɡ	ʃ	0.115
ɲ	ɲ	0.521
ɲ	ɛ̃	0.401
ɲ	n	0.066
ʤ	ʒ	0.717
ʤ	ɡ	0.129
ʤ	-	0.098
ʤ	ɡ_l	0.056
ʧ	s	0.517
ʧ	p	0.297
ʧ	k	0.121
ˈa	a	0.359
ˈa	ɛ	0.312
ˈa	e	0.195
ˈa	-	0.056
ˈa_m	ɛ̃	0.513
ˈa_n	ɑ̃	0.683
ˈa_n	ɛ̃	0.231
ˈa_s	ɛ	1.0
ˈa_w	o	1.0
ˈa_ŋ	ɑ̃	0.53
ˈa_ŋ	ɛ̃	0.294
ˈe	e	0.478
ˈe	w	0.158
ˈe	i	0.139
ˈe	-	0.06
ˈe	ə	0.056
ˈe_d	w	1.0
ˈe_s	i	0.723
ˈe_s	ɛ	0.213
ˈi	i	0.601
ˈi	ə	0.123
ˈi	y	0.107
ˈi	ɛ	0.093
ˈi_n	ɛ̃	1.0
ˈi_s	i	1.0
ˈi_ŋ	ɛ̃	1.0
ˈu	u	0.456
ˈu	w	0.246
ˈu	œ	0.136
ˈu	ɔ̃	0.055
ˈu	-	0.053
ˈu_j	u	0.776
ˈu_j	ø	0.179
ˈu_ŋ	ɔ̃	1.0
ˈy	y	0.607
ˈy	ɥ	0.133
ˈy	u	0.116
ˈy	ɛ	0.088
ˈy	-	0.052
ˈø	œ	0.507
ˈø	ø	0.218
ˈø	ɥ	0.097
ˈø	ɥ_i	0.069
ˈø	ɔ	0.059
ˈø	u	0.053
ˈø_ɡ	ø	1.0
ˈɔ	ɔ	0.614
ˈɔ	o	0.079
ˈɔ	ɛ	0.079
ˈɔ	w	0.071
ˈɔ	œ	0.053
ˈɔ_l	u	1.0
ˈɔ_s	o	1.0
ˈə	w	0.513
ˈɛ	ɛ	0.284
ˈɛ	w	0.265
ˈɛ	-	0.237
ˈɛ	j_ɛ	0.126
ˈɛ	i	0.071
ˈɛ_l	o	1.0
ˈɛ_ŋ	ɑ̃	0.784
ˈɛ_ŋ	ɔ̃	0.136
