East Frisian Low Saxon	Ripuarian	probability
χ_t	ɕ	1.0
χ	x	1.0
ˈʏə̯	ˈœ	1.0
ˈʊə̯	ˈo	1.0
ˈɛə̯	ˈaː	1.0
ˈɔː	ˈɔː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	ˈɔʊ̯	1.0
ˈɑɪ̯	ˈeː	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	ˈøː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈyːʏ̯	ʦ_ə	1.0
ˈuːu̯	ˈuː	1.0
ˈoːo̯	-	1.0
ˈoː_ɐ	ˈoː	1.0
ʊ	ˈoː	1.0
ɫ	ɫ	1.0
ɡ̊	-	1.0
ɑɪ̯	e	1.0
ɐ_n	n	1.0
ɐ_m	ʀ_m	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	ʋ	1.0
v̥	v̥	1.0
t_n	s_ə	1.0
s_k	ʃ	1.0
r	ʀ	1.0
o	ˈa	1.0
j	j	1.0
h	h	1.0
d_n	d_ə	1.0
b	b	1.0
d	d	0.971
f	f	0.908
ˈæɪ̯	ˈeː	0.894
ˈɑʊ̯	ˈoː	0.809
ˈɑ	ˈa	0.805
m	m	0.799
l	l	0.776
ˈʊ	ˈo	0.767
ɣ̊	ɕ	0.766
ˈʏ	ˈœ	0.763
ˈɑː	ˈɛ	0.75
ˈɪə̯	-	0.743
ˈɑːɑ̯	ˈa	0.73
ˈøː	-	0.691
k	k	0.669
ˈɛːɪ̯	ˈeɪ̯	0.667
v	ʋ	0.65
s	ʃ	0.642
ɡ	j	0.641
ˈœ	ˈo	0.635
ˈuː	ˈuː	0.595
ˈæːɪ̯	ˈeː	0.593
ˈɪ	ˈe	0.584
d̥	d̥	0.582
ˈɔ	ˈo	0.558
ˈiː	ˈiː	0.544
ˈɒː	ˈɔː	0.524
p	p	0.505
ˈeːe̯	ˈɛː	0.5
ˈeːe̯	ˈɛ_d	0.5
ˈeː	ˈɛː	0.5
p	f	0.495
ˈɛ	ˈe	0.476
n	n	0.452
ˈoː	-	0.411
ˈæːɪ̯	ˈiː	0.407
ˈoː	ˈuː	0.393
ɐ	ɐ	0.38
t	s	0.37
ɐ	ʀ	0.368
ˈœ	ˈoː	0.365
t	t	0.339
ˈɛːɪ̯	ˈøʏ̯	0.333
ˈɛ	ˈɛː	0.314
d̥	ɡ̊	0.303
n	ə	0.302
ˈeː	-	0.3
ˈiː	ˈɪ	0.291
t	ʦ	0.291
ˈɑːɑ̯	-	0.27
k	ɕ	0.266
ˈɒː	ˈaː	0.264
ˈɪə̯	ˈi	0.257
ˈɑː	ˈaː	0.25
ɡ	-	0.25
v	v	0.245
ˈøː	ˈoː	0.244
ˈʏ	ˈɛ	0.237
ɣ̊	ɣ̊	0.234
ˈʊ	ˈʊ	0.233
n	ŋ	0.224
l	ɫ	0.224
ˈɔ	ˈɔ	0.223
ˈɔ	ˈa	0.218
ˈɪ	ˈɪ	0.212
ˈɛ	ˈɛ	0.21
ˈuː	ˈɔʊ̯	0.205
ˈuː	-	0.2
ˈeː	ˈɛ	0.2
ˈoː	ˈɔʊ̯	0.196
ˈɑʊ̯	-	0.191
s	s	0.189
ˈiː	-	0.165
ɐ	-	0.161
m	m_ə	0.12
ˈɑ	ˈaː	0.118
d̥	-	0.115
s	k_s	0.112
ɡ	ɣ	0.109
ˈɒː	ˈa	0.106
ˈɒː	-	0.106
ˈæɪ̯	ˈeɪ̯	0.106
v	ʋ_ˈe	0.105
ˈɪ	ˈa	0.103
f	ə_f	0.092
m	ə	0.082
ˈɑ	-	0.077
ˈøː	ˈy	0.066
k	x	0.065
s	n_z̥	0.057
ˈɪ	ˈiː	0.051
ˈɪ	-	0.051
