Phone1	Phone2	Surprisal
b	b	0.0
d	d	1.127
d	d̥	1.246
d	-	3.784
d	j	4.383
f	v̥	0.084
f	χ	4.147
h	ɦ	0.0
i	i	1.24
i	ə	1.794
i	ə_χ	1.794
j	j	0.798
j	χ	1.235
k	k	0.0
k_s	s	0.0
kʰ	k	0.0
l	ɫ	0.0
m	m	0.055
m	m_ˈɑː	4.751
n	n	0.158
n	ə_ŋ	4.719
n	ə	4.923
n	ˈɪə̯_n	4.923
oʊ̯	χ	0.0
p	p	0.0
pʰ	p	0.0
s	s	0.0
t	t	0.0
v	v̥	1.291
v	v	1.48
v	-	2.101
w	v	0.1
w	-	3.9
w_ˈɔ	v_ˈa	0.0
z	s	0.0
ð	d_ə	0.0
ŋ	ŋ	0.0
ə	-	0.0
ɚ	r	0.575
ɚ	ə_r	2.452
ɚ	ˈyː_r	2.775
ɡ	ə	0.0
ɪ	-	0.0
ɫ	ɫ	0.08
ɫ	ə_ɫ	4.204
ɹ	r	0.0
ɹ_ʔ	r_t	0.0
ɾ	t_ə	0.0
ʃ	s_k	0.829
ʃ	s	1.194
ʔ	t	0.247
ʔ	χ	2.666
ʤ	χ	0.0
ʧ	k	0.0
ˈaɪ̯	ˈəɪ̯	1.609
ˈaɪ̯	ˈə	2.047
ˈaɪ̯	-	2.627
ˈaɪ̯	ˈʊə̯_χ	2.812
ˈaɪ̯	ˈi_χ	2.989
ˈaʊ̯	ˈœɪ̯	1.286
ˈaʊ̯	-	1.337
ˈaʊ̯	ˈu	2.366
ˈeɪ̯	ˈɑː	1.182
ˈeɪ̯	-	2.009
ˈeɪ̯	ˈa	2.439
ˈeɪ̯	ˈa_χ	2.984
ˈi	ˈʊə̯	1.707
ˈi	ˈi	1.91
ˈi	ˈɑː	2.194
ˈi	ˈu	2.712
ˈi	ˈɪə̯	4.145
ˈoʊ̯	ˈɪə̯	1.395
ˈoʊ̯	ˈəɪ̯	1.794
ˈoʊ̯	ˈʊə̯	2.486
ˈoʊ̯	-	3.152
ˈoʊ̯	w	4.631
ˈoʊ̯_ɫ	ˈœu̯	0.0
ˈu	-	0.603
ˈu	ˈu	2.463
ˈu	ˈa_n	2.644
ˈæ	ˈa	0.77
ˈæ	-	2.035
ˈæ	ˈa_ɫ	2.558
ˈɑ	ˈa	1.732
ˈɑ	ˈɑː	1.77
ˈɑ	ˈɔ	2.076
ˈɑ	ˈæː	2.569
ˈɔ	-	1.0
ˈɔ	ˈʊə̯	1.0
ˈɛ	ˈɪə̯	2.214
ˈɛ	ˈɑː	2.386
ˈɛ	ˈɛ	2.525
ˈɛ	ˈʊə̯	3.012
ˈɛ	ˈi	3.066
ˈɛ	-	3.523
ˈɛ	ˈæ	4.017
ˈɛ	ˈoː	5.188
ˈɛ_n	n	0.0
ˈɛ_ð	ˈɪə̯	0.0
ˈɛə̯	ˈa	0.0
ˈɝ	r	0.0
ˈɪ	ˈə	0.906
ˈɪ	ˈœ	2.643
ˈɪ	-	3.262
ˈɪ	ˈɛ	3.262
ˈɪ	ˈi	4.353
ˈɪ	ˈɪə̯	4.353
ˈʊ	ˈu	1.0
ˈʊ	ˈɔ	1.0
ˈʌ	ˈɔ	1.04
ˈʌ	-	2.741
ˈʌ	ˈɪø̯	3.047
ˈʌ	ˈœɪ̯	3.33
ˈʌ	ˈʊə̯	3.756
ˈʌ	ˈu	3.844
ˈʌɪ̯	ˈə	1.161
ˈʌɪ̯	ˈəɪ̯	1.602
ˈʌɪ̯	ˈa	2.161
θ	d	0.549
θ	d̥	1.659
