Lower Sorbian	Standard Serbian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɡʲ	-	1.0
ɡ	ɡ	1.0
ɕ_i	r_iː	1.0
z̥	-	1.0
z	z	1.0
x_ɨ	ʋ	1.0
x	x	1.0
w_ɨ	̂_o	1.0
w_a	l_a	1.0
vʲ	ʋ	1.0
v_a	ʋ_a	1.0
v	ʋ	1.0
t_a	t_a	1.0
t	t	1.0
rʲ	r	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n_ɨ	a_n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l_ɔ	l_eː	1.0
kʲ_i	a_k	1.0
f	ʋ	1.0
d_w	l	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_r	r̩ː	1.0
s	s	0.979
k	k	0.91
j	j	0.82
l	l	0.812
a	a	0.763
r	r	0.749
ɲ	n	0.695
ʦ	ʦ	0.683
u	uː	0.669
ɕ	t_i	0.58
i	i	0.567
ɨ	iː	0.455
ɔ	o	0.44
i	i_̂	0.433
ɪ	eː	0.4
ɕ	t	0.338
u	u	0.331
ʦ	ʧ	0.317
ɲ	ɲ	0.305
w	l	0.304
w	-	0.303
e	e	0.285
r	r̩	0.251
e	eː	0.244
e	-	0.235
ɛ	o	0.232
ɨ	i_̂	0.22
w	a	0.219
ɪ	eː_̌	0.202
ɪ	e_̂	0.202
ɪ	e	0.196
ɛ	o_̌	0.196
ɨ	a	0.188
l	ʎ	0.188
ɛ	e	0.181
j	-	0.18
w	o	0.174
e	e_̌	0.162
ɔ	e	0.155
ɨ	i	0.137
a	e_̂	0.129
ɛ	a	0.123
ɔ	oː	0.119
ɔ	aː	0.116
a	aː	0.108
ɛ	e_̌	0.099
ɛ	eː	0.094
ɕ	a_t	0.082
ɛ	oː	0.075
e	r̩	0.074
ɔ	eː	0.055
ɔ	a_̂	0.055
