Luxembourgish	Pennsylvania German	probability
b	b	1.0
d	d	1.0
f	f	1.0
h	h	1.0
j	j	1.0
k	k	1.0
kʰ	kʰ	1.0
p	p	1.0
s	s	1.0
v̥	b̥	1.0
w	ʋ	1.0
z	s	1.0
ɡ	ɡ	1.0
ʃ	ʃ	1.0
ˈe	ˈɪ	1.0
ˈiə̯	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈɑɪ̯	ˈaɪ̯	1.0
ˈɑʊ̯	ˈaʊ̯	1.0
ˈɔ	ˈʊ	1.0
ˈɛ	ˈɛ	1.0
ˈɛː	ˈɛː	1.0
ˈʊ	ˈuː	1.0
χ	x	1.0
m	m	0.971
t	d	0.081
t	d̥	0.261
ŋ	ɡ̊_#>	0.211
ˈaː	ˈɔː_ɑ	0.091
ˈaː	ˈa	0.42
ˈɑ	ˈa	0.512
n	-	0.223
ɕ	x	0.163
ə	ɪ	0.243
ʀ	n	0.113
ˈiː	ˈɛ	0.393
ˈoː	ˈɔː	0.063
ˈuː	ˈaː_ɾ	0.13
ˈə	ˈɪ	0.723
ˈəʊ̯	ˈuː	0.23
v	ʋ	0.734
ʦ	ʦ	0.914
ˈeː	ˈeː	0.814
ˈo	ˈʊ	0.684
ˈi	ˈiː	0.265
ˈu	ˈuː	0.355
ˈu	ˈʊ	0.645
ˈuə̯	ˈɔ	0.375
ˈə	ˈɛ	0.245
v	v	0.266
ɐ	ɑ	0.926
ʦ	s	0.086
ˈeː	ˈɛ	0.186
ˈi	ˈeː	0.386
ˈo	ˈɔ	0.316
ˈoː	ˈɔː_ɣ	0.06
d̥	d̥	0.97
n	n	0.777
ɕ	ç	0.797
ə	-	0.757
ʀ	ɾ	0.887
ˈiː	ˈɛː_ɾ	0.07
ˈiː	ˈɛː	0.07
ˈiː	ˈiː	0.187
ˈoː	ˈoː	0.877
ˈuː	ˈaː	0.87
ˈəʊ̯	ˈoː	0.77
t	t	0.658
ˈaː	ˈaː	0.18
ˈiː	ˈɪ	0.28
ˈuə̯	ˈɔː	0.218
ˈuə̯	ˈa	0.408
ˈɑ	ˈɪ	0.488
l	l	0.939
ŋ	ŋ	0.789
ˈaː	ˈɔː	0.309
ˈi	ˈɪ	0.349
ˈɜɪ̯	ˈɛː	0.139
ˈɜɪ̯	ˈeː	0.299
ˈɜɪ̯	ˈiː	0.519
