Palatine German	Palatine German	probability
β_ˈɪ	ʋ	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈiˀ	1.0
ˈɑːɪ̯	ˈeˀ_ɡ̊	1.0
ˈɑː_ɐ	ˈɑˀ	1.0
ˈɑː_d̥	ˈæ_ð̞ˠ	1.0
ˈõː	ˈœ_n	1.0
ˈo	ˈɔˀ	1.0
ˈĩː	ˈœˀ_n	1.0
ˈiː_ɐ	ɐ	1.0
ˈi	ˈyː	1.0
ˈẽː	-	1.0
ˈau̯̯	ˈuˀ	1.0
ʃ_#>	#>	1.0
ɡ̊_n	kʰ_n	1.0
ɡ̊_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ	ə	1.0
ɐ_d̥_#>	ɐˀ_#>	1.0
ɐ_#>	#>	1.0
x_d̥	d̥	1.0
r_ɐ	ɐ	1.0
m	m	1.0
l_ˈɑː	l	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
j	w	1.0
eː	ə_n	1.0
d̥_ɐ	d̥_ɐ	1.0
d̥_#>	#>	1.0
<#_β	<#	1.0
<#_ˈɑ	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_ˈɔ	1.0
#>	ə_#>	1.0
r	ʁ	0.923
b̥	b̥	0.895
h	h	0.864
ɐ	ɐ	0.778
f	f	0.76
n_d̥	nˀ	0.75
ˈuː	ˈoˀ	0.727
s_#>	s_#>	0.727
β	ʋ	0.708
l	l	0.636
ˈeː	-	0.625
n	n	0.613
ˈau̯	ˈuˀ	0.6
b̥_#>	#>	0.6
ˈu	ˈu	0.583
f_#>	b̥_#>	0.571
ʣ̥	d̥	0.545
s	s	0.514
ɪ	-	0.5
r_ə	ə	0.5
r_ə	ð̞ˠ_ə	0.5
ʃ	s	0.488
d̥	d̥	0.481
s	ð̞ˠ	0.457
ˈɛː	ˈeˀ	0.455
ˈiː	ˈyˀ	0.455
ʣ̥	ʦʰ	0.455
ˈɛ	-	0.444
ŋ	ŋˀ	0.444
ˈɑ	ˈæ	0.429
x	w	0.429
f_#>	#>	0.429
ˈu	-	0.417
ˈɑː	ə	0.4
ˈɑː	-	0.4
b̥_#>	w_#>	0.4
ˈɪ	ˈe	0.393
ˈeː	ˈeˀ	0.375
ˈɛː	-	0.364
ˈɔ	ˈu	0.333
ŋ	ŋ	0.333
l	lˀ	0.303
ˈaɪ̯	ˈiˀ	0.3
ˈoː	-	0.294
x	j	0.286
x	-	0.286
ˈuː	-	0.273
ˈiː	ˈyː	0.273
ˈiː	-	0.273
s_#>	#>	0.273
ʃ	s_ɡ̊	0.268
ˈɔ	ˈo	0.267
ɪ	i	0.25
ɪ	e	0.25
n_d̥	n_ə	0.25
d̥	ʦʰ	0.25
d̥	ð̞ˠ	0.25
ɐ	ɐˀ	0.222
ŋ	-	0.222
ˈɑ	ˈɑ	0.214
β	w	0.208
ˈɔ	ˈœ	0.2
ˈɔ	-	0.2
ˈɑː	ˈæˀ	0.2
ˈaɪ̯	-	0.2
ˈau̯	ˈuː	0.2
ˈau̯	-	0.2
n	nˀ	0.194
ˈɛ	ˈɛ	0.185
ˈɛ	ˈe	0.185
ˈɛː	ˈɑˀ	0.182
ˈoː	ˈɔː	0.176
ˈoː	ˈɒˀ	0.176
ˈaɪ̯	ˈyˀ	0.15
ˈaɪ̯	ˈiː	0.15
ˈɪ	ˈø	0.143
h	j	0.136
n	-	0.129
ˈoː	ˈɔˀ	0.118
ˈoː	ˈœˀ	0.118
ˈoː	ˈøˀ	0.118
ˈɪ	ˈɛ	0.107
ˈɪ	ˈœ	0.107
ˈɪ	-	0.107
ˈɑ	ˈʌ	0.107
ˈɑ	ˈɛː	0.107
b̥	-	0.105
ˈaɪ̯	ˈɛ	0.1
ˈaɪ̯	ˈɑ	0.1
ʃ	ɡ̊	0.098
ʃ	j	0.098
β	-	0.083
f	ʋ	0.08
f	b̥_ə	0.08
f	b̥	0.08
r	-	0.077
ˈɛ	j_ˈɛ	0.074
ˈɛ	j	0.074
ˈɪ	ˈy	0.071
ˈɪ	j	0.071
ˈɑ	ˈɔˀ	0.071
ˈɑ	-	0.071
n	n_ə	0.065
l	pʰ_l	0.061
