North Frisian	Gothic	probability
ˈɛː	ˈa	1.0
ˈɔu̯	ˈeː	1.0
ˈɔ	ˈɔ	1.0
ˈɒː_d	ˈa_t	1.0
ˈɒː	ˈa	1.0
ˈaː	ˈi	1.0
ʃ	s_k	1.0
ə_v	b	1.0
ə_n	n	1.0
ə_l	l_s	1.0
x	h	1.0
w	ɣ	1.0
t_#>	t_s_#>	1.0
t	t	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
lʲ	l	1.0
k	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈuː	<#_ˈɔː	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
r	r	0.88
l	l	0.857
ˈʊ	ˈu	0.8
s	s	0.8
r_#>	r_#>	0.769
ə	a	0.75
ŋ	ŋ	0.75
n	n	0.679
ˈɒ	ˈa	0.667
j	ɡ	0.667
v	w	0.632
ˈuː	ˈa	0.625
<#_t	<#_t	0.625
dʲ	θ_s	0.6
d	θ	0.6
#>	s_#>	0.588
ˈœ	ˈoː	0.5
ˈœ	ˈa	0.5
ˈi	ˈiː	0.5
ˈi	ˈi	0.5
ˈai̯	ˈi	0.5
ˈai̯	i	0.5
<#	<#_w	0.5
<#	<#_h	0.5
ˈɔː	ˈa	0.429
ˈyː	ˈuː	0.429
ˈiː	ˈɛː	0.429
ˈeː	ˈi	0.4
ˈa	ˈi	0.4
ˈa	ˈa	0.4
dʲ	θ	0.4
ˈuː	ˈɔː	0.375
<#_t	<#_θ	0.375
ˈɒ	ˈɛː	0.333
j	j	0.333
ˈɔː	ˈu	0.286
ˈɔː	ˈi	0.286
ˈyː	ˈɔ	0.286
ˈyː	ˈu	0.286
ˈiː	ˈiu̯	0.286
#>	n_#>	0.275
v	β	0.263
ŋ	ɡ	0.25
r_#>	#>	0.231
ˈʊ	ˈa_ŋ	0.2
ˈeː	ˈɛ	0.2
ˈeː	ˈeː	0.2
ˈeː	ˈa	0.2
ˈa	ˈɛ	0.2
s	s_w	0.2
d	t	0.2
d	d	0.2
n	n_d	0.179
ˈiː	ˈɔː	0.143
ˈiː	ˈiː	0.143
n	nː	0.143
l	lː	0.143
r	-	0.12
v	ʍ	0.105
ə	oː	0.1
#>	oː_#>	0.088
