Provençal	Romansch	probability
ˈɔ_w	f	1.0
ˈỹ	ˈi	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_j	ʎ	1.0
ʧ	ʨ	1.0
ʤ_e	d_i	1.0
ɾ_ˈi	r_ˈiː	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ɔ	r_ə	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈo	1.0
ŋ_k	ŋ	1.0
y	i	1.0
w_ˈẽ	ˈu	1.0
v_ˈa	v_ˈa	1.0
ũ	u	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k_l	k_l	1.0
j_ˈe	ˈɛ_ʦ	1.0
j_s	ʃ	1.0
ĩ	u	1.0
f	f	1.0
e_s	ʃ	1.0
d	d	1.0
ã_ŋ	ə_n	1.0
v	v	0.967
ɔ	ə	0.945
l	l	0.925
ʀ	r	0.891
a	ə	0.84
n	n	0.8
ˈẽ	ˈɛ	0.778
ˈy	ˈiː	0.767
ˈi	ˈiː	0.704
ʤ	ʥ	0.696
ɾ	r	0.686
i	-	0.686
ɥ	-	0.659
e	ə	0.649
ŋ	n	0.642
z	ʃ	0.635
ˈu	ˈu	0.617
u	u	0.581
k	ʨ	0.568
w_ˈe	ˈɔː	0.567
s	s	0.557
j	-	0.515
ɾ_e	r	0.511
b	b	0.497
ɾ_e	ə_r	0.489
ˈa	ˈaː	0.472
s	ʧ	0.443
ɡ	ɡ	0.434
w_ˈe	ˈɔ	0.433
u	o	0.419
ˈã	ˈɔ	0.399
ˈɛ	ˈɛ	0.372
z	-	0.365
ˈu	ˈuː	0.352
ɥ	ˈɔ	0.341
ˈa	ˈa	0.34
ˈã	ˈa	0.332
k	k	0.332
w	w	0.319
i	j	0.314
ʤ	ʃ	0.304
ɡ	-	0.293
b	v	0.282
w	-	0.277
ɡ	ʥ	0.274
ˈã	ˈa_w	0.269
ˈɛ	ˈɛː	0.257
ˈe	ˈa_j	0.25
j	ʎ	0.243
j	j	0.242
ˈy	ˈi	0.233
ˈẽ	j	0.222
b	-	0.22
ˈi	ˈi	0.212
ˈe	ˈe	0.211
n	-	0.2
ŋ	n_t	0.181
ɾ	r_ˈa	0.18
e	e	0.18
w	j	0.172
w	ˈu	0.171
ˈe	ˈeː	0.163
ɾ	-	0.134
ˈe	-	0.118
ˈɛ	j	0.114
a	u	0.111
ŋ	ŋ	0.11
ʀ	r_t	0.109
ˈe	ˈɛ	0.106
ˈa	ˈa_w	0.101
e	ə_r	0.096
ˈɛ	ˈiə̯	0.086
ˈɛ	-	0.086
ˈɛ	ˈeː	0.084
ˈi	r	0.084
ˈe	ˈa	0.081
l	j	0.075
e	-	0.075
ŋ	n_ʨ	0.067
w	ˈɔː	0.061
ˈa	-	0.06
k	w	0.055
