Megleno-Romanian	Ladin	probability
ˈɔ_j	ˈa	1.0
ˈɔ	ˈa	1.0
ˈi_n	ˈɛ_n	1.0
ˈa_r	ˈɛ_r	1.0
ʤ	ɲ_o	1.0
ʒ	ʒ	1.0
ʃ	-	1.0
ɲ	-	1.0
ɔ	ˈɛ	1.0
v	v	1.0
u	e	1.0
r_u	e_r	1.0
p_t	t	1.0
kʲ	p	1.0
f	f	1.0
e	-	1.0
d_ˈo	d_ˈo	1.0
a	-	1.0
n	n	0.896
m	m	0.877
ə	a	0.832
ʎ	l	0.788
r	r	0.728
s	s	0.712
ɡ	ɡ	0.686
e̯ˈa	ˈe	0.667
o̯ˈa	w	0.654
t	t	0.64
d	d	0.636
b	b	0.633
ˈo	ˈɔ	0.632
j	-	0.622
l	l	0.613
p	p	0.607
i	e	0.599
z	ʒ	0.542
ˈa	ˈa	0.524
w	ˈɛ_f	0.5
w	-	0.5
ˈa	ˈɛ	0.476
z	-	0.458
ˈu	ˈo	0.451
ˈi	ˈi	0.429
ʦ	ʨ	0.413
i	-	0.401
ˈe	ˈɛ	0.389
l	w	0.387
k	ʨ	0.383
j	j	0.378
ˈo	w_ˈɛ	0.368
b	-	0.367
d	-	0.364
ʦ	-	0.359
k	k	0.355
o̯ˈa	ˈɔ	0.346
ˈe	ˈe	0.338
e̯ˈa	ˈe_j	0.333
t	-	0.262
ˈi	ˈe	0.257
r	l	0.247
p	-	0.244
ʦ	ʃ	0.227
ʎ	ˈi	0.212
ˈi	ˈɛ	0.209
ˈu	-	0.2
s	ʃ	0.188
ɡ	-	0.171
ə	e	0.168
k	d	0.157
p	v	0.149
ˈe	j_ˈɛ	0.147
ˈu	ˈu	0.146
ɡ	ʤ	0.143
ˈu	ˈo_w	0.129
ˈe	ˈe_j	0.126
m	ɡ	0.123
ˈi	f	0.105
k	-	0.105
n	-	0.104
s	z	0.1
t	d	0.098
ˈu	ˈe	0.074
