German	East Low German	probability
a	-	1.0
b	b	0.878
b	m	0.055
d	d	0.661
d	-	0.217
d	ɾ	0.122
eː	ae̯	1.0
f	f	0.731
f	p	0.23
h	h	0.966
j	j	1.0
k	ç	0.432
k	k	0.411
k	x	0.156
kʰ	kʰ	1.0
l	l	0.994
m	m	0.982
n	n	0.914
n	-	0.086
p	f	0.852
p	p	0.077
p	-	0.07
p͡f	p	1.0
s	t	0.56
s	s	0.426
t	t	0.534
t	d	0.358
t	ɾ	0.079
tʰ	d	0.929
tʰ	tʰ	0.071
v	v	0.789
v	w	0.16
v	s	0.051
x	x	0.683
x	k	0.317
z	z	0.841
z	s	0.159
ç	ç	0.622
ç	k	0.31
ç	-	0.068
ŋ	ŋ	1.0
ɐ	æ	0.824
ɐ	-	0.154
ə	-	1.0
ɡ	ɡ	0.385
ɡ	ŋ	0.321
ɡ	j	0.226
ɪ	ɪ	1.0
ʁ	r	0.973
ʃ	ʃ	0.977
ʦ	tʰ	0.676
ʦ	t	0.324
ˈa	ˈa	0.721
ˈa	ˈaː	0.063
ˈa	ˈaʊ̯	0.058
ˈa	ˈɒː	0.055
ˈa	ˈɪ	0.055
ˈaɪ̯	ˈiː	0.435
ˈaɪ̯	ˈae̯	0.411
ˈaɪ̯	ˈɪ	0.127
ˈaʊ̯	ˈuː	0.499
ˈaʊ̯	ˈaʊ̯	0.303
ˈaː	ˈɒː	0.486
ˈaː	ˈa	0.159
ˈaː	ˈɛː	0.112
ˈaː	ˈɛ	0.109
ˈaː	ˈaː	0.072
ˈaː	ˈoː	0.062
ˈeː	ˈae̯	0.317
ˈeː	ˈɛ	0.243
ˈeː	ˈeː	0.205
ˈeː	ˈaɪ̯	0.105
ˈeː	ˈɛː	0.066
ˈeː	ˈɒː	0.064
ˈiː	ˈae̯	0.419
ˈiː	ˈiː	0.257
ˈiː	ˈaɪ̯	0.139
ˈiː	ˈɪ	0.069
ˈiː	ˈœː	0.059
ˈiː	ˈɛː	0.057
ˈoː	ˈɒː	0.335
ˈoː	ˈaʊ̯	0.319
ˈoː	ˈɔ	0.149
ˈoː	ˈœː	0.101
ˈoː	ˈʊ	0.061
ˈuː	ˈaʊ̯	0.808
ˈuː	ˈɔʏ̯	0.158
ˈyː	ˈɔʏ̯	0.728
ˈyː	ˈœː	0.142
ˈyː	ˈae̯	0.13
ˈøː	ˈɔʏ̯	0.454
ˈøː	ˈyː	0.323
ˈøː	ˈøː	0.223
ˈœ	ˈœː	0.906
ˈœ	ˈœ	0.094
ˈɔ	ˈɔ	0.269
ˈɔ	ˈuː	0.259
ˈɔ	ˈʊ	0.235
ˈɔ	ˈɒː	0.152
ˈɔʏ̯	ˈyː	0.338
ˈɔʏ̯	ˈɛː	0.231
ˈɔʏ̯	ˈʏ	0.231
ˈɔʏ̯	ˈɔʏ̯	0.135
ˈɛ	ˈɛ	0.416
ˈɛ	ˈɛː	0.147
ˈɛ	ˈiː	0.121
ˈɛ	ˈʏ	0.119
ˈɛ	ˈaː	0.102
ˈɛ	ˈɪ	0.06
ˈɛː	ˈɒː	0.404
ˈɛː	ˈoː	0.362
ˈɛː	ˈɛɪ̯	0.235
ˈɪ	ˈɪ	0.856
ˈɪ	ˈɛ	0.086
ˈʊ	ˈʊ	0.645
ˈʊ	ˈuː	0.08
ˈʊ	ˈœ	0.071
ˈʊ	ˈʏ	0.064
ˈʊ	ˈɔ	0.053
ˈʏ	ˈʏ	0.684
ˈʏ	ˈiː	0.284
