Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_ɣ	w	1.0
ˈʉː_ɣ	ˈuː	1.0
ˈɪ̃ː	ˈiˀ	1.0
ˈɪː_ʉ	ˈiˀ	1.0
ˈɛː	-	1.0
ˈɔː_r	ˈɒˀ	1.0
ˈɑː_p	b̥	1.0
ˈɑ_r	ˈɑˀ	1.0
ˈœ	j_ˈʌ	1.0
ˈyœ̯	-	1.0
ʨː	-	1.0
ʨ	ɡ̊	1.0
ʥː	ɡ̊	1.0
ʥ	ɡ̊	1.0
ʏ	ˈɔ_w	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_#>	j_#>	1.0
ɣ	w	1.0
ɡː	ɡ̊	1.0
ɡ	ɡ̊	1.0
ɛ_r	ɐ	1.0
ɔ̃	-	1.0
ɔ	ə	1.0
ɑ̃	ɐ	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋ	ˈɑ	1.0
tː	d̥	1.0
tʰ	ʦʰ	1.0
s_#>	s_#>	1.0
s	s	1.0
rː	ɐ	1.0
r_ð	ɐˀ	1.0
r_#>	#>	1.0
pʰ	-	1.0
p_#>	b̥_#>	1.0
p	b̥	1.0
n_d	nˀ	1.0
n_#>	#>	1.0
n	n	1.0
mː	-	1.0
m	m	1.0
l̥	s_l	1.0
lː	lˀ	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
f	f	1.0
d_#>	#>	1.0
b	b̥	1.0
a	ɐ	1.0
<#_ʨ	<#_kʰ	1.0
<#_r	<#_ʁ	1.0
w	ʋ	0.909
<#	<#_h	0.833
d	d̥	0.789
ˈɪː	ˈiˀ	0.75
ð	ð̞ˠ	0.727
#>	ə_#>	0.714
ˈɑː	-	0.7
ɛ	-	0.7
ˈɑːu̯	ˈuˀ	0.667
ˈæː	-	0.667
ˈo	-	0.667
j_ˈʉːə̯	ˈyˀ	0.667
ˈʉ	ˈu	0.625
k	ɡ̊	0.625
ˈʉːə̯	ˈoˀ	0.615
ˈʏː	ˈyˀ	0.6
ˈʏ	ˈœ	0.6
ˈɔ	-	0.6
ˈiːe̯	ˈeˀ	0.6
ʉ	ə	0.6
v	w	0.6
l	lˀ	0.6
ˈɑ	ˈæ	0.583
j	-	0.583
ˈɪ	ˈe	0.579
ˈoː	-	0.571
<#_j	<#_j	0.571
t	ð̞ˠ	0.529
ˈʉə̯	ˈo	0.5
ˈʉə̯	-	0.5
ˈɔ̃ː	ˈɔˀ	0.5
ˈɔ̃ː	-	0.5
ˈɔː	ˈɔˀ	0.5
ˈɔː	-	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈyːœ̯	-	0.5
ŋ_ɡ	ŋˀ	0.5
ŋ_ɡ	ŋ	0.5
r	ɐ	0.478
t	d̥	0.471
ˈʉː	-	0.444
ˈɑːi̯	ˈiˀ	0.444
ˈœː	ˈøˀ	0.444
ˈoː	h	0.429
<#_j	<#	0.429
nː	n	0.417
ˈʏː	-	0.4
ˈʏ	-	0.4
ˈɔ	h_ˈɛː	0.4
ˈiːe̯	-	0.4
ʉ	-	0.4
v	-	0.4
l	ˈi	0.4
ˈɛ	ˈe	0.357
r	ʁ	0.348
ˈʉː	ˈuˀ	0.333
ˈɑːu̯	ˈuː	0.333
ˈɑːi̯	ˈiː	0.333
ˈœː	-	0.333
ˈæː	ˈɛˀ	0.333
ˈyːœ̯	ˈøː	0.333
ˈo	ˈʌ	0.333
j_ˈʉːə̯	ˈyː	0.333
ˈɑː	ˈæ	0.3
ɛ	jˀ	0.3
#>	n_#>	0.286
ð	-	0.273
ˈʉ	-	0.25
ˈɪː	ˈɑ	0.25
ˈɑ	ˈɑ	0.25
nː	nˀ	0.25
k	j	0.25
j	ˈyː	0.25
ˈʉːə̯	-	0.231
ˈʉː	w	0.222
ˈɑːi̯	ˈɛˀ	0.222
ˈœː	ˈœˀ	0.222
ˈɛ	ˈɛ	0.214
ˈɛ	ˈɑ	0.214
ˈɛ	ˈeˀ	0.214
ˈɪ	ˈɛ	0.211
ˈɪ	-	0.211
ˈɑ	-	0.167
ˈyːœ̯	ˈœː	0.167
nː	ɐˀ_n	0.167
nː	ɐ_n	0.167
j	j	0.167
<#	<#_j	0.167
ˈʉːə̯	ˈuˀ	0.154
ˈʉ	ˈɔ	0.125
k	w	0.125
r	ɐˀ	0.109
d	lˀ	0.105
d	-	0.105
w	-	0.091
r	-	0.065
