Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	²³	1.0
⁵	⁵⁵	1.0
⁴⁴	⁵³	1.0
⁴	¹²	1.0
ʦʰ	ʦʰ	1.0
ɪ_ŋ	ã	1.0
ɤ	u	1.0
ɛ	ɥ	1.0
ɔ_ŋ	ɑ̃	1.0
ŋ	ŋ	1.0
¹¹	³⁴	1.0
³³_#>	#>	1.0
³³	²³	1.0
²⁴	²³	1.0
²³	²³	1.0
²²	²³	1.0
w̃	ã	1.0
w_e	i	1.0
w_ã	ø	1.0
pʰ	pʰ	1.0
n	n	1.0
l_j	l	1.0
k̚	ʔ	1.0
kʰ	kʰ	1.0
j_ã	i_n	1.0
ĩ	i	1.0
b	m	1.0
a_n	ø	1.0
a_m	ø	1.0
<#_ɡ	<#_ŋ	1.0
<#_l	<#_n	1.0
³²	⁵⁵	0.889
ʔ	ʔ	0.833
w	-	0.778
<#	<#_ɦ	0.75
m	m	0.714
⁵³	³⁴	0.667
ɔ	o	0.667
t̚	ʔ	0.667
tʰ	tʰ	0.667
a_w	ɔ	0.667
a_j	e	0.667
a	o	0.643
ʨ	ʦ	0.6
ʦ	ʦ	0.6
ɪ	o	0.6
l	nʲ	0.6
ɕ	ɕ	0.5
ɕ	s	0.5
w_a	u	0.5
w_a	a	0.5
s	s	0.5
s	-	0.5
j	-	0.5
ã	n	0.5
ã	e	0.5
i	i	0.476
e	a	0.462
o	ɔ	0.455
ʨ	z	0.4
ʦ	ʑ	0.4
ɪ	ə	0.4
l	l	0.4
h	ɦ	0.4
t	z	0.385
p	p	0.385
k	ʨ	0.375
j	j	0.357
u	ə	0.353
⁵³	²³	0.333
ɔ	u	0.333
ŋ̍	ɑ̃	0.333
ŋ̍	-	0.333
t̚	ɪ_ʔ	0.333
tʰ	d	0.333
a_w	ɜ	0.333
a_j	z̩	0.333
h	h	0.3
m	n	0.286
i	z̩	0.286
o	o	0.273
o	-	0.273
k	ʥ	0.25
k	k	0.25
<#	<#_nʲ	0.25
u	y	0.235
u	-	0.235
t	ʦ	0.231
t	d	0.231
p	f	0.231
p	b	0.231
e	-	0.231
w	ɤ	0.222
a	-	0.214
h	f	0.2
u	u	0.176
ʔ	a_ʔ	0.167
ŋ̍	ə_n	0.167
ŋ̍	e	0.167
t	t	0.154
p	v	0.154
e	ɪ	0.154
e	o	0.154
j	ə	0.143
i	j	0.143
a	ɪ	0.143
k	-	0.125
³²	⁵	0.111
h	-	0.1
i	-	0.095
