Ripuarian	Old English	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔ	ˈo	1.0
ˈøʏ̯	ˈiːy̯_w	1.0
ˈy	ˈo	1.0
ˈu	ˈu	1.0
ˈoʊ̯	-	1.0
ˈi	ˈi_ʤː	1.0
ˈeɪ̯	ˈɑː	1.0
ˈaː_x	xː	1.0
ʋ_ˈa	w	1.0
ʃ_l	s_l	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ə_ɕ	i_j	1.0
z̥	z	1.0
z	s	1.0
t	t	1.0
n_ʃ	ʃː	1.0
l_ə	ɫ	1.0
h	h	1.0
f_ə	p_ɑ	1.0
e	iːy̯	1.0
d_ə	d_ɑ	1.0
b	b	1.0
m	m	0.957
l	l	0.939
ʋ	w	0.919
ɫ	ɫ	0.871
ˈe	ˈi	0.868
f	f	0.858
s	t	0.848
ʀ	r	0.838
v	v	0.781
ɡ̊	d	0.723
ə	ɑ_n	0.711
p	p	0.695
ˈøː	ˈeː	0.67
ˈeː	ˈeːo̯	0.648
d̥	d	0.647
x	ç	0.632
ˈo	ˈu	0.63
ˈa	ˈɑ	0.629
d	θ	0.622
j	j	0.619
n	n	0.603
ˈɔʊ̯	ˈuː	0.6
ʃ	ʃ	0.588
ˈuː	ˈuː	0.586
ˈyː	ˈiːy̯	0.585
ˈɪ	ˈi	0.559
k	k	0.558
ˈɛː	ˈeo̯	0.535
ˈœ	ˈy	0.507
ɐ	e_r	0.501
ˈœ	-	0.493
ˈoː	ˈoː	0.468
ˈiː	ˈiː	0.467
ʦ	t	0.458
ŋ	ŋ	0.438
ˈyː	ˈyː	0.415
ˈuː	ˈæːɑ̯	0.414
ʃ	s	0.412
ɐ	o_r	0.401
ˈɔʊ̯	ˈæːɑ̯	0.4
j	ɣ	0.381
x	k	0.368
ŋ	n	0.358
ˈeː	ˈɑː	0.352
ˈaː	ˈæɑ̯	0.351
k	ʧ	0.349
ˈɔː	ˈæːɑ̯	0.338
ˈɔː	-	0.338
ˈaː	ˈæ	0.332
ˈøː	-	0.33
ˈɔː	ˈæː	0.323
ˈɛː	ˈe	0.307
p	pː	0.305
ɡ̊	ɡ	0.277
ʦ	tː	0.273
ʦ	r_t	0.269
ˈɛ	ˈæɑ̯	0.268
ˈɪ	ˈiː	0.267
ɕ	j	0.266
ˈoː	ˈo	0.244
d̥	θ	0.235
ɕ	ʧ_e	0.234
d	d	0.232
ˈiː	ˈeːo̯	0.222
v	-	0.219
ˈɛ	ˈe	0.218
ˈa	ˈæɑ̯	0.202
ˈo	ˈo	0.196
ˈaː	ˈɑ	0.184
ɕ	ç_t	0.177
ɕ	x_t	0.177
ˈɪ	-	0.174
ˈɛ	ˈeo̯	0.173
ˈa	ˈæ	0.169
ˈoː	ˈæːɑ̯	0.163
ˈɛː	ˈi	0.159
ˈiː	ˈiːy̯	0.157
ˈiː	ˈɑː_w	0.154
s	s	0.152
ɕ	ɣ̊	0.146
n	nː	0.142
f	p	0.142
ŋ	n_d	0.135
ˈaː	ˈi	0.133
ˈe	ˈe	0.132
ɫ	ɫː	0.129
ˈɛ	ˈiy̯	0.127
ˈoː	-	0.126
ə	-	0.123
d̥	r_d	0.118
ˈo	ˈoː	0.113
ɐ	e	0.098
n	r_n	0.096
d	ð	0.096
ˈɛ	ˈi	0.088
ˈɛ	-	0.088
ʋ	h_w	0.081
ʀ	r_ˈeːo̯	0.081
ə	i_ɑ	0.074
ŋ	-	0.069
n	-	0.068
ˈo	-	0.061
n	n_e	0.061
l	h_l	0.061
ə	n	0.056
